text_id,original,simplified_by,short,descr,descr_ex,llm_feedback
21-b1,"Your dreams might show you all kinds of insights into things that you didn't realise you were thinking about. Common dreams like being able to fly or falling, your teeth falling out or having no clothes on in a public place probably mean something similar in most people. But the key to understanding exactly what they mean to you is to connect them to the events and feelings in your daily life.",gemma-3-27b-it,"
Dreams can tell you things about what you're thinking and feeling, even if you don't know it. Many people have similar dreams, like flying, falling, losing teeth, or being naked in public. These dreams usually have a common meaning. But to understand what *your* dreams mean, think about what's happening in your life and how you feel each day.



","
Dreams can tell you things about yourself, and about thoughts you didn’t even know you had. Many people have similar dreams, like flying, falling, losing teeth, or being naked in public. These dreams often have a similar meaning for most people.

However, to understand what a dream *really* means ","
Dreams can tell you things about yourself that you don’t even know you’re thinking about. Many people have similar dreams, like flying, falling, losing teeth, or being naked in public. These dreams probably have a similar meaning for most people. However, to understand what your dreams mean *to you*, you need to think about what’s happening in your life and how you’re feeling. Connecting your dreams to your everyday experiences is the most important thing.



","**Model 1 Analysis:**
Strengths: Successfully simplifies the original text while maintaining all key concepts. Uses appropriate B1-level vocabulary and sentence structures. The phrase ""think about what's happening in your life and how you feel each day"" effectively conveys the original's advice about connecting dreams to daily experiences.

Weaknesses: The transition between ideas could be smoother. The phrase ""these dreams usually have a common meaning"" is slightly less precise than the original's nuance about dreams meaning ""something similar.""

**Model 2 Analysis:**
Strengths: Good vocabulary choices for B1 level. The phrase ""thoughts you didn't even know you had"" is a clear simplification of the original concept. Uses appropriate examples and maintains the core message about common dream types.

Weaknesses: The text is incomplete, ending abruptly mid-sentence with ""However, to understand what a dream *really* means."" This makes it impossible to evaluate how well it handles the crucial final concept about connecting dreams to personal experiences.

**Model 3 Analysis:**
Strengths: Provides the most complete coverage of the original text's ideas. Successfully simplifies complex concepts while retaining nuance. The final sentence ""Connecting your dreams to your everyday experiences is the most important thing"" effectively reinforces the key message. Maintains good flow between sentences.

Weaknesses: Slightly longer than the other complete translation, though still appropriate for B1 level. The phrase ""don't even know you're thinking about"" could potentially be simplified further.

**Ranking:** [""model_3"", ""model_1"", ""model_2""]"
22-b1,"One of the most interesting cases of wild animals living in a city are the wild dogs of Moscow. In Moscow, there are approximately 35,000 wild dogs living on the streets. Some of the dogs were born wild, while others are pets that have been abandoned by their owners. Some dogs live alone and others live in packs. In 2010, scientists studied the dogs and found that the dogs have adapted remarkably successfully to urban life. They have learned that it is safer to cross the street with people and some dogs appear to understand traffic lights.",gemma-3-27b-it,"The wild dogs of Moscow are a fascinating example of animals living in a city. There are about 35,000 wild dogs in Moscow, living on the streets. Some were born in the wild, but others were once pets that people left behind. Some dogs live by themselves, and others live in groups. Scientists studied these dogs in 2010 and discovered they have adapted very well to city life. They’ve learned it’s safer to cross roads with people, and some even seem to understand traffic lights.



","
The wild dogs in Moscow are a fascinating example of animals living in a city. There are about 35,000 wild dogs living in the streets of Moscow. Some were born in the wild, but others used to be pets that people left behind. 

These dogs live in different ways – some are alone, and others live in groups called packs. In 2010, scientists studied these dogs and discovered they have adapted very well to city life. They’ve learned how to survive in an urban environment. For example, they’ve found it’s safer to cross the road with people, and some even seem to know what traffic lights mean. 

*(Adapt means to change and learn to live in a new situation.)*
*(Urban means relating to a town or city.)*



","
The wild dogs in Moscow are a fascinating example of animals living in a city. There are about 35,000 wild dogs living on the streets of Moscow. Some were born in the wild, but others used to have owners who left them. Some dogs live by themselves, and others live in groups called packs.

In 2010, scientists studied these dogs and discovered they have adapted very well to living in the city. They’ve learned it’s safer to cross roads with people, and some even seem to know what traffic lights mean. (Traffic lights are the coloured lights that control traffic – red means stop, green means go.)","**Model 1 Analysis:**
Strengths: Maintains clear, simple sentence structure appropriate for B1 level. Uses accessible vocabulary like ""groups"" instead of ""packs."" Preserves all key information from the original text accurately.

Weaknesses: Uses ""fascinating"" which may be challenging for B1 learners. Does not provide any vocabulary support or explanations for potentially difficult concepts.

**Model 2 Analysis:**
Strengths: Includes helpful vocabulary definitions at the end for ""adapt"" and ""urban."" Maintains good sentence structure and flow. Adds clarifying phrase ""how to survive in an urban environment"" which reinforces comprehension.

Weaknesses: Retains the word ""packs"" without explanation, though it does clarify with ""groups called packs."" The vocabulary definitions are placed at the end rather than integrated contextually.

**Model 3 Analysis:**
Strengths: Provides contextual explanation of traffic lights in parentheses, which directly supports comprehension. Uses clear, simple language throughout. Explains ""packs"" as ""groups called packs"" within the text.

Weaknesses: The traffic light explanation, while helpful, adds information not present in the original text. Uses ""fascinating"" without simplification.

**Comparison:**
All three models successfully simplify the language while maintaining the core meaning. Model 1 provides the most faithful translation but offers no learning support. Model 2 adds vocabulary support but separates it from context. Model 3 integrates explanations naturally but adds extra information about traffic lights that wasn't in the original.

For B1 learners, contextual support is more effective than separate definitions, and Model 3's approach of explaining concepts within the text flow is most pedagogically sound.

[""model_3"", ""model_2"", ""model_1""]"
23-b1,"Wonder is New Yorker RJ Palacio's first novel. On her website, she explains that the idea for the book came to her after seeing a girl with facial deformities on the street one day. Wonder has been a bestseller in the United States and has already won several awards. Many schools are using it as a starting point for discussions about bullying, friendship and what it's like to be different. A film version is being made, and many, including me, are waiting eagerly to see what RJ Palacio writes next.",gemma-3-27b-it,"
Wonder is the first book by American writer RJ Palacio. She says she got the idea for the story after seeing a girl who looked different in the street. The book has been very popular in the US and has won prizes. Many schools use it to talk about difficult topics like bullying, being a good friend, and accepting people who are different. They are making a film of the book, and lots of people, including me, are excited to see it. We are also looking forward to RJ Palacio’s next book.



","
Wonder is the first book written by RJ Palacio, an author from New York. She says she got the idea for the story after seeing a girl who looked different because of how her face was formed. The book has been very popular in the US and has won many prizes. 

Lots of schools are using *Wonder* to talk about important topics like bullying (when someone repeatedly hurts someone else, often by being unkind), friendship, and accepting people who are different. They are also making a movie based on the book, and many people, including me, are excited to see it! We are also looking forward to reading RJ Palacio’s next book.



","Wonder is the first book written by RJ Palacio, an author from New York. She says she got the idea for the story after seeing a girl with a different appearance on the street. The book has been very popular in the US and has won many prizes. Lots of schools are using it to talk about important topics like bullying, being a good friend, and accepting people who are different. They are also making a movie based on the book. Many people, including me, are excited to see it and are looking forward to reading RJ Palacio’s next book.","**Model 1 Analysis:**
Strengths: Uses simple, clear language appropriate for B1 level. Successfully simplifies ""facial deformities"" to ""looked different"" and ""bestseller"" to ""very popular."" Maintains the personal tone with ""including me.""

Weaknesses: Loses some specificity by omitting that RJ Palacio is a ""New Yorker"" and changes ""New Yorker"" to ""American writer,"" which alters the original meaning. The phrase ""difficult topics"" adds interpretation not present in the original.

**Model 2 Analysis:**
Strengths: Preserves the ""New York"" reference from the original. Provides helpful definition of bullying in parentheses, which aids B1 comprehension. Uses clear, accessible vocabulary while maintaining most original details. Adds enthusiasm with exclamation mark.

Weaknesses: The phrase ""how her face was formed"" is somewhat awkward phrasing. The bullying definition, while helpful, adds content not in the original text. The exclamation mark changes the tone slightly from the original.

**Model 3 Analysis:**
Strengths: Maintains clear B1-appropriate language. Preserves the New York reference. Uses ""different appearance"" which is a natural simplification of ""facial deformities."" Keeps the structure close to the original without major additions.

Weaknesses: The phrase ""being a good friend"" interprets ""friendship"" in a way that shifts the meaning slightly. Otherwise minimal weaknesses in this translation.

**Ranking:** [""model_3"", ""model_2"", ""model_1""]

Model 3 provides the most faithful translation while maintaining B1 accessibility. Model 2 adds helpful context but includes extra content. Model 1, while clear, makes unnecessary changes to factual information."
24-b1,"Chloe has two pet rats, Zena and Roxy. Chloe knows they're not typical pets and she has lost count of the times she's patiently tried to explain to people that rats aren't dirty and they make fantastic pets if you look after them correctly. But she understands why people react badly. She didn't like rats either until her friend Martin showed her his pet rats and she saw how affectionate and intelligent they were. Last year, when one of Martin's rats had babies, Chloe decided she'd like to have two of them.",gemma-3-27b-it,"Chloe has two pet rats called Zena and Roxy. She knows rats aren’t usual pets, and she has often explained to people that rats are clean and good pets if you care for them well. She understands why people don’t like them, because she didn’t like rats either. But her friend Martin showed her his rats, and she saw they were loving and clever. Last year, Martin’s rat had babies, and Chloe decided she wanted two.



","

Chloe has two pet rats called Zena and Roxy. She knows that rats are not common pets, and she has often explained to people that rats are clean and can be great pets if you care for them well. She understands why people don’t like them though. She didn’t like rats herself before her friend Martin showed her his. She saw how loving and clever his rats were. Last year, Martin’s rat had babies, and Chloe decided she wanted to have two of them as pets.



","Chloe has two pet rats called Zena and Roxy. She knows that rats aren’t usual pets, and she’s explained to many people that rats are clean and can be great pets if you care for them well. She understands why people don’t like them, though. She didn’t like rats herself until her friend Martin showed her his. She saw how loving and clever they were. Last year, Martin’s rat had babies, and Chloe decided she wanted to have two of them.","**Model 1 Analysis:**
Strengths: Uses simple, clear vocabulary appropriate for B1 level. Maintains the core narrative structure and key information. The sentence ""she didn't like rats either"" preserves the original meaning well.

Weaknesses: Loses some nuance from the original, particularly the phrase ""lost count of the times she's patiently tried to explain"" becomes simply ""often explained,"" removing the sense of repetition and patience. The phrase ""fantastic pets"" is simplified to just ""good pets,"" reducing emphasis.

**Model 2 Analysis:**
Strengths: Includes helpful clarifying phrases like ""as pets"" at the end, which aids comprehension. Uses ""common pets"" instead of ""usual pets,"" which may be clearer. Maintains good flow with transitional words like ""though.""

Weaknesses: The sentence structure becomes somewhat awkward with ""She didn't like rats herself before her friend Martin showed her his"" - the pronoun reference could be confusing. Adds unnecessary words that weren't in the original.

**Model 3 Analysis:**
Strengths: Preserves more of the original's meaning while keeping B1-appropriate vocabulary. The phrase ""explained to many people"" better captures the repetitive nature than Model 1's ""often explained."" Uses ""though"" effectively for contrast. Maintains natural sentence flow.

Weaknesses: Still loses the specific detail about Chloe losing count and being patient in her explanations. The contraction ""aren't"" might be less formal than expected for some B1 contexts.

**Overall Assessment:**
All three models successfully simplify vocabulary and sentence structure for B1 level while preserving the main story elements. Model 3 retains the most meaning from the original while maintaining appropriate simplicity. Model 2 adds some helpful clarification but creates minor comprehension issues. Model 1 is the most simplified but loses more original nuance.

[""model_3"", ""model_1"", ""model_2""]"
25-b1,"Cape Town can be a dangerous place for baboons. Some have been injured or killed in car accidents and others have been electrocuted as they played with electric cables. Baboons are an endangered species and to save them and minimise conflicts between humans and baboons, the city council has employed a team of Baboon Monitors. The monitors' job is to chase baboons out of urban areas or catch them and release them in the countryside. This policy has had some success, though it is proving hard to stop baboons from coming back to the city once they see it as a source of easy food.",gemma-3-27b-it,"Baboons in Cape Town are in danger. Some are hurt by cars, and others by electricity. Baboons need our help, so the city has people called Baboon Monitors. These monitors try to keep baboons away from houses and roads. They might chase them away or move them to the countryside. This helps, but baboons sometimes return to the city looking for food.","
Cape Town can be a risky place for baboons. Some have been hurt or killed by cars, and others have had accidents with electrical wires. Baboons are an endangered species, which means there are not many left, and the city wants to protect them. They also want to reduce problems between people and baboons.

Because of this, the city council has hired people called Baboon Monitors. Their job is to scare baboons away from towns and cities, or to catch them and move them to the countryside. This plan has worked sometimes, but it’s difficult to stop the baboons from returning to the city. They learn that they can find food easily there.



","
Cape Town can be a dangerous place for baboons. Some have been hurt or killed by cars, and others have died after touching electric cables. Baboons are an endangered species, which means there are not many left, so it’s important to protect them. To help the baboons and reduce problems between them and people, the city council has hired people called Baboon Monitors. These monitors try to scare baboons away from towns and cities, or they catch them and move them to the countryside. This plan has worked sometimes, but it’s difficult to stop baboons from returning to the city because they find food there easily.



","**Model 1 Analysis:**
Strengths: Uses simple vocabulary and short sentences appropriate for B1 level. The core message is clear and accessible.
Weaknesses: Omits important information including that baboons are an endangered species, the specific mention of electrocution, and the policy's mixed success. The phrase ""baboons need our help"" adds interpretation not present in the original.

**Model 2 Analysis:**
Strengths: Includes the endangered species concept with helpful explanation (""which means there are not many left""). Maintains most key information while using B1-appropriate vocabulary like ""risky"" instead of ""dangerous.""
Weaknesses: Changes ""electrocuted"" to the vaguer ""had accidents with electrical wires,"" losing some precision. The text ends abruptly and could flow better.

**Model 3 Analysis:**
Strengths: Retains nearly all original information including the endangered species status with clear explanation. Maintains good logical flow and uses appropriate B1 vocabulary. Successfully preserves the nuanced ending about the policy's limited effectiveness.
Weaknesses: Slightly longer than other versions, though still within B1 comprehension range. Minor change from ""electrocuted"" to ""died after touching"" slightly reduces precision.

**Ranking Analysis:**
Model 3 provides the most complete and accurate translation while remaining accessible. Model 2 covers most essential points with good explanations but loses some detail. Model 1, while simple and clear, omits too much important information from the original text.

[""model_3"", ""model_2"", ""model_1""]"
26-b1,"I work for a global IT company, but because their headquarters is in the States, I do all my work online from home. That means that I don't waste time commuting or making idle chit-chat with colleagues. I work on a project basis, and this flexibility is very valuable to me because it means that I can easily take some time off when my children need me to go to their school performances or if I need to schedule an appointment with the dentist. The downside is that without clear office hours, I tend to work well into the evening, sometimes skipping dinner to finish a task. ",gemma-3-27b-it,"
I work for a big computer company, but the main office is in the USA. So, I work from home using the internet. This means I don’t spend time travelling to work or talking to colleagues about unimportant things. I work on different projects, and I like this because I can easily take time off for my children – like for school plays – or to go to the dentist. However, because I don’t have fixed working hours, I often work late, and sometimes I even miss dinner to finish things.



","I work for a big computer company, but the main office is in the USA. So, I work from home using the internet. This means I don’t spend time travelling to work or talking about unimportant things with people I work with. 

I work on different projects, and I like having this freedom. It’s useful because I can easily take time off when my children have things at school, like shows, or when I need to go to the doctor or dentist. 

However, there’s a problem. Because I don’t have fixed working hours, I often work late into the night. Sometimes I even miss dinner to finish something.



","
I work for a big computer company, but the main office is in the USA. So, I do all my work online from my home. This means I don’t lose time travelling to work or talking about unimportant things with people I work with. I work on different projects, and I like that I can change my work schedule easily. For example, I can take time off to go to my children’s school events or go to the dentist. However, there’s a bad side too. Because I don’t have fixed work hours, I often work late into the evening, and sometimes I even miss dinner to finish something.



","**Model 1 Analysis:**
Strengths: Uses appropriate B1 vocabulary like ""big computer company"" and ""travelling to work."" Successfully simplifies ""idle chit-chat"" to ""talking about unimportant things."" Maintains the original meaning while using accessible language. The sentence structure is clear and appropriate for B1 level.

Weaknesses: ""I even miss dinner to finish things"" is slightly vague compared to the original ""finish a task."" The phrase ""for my children – like for school plays"" could be clearer.

**Model 2 Analysis:**
Strengths: Good paragraph structure that breaks up the text logically. Uses clear B1 vocabulary and explains flexibility as ""freedom."" The phrase ""when my children have things at school, like shows"" is well-adapted for B1 level. Introduces problems with ""However, there's a problem"" which aids comprehension.

Weaknesses: Changes ""dentist"" to ""doctor or dentist,"" adding information not in the original. The repetitive sentence structure in some parts could be more varied.

**Model 3 Analysis:**
Strengths: Maintains close fidelity to the original text structure. Uses ""lose time"" instead of ""waste time,"" which is appropriate for B1. Clearly explains the concept with ""I can change my work schedule easily"" and provides concrete examples. Uses ""there's a bad side too"" which is clear B1 language.

Weaknesses: Keeps ""online from my home"" which is slightly redundant. Some phrases could be more natural for B1 learners.

All three models successfully adapt the vocabulary and sentence complexity for B1 level. They appropriately simplify technical terms and complex concepts while maintaining the original meaning. The main differences lie in text organization, clarity of examples, and faithfulness to the original content.

[""model_3"", ""model_2"", ""model_1""]"
27-b1,"In the 1990s, graffiti continued but there was also an explosion in street art around the world. Some artists wanted to make political points and produced art that tried to make people think about war, inequality and discrimination. Other street artists were more concerned with producing beautiful, attractive work. In South America, many street artists went to work in poor areas adding colour, life and beauty to grey, city walls.",gemma-3-27b-it,"In the 1990s, graffiti was still common, but street art became very popular worldwide. Some artists used their art to talk about important issues like war, unfairness, and treating people differently. They wanted people to think about these problems. Other artists focused on creating beautiful pictures. In South America, many street artists worked in poorer neighbourhoods, making the grey walls brighter and more cheerful.



","
In the 1990s, people continued to paint graffiti, but street art also became very popular worldwide. Some artists used their art to talk about important issues like war, unfairness, and treating people differently. They wanted to make people think about these problems. Other artists focused on creating art that was simply beautiful and pleasing to look at. In South America, many street artists worked in poorer neighbourhoods, painting colourful pictures on walls to make them more cheerful and attractive.","
In the 1990s, people continued to paint graffiti, but street art also became very popular around the world. Some artists wanted to share their opinions about important issues, like war, unfairness, and treating people differently. They created art to make people think about these problems. Other street artists focused on making art that was beautiful and pleasing to look at. In South America, many artists worked in poorer neighbourhoods, painting colourful pictures on walls to make them more cheerful and attractive.","**Model 1 Analysis:**

Strengths:
- Maintains the core meaning of the original text
- Uses appropriate B1-level vocabulary (""unfairness"" for ""inequality,"" ""treating people differently"" for ""discrimination"")
- Preserves the contrast between political and aesthetic motivations
- Clear and accessible sentence structure

Weaknesses:
- ""Was still common"" slightly changes the meaning from ""continued""
- ""Making the grey walls brighter and more cheerful"" loses some specificity about adding ""colour, life and beauty""
- Slightly less detailed than the original in the final sentence

**Model 2 Analysis:**

Strengths:
- Accurately conveys ""continued to paint graffiti"" 
- Maintains the distinction between political and aesthetic art
- Provides good detail in the final sentence about painting colorful pictures
- Uses appropriate B1 vocabulary throughout
- Preserves the meaning of ""explosion"" as ""became very popular""

Weaknesses:
- Minor redundancy in ""beautiful and pleasing to look at""
- Could be slightly more concise in some phrases

**Model 3 Analysis:**

Strengths:
- Accurately translates ""continued to paint graffiti""
- Good use of ""share their opinions"" to simplify political messaging
- Maintains clear structure and B1-appropriate language
- Preserves the geographical reference ""around the world""

Weaknesses:
- Changes ""street artists"" to just ""artists"" in the final sentence, losing specificity
- ""Share their opinions"" slightly softens the political intent compared to ""make political points""
- Less precise about the transformation of grey city walls

All three models successfully adapt the text to B1 level while maintaining comprehensibility. Model 2 provides the most complete and accurate translation, preserving both the meaning and details of the original. Model 3 follows closely but has minor accuracy issues. Model 1, while clear, makes more significant changes to the original meaning.

[""model_2"", ""model_3"", ""model_1""]"
28-b1,"Social media, magazines and shop windows bombard people daily with things to buy, and British consumers are buying more clothes and shoes than ever before. Online shopping means it is easy for customers to buy without thinking, while major brands offer such cheap clothes that they can be treated like disposable items – worn two or three times and then thrown away.",gemma-3-27b-it,"

Every day, people see lots of adverts for things to buy in shops, magazines and online. People in Britain are buying more clothes and shoes than ever before. It’s easy to buy things quickly online. Also, some big shops sell clothes that are very cheap, so people don’t mind throwing them away after only wearing them a few times.



","
Every day, people see lots of adverts for things to buy on social media, in magazines, and in shops. In Britain, people are buying more clothes and shoes than ever before. It’s now very easy to buy things online without really thinking about it. Also, big companies sell clothes that are very cheap. This means people sometimes treat them as if they don’t last long – they wear them a few times and then throw them away. These clothes are almost ‘disposable’, like things you use once and then don’t need anymore.","
Every day, people see lots of adverts for things to buy on social media, in magazines, and in shops. British people are buying more clothes and shoes than ever before. It’s now very easy to buy things online without really thinking about it. Also, big companies sell clothes at very low prices, so people sometimes treat them as if they don’t last long – they wear them a few times and then throw them away. 

**(Disposable items means things that are cheap and not meant to be kept for a long time.)**","**Model 1 Analysis:**
Strengths: Uses simple vocabulary and sentence structures appropriate for B1 level. The main ideas are conveyed clearly.
Weaknesses: Omits ""social media"" from the opening, only mentioning ""online."" Loses the specific concept of ""disposable items"" and doesn't explain this important term. The phrase ""don't mind throwing them away"" slightly changes the meaning from the original's emphasis on treating clothes as disposable.

**Model 2 Analysis:**
Strengths: Includes all three media types (social media, magazines, shops). Maintains the key concept of impulsive online buying with ""without really thinking about it."" Attempts to explain ""disposable"" by comparing it to single-use items. Preserves the main message about cheap clothes being treated as throwaway items.
Weaknesses: The explanation of ""disposable"" is somewhat lengthy and may be confusing rather than clarifying. The phrase ""don't last long"" could imply poor quality rather than the intended meaning of being treated as disposable.

**Model 3 Analysis:**
Strengths: Includes all media types mentioned in the original. Maintains the core message about impulsive online shopping and cheap clothing being discarded quickly. Provides a clear, separate explanation of ""disposable items"" that directly clarifies the concept without disrupting the flow.
Weaknesses: The explanation is presented as a footnote-style addition rather than integrated into the text, which may seem artificial in some contexts.

**Ranking:**
[""model_3"", ""model_2"", ""model_1""]"
29-b1,"Sam squinted against the sun at the distant dust trail raked up by the car on its way up to the Big House. The horses kicked and flicked their tails at flies, not caring about their owner's first visit in ten months. Sam waited. Mr Carter didn't come out here unless he had to, which was just fine by Sam. The more he kept out of his boss's way, the longer he'd have a job. Mr, Carter wiped the sweat from the back of his neck. The damp patches on his shirt drew together like shapes in an atlas. His skin was already turning ruddy in the June sun. Otherwise he had the indoor tan of a man that made money while other people did the work.",gemma-3-27b-it,"
Sam shielded his eyes from the sun, watching a cloud of dust appear as a car drove towards the large house. The horses were restless, bothered by flies, and didn’t seem to notice their owner was visiting after ten months. Sam waited patiently. Mr. Carter didn’t often come to the fields, and Sam preferred it that way. Staying out of his boss’s sight meant keeping his job. Mr. Carter wiped his neck with a handkerchief. His shirt was damp, and the wet patches looked like shapes on a map. He was getting red from the sun, but usually he was pale because he spent most of his time working indoors, making money while others did the physical labor.



","Sam shielded his eyes from the sun and watched a cloud of dust appear as a car drove towards the large house. The horses didn’t seem to notice, as they were busy trying to get rid of flies. Sam waited patiently. Mr Carter didn’t often come to this part of the land, and Sam was happy about that. The less Mr Carter saw of him, the more likely he was to keep his job.

Mr Carter wiped sweat from his neck. His shirt was damp, and the wet patches looked like shapes on a map. The sun was making his skin red, but usually he was pale because he spent most of his time working indoors and letting others do the physical work to earn him money.



","
Sam shielded his eyes from the sun, watching a car drive up the road to the main house. Dust rose behind the car. The horses didn’t seem to notice, just kicking their legs and moving their tails to get rid of flies. Sam waited patiently. Mr. Carter didn’t often come to this part of the land, and Sam was happy about that. He knew it was best to stay out of his boss’s way if he wanted to keep his job. Mr. Carter wiped his forehead with a handkerchief. His shirt was wet with sweat, and the wet parts looked like shapes on a map. His skin was getting red from the sun, but usually he was pale because he spent most of his time inside, earning money while others did the work.



","**Model 1 Analysis:**
Strengths: Maintains most key details from the original, including the ten-month absence detail. Uses appropriate B1 vocabulary like ""restless"" and ""bothered."" Preserves the social commentary about indoor work versus physical labor.
Weaknesses: Adds ""with a handkerchief"" which wasn't in the original text. Changes ""back of his neck"" to just ""neck."" The phrase ""indoor tan"" concept is lost in translation.

**Model 2 Analysis:**
Strengths: Good flow and readability at B1 level. Effectively conveys the power dynamic between Sam and Mr. Carter. Maintains the atlas/map imagery well. Uses simple, clear sentence structures.
Weaknesses: Omits the specific ten-month timeframe. Changes the neck-wiping detail from ""back of his neck"" to just ""neck."" Loses some specificity about the dust trail being ""raked up.""

**Model 3 Analysis:**
Strengths: Clear, accessible language appropriate for B1 level. Good sentence structure and flow. Maintains the core narrative elements and character dynamics.
Weaknesses: Changes ""back of his neck"" to ""forehead,"" which alters the original detail. Adds ""with a handkerchief"" not present in the source. Omits the ten-month timeframe. Loses the ""indoor tan"" concept and some of the vivid imagery about sweat patches forming like atlas shapes.

**Overall Assessment:**
All three translations successfully adapt the text to B1 level while maintaining the basic narrative and character relationships. Model 1 retains the most specific details from the original, including the important ten-month timeframe. Model 2 provides smooth readability but loses some specificity. Model 3 makes several changes to physical details that weren't necessary for B1 adaptation.

[""model_1"", ""model_2"", ""model_3""]"
30-b1,"Many city residents in Berlin, Germany complained that shooting pigs was unnecessarily cruel and there were heated arguments between hunters and animal lovers. In response to protests, the city council decided to take more peaceful action against pigs. Instead of shooting them, they have put up fences and made it illegal to feed the pigs. Time will tell if this strategy works, though it may be a losing battle as warmer winters mean that pig numbers are greater than in the past.",gemma-3-27b-it,"
People in Berlin, Germany were upset because the city was shooting wild pigs. Some people thought it was cruel, and there were big arguments about it. Now, the city is trying a different way to control the pigs. They are building fences and not allowing people to give them food. It’s not sure if this will work, because there are more pigs now, as the winters are getting warmer.



","
People living in Berlin, Germany were upset because the city was shooting wild pigs, and they thought it was cruel. Hunters and people who love animals argued about this. 

Because of these protests, the city council decided to try a kinder way to control the pigs. Now, instead of shooting them, they are building fences to keep the pigs in certain areas. It is also now against the law to give food to the pigs. 

It’s not yet clear if this new plan will work. It might be difficult because the weather is getting warmer, which means more pigs are surviving the winter and the number of pigs is increasing.



","
People living in Berlin, Germany were unhappy about shooting wild pigs, and thought it was too cruel. Hunters and people who love animals argued about it. Because of these protests, the city council decided to try a kinder way to control the pigs. Now, instead of shooting them, they are building fences and it’s against the law to give them food. It’s not certain if this will work, as the number of pigs is increasing because the winters are getting warmer.","**Model 1 Analysis:**
Strengths: Uses simple vocabulary and sentence structures appropriate for B1 level. Maintains the core message about the conflict and new approach.
Weaknesses: Omits the specific mention of ""hunters and animal lovers"" as the arguing parties. The phrase ""big arguments"" is less precise than the original's ""heated arguments."" Loses some detail about the nature of the problem.

**Model 2 Analysis:**
Strengths: Preserves most key information from the original text, including the specific mention of hunters and animal lovers. Explains the fence purpose more clearly by adding ""to keep the pigs in certain areas."" Uses appropriate B1-level vocabulary while maintaining accuracy.
Weaknesses: Slightly longer than necessary for B1 level. The phrase ""kinder way"" adds interpretation not present in the original.

**Model 3 Analysis:**
Strengths: Maintains essential information while using B1-appropriate language. Preserves the mention of hunters and animal lovers. Keeps the text concise while covering all main points.
Weaknesses: The phrase ""kinder way"" adds interpretation. Could benefit from slightly more explanation of some concepts for B1 learners.

**Comparison:**
Model 1 simplifies effectively but loses important details. Model 2 provides the most complete information transfer while remaining accessible, though it's somewhat verbose. Model 3 strikes a good balance between completeness and simplicity but shares Model 2's interpretive addition.

All models successfully adapt the vocabulary and sentence complexity for B1 level. Model 2 provides the clearest explanation of the fence strategy, while Model 3 is the most concise while retaining key information.

[""model_2"", ""model_3"", ""model_1""]"
