text_id,simplified,simplified_by,winner_prompt,original
21-a2,"Dreams can tell you things about yourself, things you didn’t even know you were thinking about. Lots of people have similar dreams, like flying or falling. Dreams about your teeth falling out, or being naked in public, often have a similar meaning for most people. But to understand what *your* dreams mean, think about what’s happening in your life and how you’re feeling each day. Try to connect your dream to those things.



",gemma-3-27b-it,descr,"Your dreams might show you all kinds of insights into things that you didn't realise you were thinking about. Common dreams like being able to fly or falling, your teeth falling out or having no clothes on in a public place probably mean something similar in most people. But the key to understanding exactly what they mean to you is to connect them to the events and feelings in your daily life."
22-a2,"
Wild dogs in Moscow are a very interesting example of animals living in a city. There are about 35,000 wild dogs living in the streets of Moscow. Some of these dogs were born in the wild, but others used to have owners who left them. Some dogs live by themselves, and others live in groups called packs. In 2010, scientists studied these dogs and discovered they have adapted very well to living in the city. They have learned it’s safer to walk across the road with people, and some dogs even seem to know what traffic lights mean.",gemma-3-27b-it,descr_ex,"One of the most interesting cases of wild animals living in a city are the wild dogs of Moscow. In Moscow, there are approximately 35,000 wild dogs living on the streets. Some of the dogs were born wild, while others are pets that have been abandoned by their owners. Some dogs live alone and others live in packs. In 2010, scientists studied the dogs and found that the dogs have adapted remarkably successfully to urban life. They have learned that it is safer to cross the street with people and some dogs appear to understand traffic lights."
23-a2,"
Wonder is the first book by American writer RJ Palacio. She says she got the idea for the book when she saw a girl with a different face in the street. The book has been very popular in the US and has won prizes. Many schools use it to talk about being kind to others, making friends, and accepting people who are different. They are also making a movie of the book. Many people, including me, are excited to see what RJ Palacio will write next.",gemma-3-27b-it,descr_ex,"Wonder is New Yorker RJ Palacio's first novel. On her website, she explains that the idea for the book came to her after seeing a girl with facial deformities on the street one day. Wonder has been a bestseller in the United States and has already won several awards. Many schools are using it as a starting point for discussions about bullying, friendship and what it's like to be different. A film version is being made, and many, including me, are waiting eagerly to see what RJ Palacio writes next."
24-a2,"
Chloe has two pet rats called Zena and Roxy. She knows rats aren’t usual pets, and she’s explained to many people that rats are clean and can be great pets if you care for them well. But she understands why some people don’t like them. She didn’t like rats at first either. Then her friend Martin showed her his pet rats, and she saw they were loving and clever. Last year, Martin’s rat had babies, and Chloe decided she wanted two of them.



",gemma-3-27b-it,descr,"Chloe has two pet rats, Zena and Roxy. Chloe knows they're not typical pets and she has lost count of the times she's patiently tried to explain to people that rats aren't dirty and they make fantastic pets if you look after them correctly. But she understands why people react badly. She didn't like rats either until her friend Martin showed her his pet rats and she saw how affectionate and intelligent they were. Last year, when one of Martin's rats had babies, Chloe decided she'd like to have two of them."
25-a2,"Cape Town can be a dangerous place for baboons. Some have been hurt or killed by cars, and others have died after touching electric wires. Baboons are an endangered species, which means there are not many left. To help them and reduce problems between people and baboons, the city has hired people called Baboon Monitors. These monitors chase baboons away from towns and cities, or catch them and let them go in the countryside. This plan has worked a little, but it’s difficult to stop baboons from returning to the city because they find food there easily.",gemma-3-27b-it,descr_ex,"Cape Town can be a dangerous place for baboons. Some have been injured or killed in car accidents and others have been electrocuted as they played with electric cables. Baboons are an endangered species and to save them and minimise conflicts between humans and baboons, the city council has employed a team of Baboon Monitors. The monitors' job is to chase baboons out of urban areas or catch them and release them in the countryside. This policy has had some success, though it is proving hard to stop baboons from coming back to the city once they see it as a source of easy food."
26-a2,"
I work for a big computer company, but the main office is in the USA. So, I work from my home using the internet. This means I don’t spend time travelling to work or talking about nothing with people from work.

I work on different jobs, one after another. I like this because it means I can take time off easily when my children have things at school, like a show, or when I need to go to the doctor. 

But, it also has a bad side. Because I don’t have set work hours, I often work late into the night. Sometimes I even miss dinner to finish something.",gemma-3-27b-it,descr_ex,"I work for a global IT company, but because their headquarters is in the States, I do all my work online from home. That means that I don't waste time commuting or making idle chit-chat with colleagues. I work on a project basis, and this flexibility is very valuable to me because it means that I can easily take some time off when my children need me to go to their school performances or if I need to schedule an appointment with the dentist. The downside is that without clear office hours, I tend to work well into the evening, sometimes skipping dinner to finish a task. "
27-a2,"
In the 1990s, people continued to paint graffiti, but street art also became very popular around the world. Some artists wanted to talk about important issues, like war, unfairness and treating people differently. They made art to make people think about these things. Other artists just wanted to create beautiful pictures. In South America, many street artists worked in poor neighbourhoods. They used colour and art to make grey walls look nicer and more lively.",gemma-3-27b-it,descr_ex,"In the 1990s, graffiti continued but there was also an explosion in street art around the world. Some artists wanted to make political points and produced art that tried to make people think about war, inequality and discrimination. Other street artists were more concerned with producing beautiful, attractive work. In South America, many street artists went to work in poor areas adding colour, life and beauty to grey, city walls."
28-a2,"
Every day, people see adverts for things to buy on social media, in magazines and in shop windows. People in Britain are buying more clothes and shoes than ever before. It is now very easy to buy things online without thinking too much. Big companies sell clothes at very low prices, so people sometimes treat them as things you can throw away after wearing them only a few times.



",gemma-3-27b-it,descr_ex,"Social media, magazines and shop windows bombard people daily with things to buy, and British consumers are buying more clothes and shoes than ever before. Online shopping means it is easy for customers to buy without thinking, while major brands offer such cheap clothes that they can be treated like disposable items – worn two or three times and then thrown away."
29-a2,"Sam narrowed his eyes against the sun, looking at the dust the car made as it drove up to the large house. The horses kicked their legs and swatted flies with their tails, not noticing their owner was coming back after ten months. Sam waited. Mr Carter didn’t usually come outside unless he needed to, and Sam was happy about that. The less he saw his boss, the safer his job was. Mr Carter wiped his forehead with a cloth. His shirt was wet with sweat, and the wet patches looked like shapes on a map. His skin was getting red from the sun. Usually, he was pale because he spent all day inside making money while others did the work.



",gemma-3-27b-it,descr,"Sam squinted against the sun at the distant dust trail raked up by the car on its way up to the Big House. The horses kicked and flicked their tails at flies, not caring about their owner's first visit in ten months. Sam waited. Mr Carter didn't come out here unless he had to, which was just fine by Sam. The more he kept out of his boss's way, the longer he'd have a job. Mr, Carter wiped the sweat from the back of his neck. The damp patches on his shirt drew together like shapes in an atlas. His skin was already turning ruddy in the June sun. Otherwise he had the indoor tan of a man that made money while other people did the work."
30-a2,"
People living in Berlin, Germany were upset because the city was killing wild pigs with guns, and they thought this was very cruel. Hunters and people who love animals argued about it. 

Because people protested, the city government decided to try a kinder way to deal with the pigs. Now, instead of shooting them, they are building fences to keep the pigs in certain areas. It is also now against the law to give the pigs food. 

It’s not clear if this new plan will work. It might be difficult because the winters are getting warmer, so there are more pigs now than before.



",gemma-3-27b-it,descr,"Many city residents in Berlin, Germany complained that shooting pigs was unnecessarily cruel and there were heated arguments between hunters and animal lovers. In response to protests, the city council decided to take more peaceful action against pigs. Instead of shooting them, they have put up fences and made it illegal to feed the pigs. Time will tell if this strategy works, though it may be a losing battle as warmer winters mean that pig numbers are greater than in the past."
