text_id,simplified,simplified_by,winner_prompt,original
21-a2,"Your dreams might show you thoughts you didn’t know you had. Dreams like flying, falling, losing your teeth, or being in public without clothes often mean something similar for many people. But to understand what they mean for you, think about what’s happening in your life and how you feel.",qwen3-235b-a22b-2507,descr,"Your dreams might show you all kinds of insights into things that you didn't realise you were thinking about. Common dreams like being able to fly or falling, your teeth falling out or having no clothes on in a public place probably mean something similar in most people. But the key to understanding exactly what they mean to you is to connect them to the events and feelings in your daily life."
22-a2,"One of the most interesting examples of wild animals living in a city is the wild dogs of Moscow. In Moscow, about 35,000 wild dogs live on the streets. Some of these dogs were born in the wild, and others are pets that their owners left behind. Some dogs live alone, while others live in groups called packs. In 2010, scientists studied these dogs and found that they have adapted very well to city life. They have learned that it is safer to cross the street when people are crossing, and some dogs even seem to understand traffic lights.",qwen3-235b-a22b-2507,descr_ex,"One of the most interesting cases of wild animals living in a city are the wild dogs of Moscow. In Moscow, there are approximately 35,000 wild dogs living on the streets. Some of the dogs were born wild, while others are pets that have been abandoned by their owners. Some dogs live alone and others live in packs. In 2010, scientists studied the dogs and found that the dogs have adapted remarkably successfully to urban life. They have learned that it is safer to cross the street with people and some dogs appear to understand traffic lights."
23-a2,"Wonder is the first book by RJ Palacio, who lives in New York. On her website, she says she got the idea after seeing a girl with a face that looked different one day. The book has sold very well in the United States and has won many awards. Schools often use it to talk about bullying, friendship, and how it feels to be different. A movie based on the book is being made. Many people, including me, are excited to see what RJ Palacio writes next.",qwen3-235b-a22b-2507,descr,"Wonder is New Yorker RJ Palacio's first novel. On her website, she explains that the idea for the book came to her after seeing a girl with facial deformities on the street one day. Wonder has been a bestseller in the United States and has already won several awards. Many schools are using it as a starting point for discussions about bullying, friendship and what it's like to be different. A film version is being made, and many, including me, are waiting eagerly to see what RJ Palacio writes next."
24-a2,"Chloe has two pet rats named Zena and Roxy. She knows rats are not common pets, and she’s lost count of how many times she’s had to explain to people that rats aren’t dirty. She tells them that rats can be great pets if you take good care of them. But she also understands why some people don’t like rats — she didn’t like them either, at first. Then her friend Martin showed her his pet rats. She saw how smart and loving they were, and that changed her mind. Last year, when one of Martin’s rats had babies, Chloe decided she wanted two of them for herself.",qwen3-235b-a22b-2507,descr,"Chloe has two pet rats, Zena and Roxy. Chloe knows they're not typical pets and she has lost count of the times she's patiently tried to explain to people that rats aren't dirty and they make fantastic pets if you look after them correctly. But she understands why people react badly. She didn't like rats either until her friend Martin showed her his pet rats and she saw how affectionate and intelligent they were. Last year, when one of Martin's rats had babies, Chloe decided she'd like to have two of them."
25-a2,"Cape Town can be a dangerous place for baboons. Some have been hurt or killed by cars, and others have died after touching electric wires while playing. Baboons are at risk of disappearing, so the city has hired Baboon Monitors to help protect them. These monitors try to keep baboons out of towns by chasing them away or catching them and taking them back to the wild. This has helped a bit, but it’s hard to stop baboons from returning to the city when they know they can find easy food there.",qwen3-235b-a22b-2507,descr,"Cape Town can be a dangerous place for baboons. Some have been injured or killed in car accidents and others have been electrocuted as they played with electric cables. Baboons are an endangered species and to save them and minimise conflicts between humans and baboons, the city council has employed a team of Baboon Monitors. The monitors' job is to chase baboons out of urban areas or catch them and release them in the countryside. This policy has had some success, though it is proving hard to stop baboons from coming back to the city once they see it as a source of easy food."
26-a2,"I work for a big international IT company. Their main office is in the United States, so I do all my work from home using the internet. This means I don’t have to travel to work or spend time talking casually with coworkers. I work on one project at a time, and I like this because it gives me freedom. If my kids have a school event or I need to see the dentist, I can take time off easily. The bad side is that since I don’t have fixed working hours, I often keep working late into the night. Sometimes I even miss dinner to finish a job.",qwen3-235b-a22b-2507,descr,"I work for a global IT company, but because their headquarters is in the States, I do all my work online from home. That means that I don't waste time commuting or making idle chit-chat with colleagues. I work on a project basis, and this flexibility is very valuable to me because it means that I can easily take some time off when my children need me to go to their school performances or if I need to schedule an appointment with the dentist. The downside is that without clear office hours, I tend to work well into the evening, sometimes skipping dinner to finish a task. "
27-a2,"In the 1990s, graffiti kept going, but street art also grew fast around the world. Some artists wanted to share political messages and made art to make people think about war, unfair treatment, and inequality. Others wanted to create beautiful and eye-catching pieces. In South America, many street artists painted in poor neighborhoods, bringing color, energy, and beauty to dull city walls.",qwen3-235b-a22b-2507,descr,"In the 1990s, graffiti continued but there was also an explosion in street art around the world. Some artists wanted to make political points and produced art that tried to make people think about war, inequality and discrimination. Other street artists were more concerned with producing beautiful, attractive work. In South America, many street artists went to work in poor areas adding colour, life and beauty to grey, city walls."
28-a2,"Social media, magazines, and shop windows show people new things to buy every day. In the UK, people are buying more clothes and shoes than ever before. Shopping online makes it easy to buy things without thinking. Big brands sell clothes so cheaply that people treat them like things you use once and throw away – wearing them just two or three times before getting rid of them.",qwen3-235b-a22b-2507,descr,"Social media, magazines and shop windows bombard people daily with things to buy, and British consumers are buying more clothes and shoes than ever before. Online shopping means it is easy for customers to buy without thinking, while major brands offer such cheap clothes that they can be treated like disposable items – worn two or three times and then thrown away."
29-a2,"Sam squinted at the dust cloud from the car driving up to the Big House. The horses swished their tails at flies, not bothered by their owner’s first visit in ten months. Sam waited. Mr. Carter didn’t come out here unless he had to—and that suited Sam just fine. The less he saw of his boss, the safer his job. Mr. Carter wiped sweat from his neck. Dark patches on his shirt spread together like countries on a map. His skin was already red from the June sun. Otherwise, he had the pale look of someone who stayed indoors while others worked.",qwen3-235b-a22b-2507,short,"Sam squinted against the sun at the distant dust trail raked up by the car on its way up to the Big House. The horses kicked and flicked their tails at flies, not caring about their owner's first visit in ten months. Sam waited. Mr Carter didn't come out here unless he had to, which was just fine by Sam. The more he kept out of his boss's way, the longer he'd have a job. Mr, Carter wiped the sweat from the back of his neck. The damp patches on his shirt drew together like shapes in an atlas. His skin was already turning ruddy in the June sun. Otherwise he had the indoor tan of a man that made money while other people did the work."
30-a2,"Many people in Berlin, Germany said killing wild pigs was too cruel. This caused strong arguments between hunters and people who care about animals. Because of the complaints, the city decided to try a calmer way to deal with the pigs. Instead of shooting them, they built fences and made it against the law to feed the pigs. It’s not yet clear if this will work. But it could be hard to stop the pigs from spreading, especially because warmer winters help them grow in number.",qwen3-235b-a22b-2507,descr,"Many city residents in Berlin, Germany complained that shooting pigs was unnecessarily cruel and there were heated arguments between hunters and animal lovers. In response to protests, the city council decided to take more peaceful action against pigs. Instead of shooting them, they have put up fences and made it illegal to feed the pigs. Time will tell if this strategy works, though it may be a losing battle as warmer winters mean that pig numbers are greater than in the past."
