text_id,simplified,simplified_by,winner_prompt,original
21-b1,"
Dreams can tell you things about yourself that you don’t even know you’re thinking about. Many people have similar dreams, like flying, falling, losing teeth, or being naked in public. These dreams probably have a similar meaning for most people. However, to understand what your dreams mean *to you*, you need to think about what’s happening in your life and how you’re feeling. Connecting your dreams to your everyday experiences is the most important thing.



",gemma-3-27b-it,descr_ex,"Your dreams might show you all kinds of insights into things that you didn't realise you were thinking about. Common dreams like being able to fly or falling, your teeth falling out or having no clothes on in a public place probably mean something similar in most people. But the key to understanding exactly what they mean to you is to connect them to the events and feelings in your daily life."
22-b1,"
The wild dogs in Moscow are a fascinating example of animals living in a city. There are about 35,000 wild dogs living on the streets of Moscow. Some were born in the wild, but others used to have owners who left them. Some dogs live by themselves, and others live in groups called packs.

In 2010, scientists studied these dogs and discovered they have adapted very well to living in the city. They’ve learned it’s safer to cross roads with people, and some even seem to know what traffic lights mean. (Traffic lights are the coloured lights that control traffic – red means stop, green means go.)",gemma-3-27b-it,descr_ex,"One of the most interesting cases of wild animals living in a city are the wild dogs of Moscow. In Moscow, there are approximately 35,000 wild dogs living on the streets. Some of the dogs were born wild, while others are pets that have been abandoned by their owners. Some dogs live alone and others live in packs. In 2010, scientists studied the dogs and found that the dogs have adapted remarkably successfully to urban life. They have learned that it is safer to cross the street with people and some dogs appear to understand traffic lights."
23-b1,"Wonder is the first book written by RJ Palacio, an author from New York. She says she got the idea for the story after seeing a girl with a different appearance on the street. The book has been very popular in the US and has won many prizes. Lots of schools are using it to talk about important topics like bullying, being a good friend, and accepting people who are different. They are also making a movie based on the book. Many people, including me, are excited to see it and are looking forward to reading RJ Palacio’s next book.",gemma-3-27b-it,descr_ex,"Wonder is New Yorker RJ Palacio's first novel. On her website, she explains that the idea for the book came to her after seeing a girl with facial deformities on the street one day. Wonder has been a bestseller in the United States and has already won several awards. Many schools are using it as a starting point for discussions about bullying, friendship and what it's like to be different. A film version is being made, and many, including me, are waiting eagerly to see what RJ Palacio writes next."
24-b1,"Chloe has two pet rats called Zena and Roxy. She knows that rats aren’t usual pets, and she’s explained to many people that rats are clean and can be great pets if you care for them well. She understands why people don’t like them, though. She didn’t like rats herself until her friend Martin showed her his. She saw how loving and clever they were. Last year, Martin’s rat had babies, and Chloe decided she wanted to have two of them.",gemma-3-27b-it,descr_ex,"Chloe has two pet rats, Zena and Roxy. Chloe knows they're not typical pets and she has lost count of the times she's patiently tried to explain to people that rats aren't dirty and they make fantastic pets if you look after them correctly. But she understands why people react badly. She didn't like rats either until her friend Martin showed her his pet rats and she saw how affectionate and intelligent they were. Last year, when one of Martin's rats had babies, Chloe decided she'd like to have two of them."
25-b1,"
Cape Town can be a dangerous place for baboons. Some have been hurt or killed by cars, and others have died after touching electric cables. Baboons are an endangered species, which means there are not many left, so it’s important to protect them. To help the baboons and reduce problems between them and people, the city council has hired people called Baboon Monitors. These monitors try to scare baboons away from towns and cities, or they catch them and move them to the countryside. This plan has worked sometimes, but it’s difficult to stop baboons from returning to the city because they find food there easily.



",gemma-3-27b-it,descr_ex,"Cape Town can be a dangerous place for baboons. Some have been injured or killed in car accidents and others have been electrocuted as they played with electric cables. Baboons are an endangered species and to save them and minimise conflicts between humans and baboons, the city council has employed a team of Baboon Monitors. The monitors' job is to chase baboons out of urban areas or catch them and release them in the countryside. This policy has had some success, though it is proving hard to stop baboons from coming back to the city once they see it as a source of easy food."
26-b1,"
I work for a big computer company, but the main office is in the USA. So, I do all my work online from my home. This means I don’t lose time travelling to work or talking about unimportant things with people I work with. I work on different projects, and I like that I can change my work schedule easily. For example, I can take time off to go to my children’s school events or go to the dentist. However, there’s a bad side too. Because I don’t have fixed work hours, I often work late into the evening, and sometimes I even miss dinner to finish something.



",gemma-3-27b-it,descr_ex,"I work for a global IT company, but because their headquarters is in the States, I do all my work online from home. That means that I don't waste time commuting or making idle chit-chat with colleagues. I work on a project basis, and this flexibility is very valuable to me because it means that I can easily take some time off when my children need me to go to their school performances or if I need to schedule an appointment with the dentist. The downside is that without clear office hours, I tend to work well into the evening, sometimes skipping dinner to finish a task. "
27-b1,"
In the 1990s, people continued to paint graffiti, but street art also became very popular worldwide. Some artists used their art to talk about important issues like war, unfairness, and treating people differently. They wanted to make people think about these problems. Other artists focused on creating art that was simply beautiful and pleasing to look at. In South America, many street artists worked in poorer neighbourhoods, painting colourful pictures on walls to make them more cheerful and attractive.",gemma-3-27b-it,descr,"In the 1990s, graffiti continued but there was also an explosion in street art around the world. Some artists wanted to make political points and produced art that tried to make people think about war, inequality and discrimination. Other street artists were more concerned with producing beautiful, attractive work. In South America, many street artists went to work in poor areas adding colour, life and beauty to grey, city walls."
28-b1,"
Every day, people see lots of adverts for things to buy on social media, in magazines, and in shops. British people are buying more clothes and shoes than ever before. It’s now very easy to buy things online without really thinking about it. Also, big companies sell clothes at very low prices, so people sometimes treat them as if they don’t last long – they wear them a few times and then throw them away. 

**(Disposable items means things that are cheap and not meant to be kept for a long time.)**",gemma-3-27b-it,descr_ex,"Social media, magazines and shop windows bombard people daily with things to buy, and British consumers are buying more clothes and shoes than ever before. Online shopping means it is easy for customers to buy without thinking, while major brands offer such cheap clothes that they can be treated like disposable items – worn two or three times and then thrown away."
29-b1,"
Sam shielded his eyes from the sun, watching a cloud of dust appear as a car drove towards the large house. The horses were restless, bothered by flies, and didn’t seem to notice their owner was visiting after ten months. Sam waited patiently. Mr. Carter didn’t often come to the fields, and Sam preferred it that way. Staying out of his boss’s sight meant keeping his job. Mr. Carter wiped his neck with a handkerchief. His shirt was damp, and the wet patches looked like shapes on a map. He was getting red from the sun, but usually he was pale because he spent most of his time working indoors, making money while others did the physical labor.



",gemma-3-27b-it,short,"Sam squinted against the sun at the distant dust trail raked up by the car on its way up to the Big House. The horses kicked and flicked their tails at flies, not caring about their owner's first visit in ten months. Sam waited. Mr Carter didn't come out here unless he had to, which was just fine by Sam. The more he kept out of his boss's way, the longer he'd have a job. Mr, Carter wiped the sweat from the back of his neck. The damp patches on his shirt drew together like shapes in an atlas. His skin was already turning ruddy in the June sun. Otherwise he had the indoor tan of a man that made money while other people did the work."
30-b1,"
People living in Berlin, Germany were upset because the city was shooting wild pigs, and they thought it was cruel. Hunters and people who love animals argued about this. 

Because of these protests, the city council decided to try a kinder way to control the pigs. Now, instead of shooting them, they are building fences to keep the pigs in certain areas. It is also now against the law to give food to the pigs. 

It’s not yet clear if this new plan will work. It might be difficult because the weather is getting warmer, which means more pigs are surviving the winter and the number of pigs is increasing.



",gemma-3-27b-it,descr,"Many city residents in Berlin, Germany complained that shooting pigs was unnecessarily cruel and there were heated arguments between hunters and animal lovers. In response to protests, the city council decided to take more peaceful action against pigs. Instead of shooting them, they have put up fences and made it illegal to feed the pigs. Time will tell if this strategy works, though it may be a losing battle as warmer winters mean that pig numbers are greater than in the past."
