text_id,simplified,simplified_by,winner_prompt,original
21-b1,"Your dreams can give you ideas about things you didn't know you were thinking about. Some common dreams, like flying, falling, losing your teeth, or being naked in public, might have similar meanings for most people. However, to really understand what they mean to you, you need to link them to what's happening in your life and how you're feeling every day.",llama-3.3-70b-instruct,descr,"Your dreams might show you all kinds of insights into things that you didn't realise you were thinking about. Common dreams like being able to fly or falling, your teeth falling out or having no clothes on in a public place probably mean something similar in most people. But the key to understanding exactly what they mean to you is to connect them to the events and feelings in your daily life."
22-b1,"One of the most interesting cases of wild animals living in a city is the wild dogs of Moscow. There are about 35,000 wild dogs living on the streets of Moscow. Some of these dogs were born wild, while others were once pets that people did not want anymore. Some dogs live alone, and others live in groups. In 2010, scientists studied these dogs and found that they have adapted very well to city life. They have learned to cross the street with people, and some dogs even seem to understand traffic lights.",llama-3.3-70b-instruct,short,"One of the most interesting cases of wild animals living in a city are the wild dogs of Moscow. In Moscow, there are approximately 35,000 wild dogs living on the streets. Some of the dogs were born wild, while others are pets that have been abandoned by their owners. Some dogs live alone and others live in packs. In 2010, scientists studied the dogs and found that the dogs have adapted remarkably successfully to urban life. They have learned that it is safer to cross the street with people and some dogs appear to understand traffic lights."
23-b1,"Wonder is the first book written by RJ Palacio, a writer from New York. She got the idea for the book after seeing a girl with a face that was different from most people's. The book has been very popular in the United States and has won several prizes. Many schools are using it to talk about important issues like bullying, friendship, and what it's like to be different from others. A movie based on the book is being made, and many people, including me, are excited to see what RJ Palacio writes next.",llama-3.3-70b-instruct,descr_ex,"Wonder is New Yorker RJ Palacio's first novel. On her website, she explains that the idea for the book came to her after seeing a girl with facial deformities on the street one day. Wonder has been a bestseller in the United States and has already won several awards. Many schools are using it as a starting point for discussions about bullying, friendship and what it's like to be different. A film version is being made, and many, including me, are waiting eagerly to see what RJ Palacio writes next."
24-b1,"Chloe has two pet rats, Zena and Roxy. She knows that most people don't usually keep rats as pets, and she's had to explain many times that rats are clean animals and can make great pets if you take good care of them. However, she understands why people might not like them at first. Chloe didn't like rats either until her friend Martin showed her his pet rats and she saw how loving and smart they were. When Martin's rats had babies last year, Chloe decided to take two of them as her own pets.",llama-3.3-70b-instruct,descr_ex,"Chloe has two pet rats, Zena and Roxy. Chloe knows they're not typical pets and she has lost count of the times she's patiently tried to explain to people that rats aren't dirty and they make fantastic pets if you look after them correctly. But she understands why people react badly. She didn't like rats either until her friend Martin showed her his pet rats and she saw how affectionate and intelligent they were. Last year, when one of Martin's rats had babies, Chloe decided she'd like to have two of them."
25-b1,"Cape Town can be a dangerous place for baboons. Some baboons have been hurt or killed in car accidents, and others have been shocked by electricity when they played with power lines. Baboons are in danger of disappearing, so to protect them and reduce problems between humans and baboons, the city has hired a team of Baboon Monitors. The monitors' job is to scare baboons away from city areas or catch them and set them free in the countryside. This plan has worked to some extent, but it's difficult to stop baboons from returning to the city when they see it as a place to find easy food.",llama-3.3-70b-instruct,descr_ex,"Cape Town can be a dangerous place for baboons. Some have been injured or killed in car accidents and others have been electrocuted as they played with electric cables. Baboons are an endangered species and to save them and minimise conflicts between humans and baboons, the city council has employed a team of Baboon Monitors. The monitors' job is to chase baboons out of urban areas or catch them and release them in the countryside. This policy has had some success, though it is proving hard to stop baboons from coming back to the city once they see it as a source of easy food."
26-b1,"I work for a big IT company, but its main office is in the US, so I do my job from home using the internet. This is good because I don't waste time travelling to work or talking to colleagues about things that aren't important. I work on individual projects, and I like the freedom that comes with it. It means I can take time off when my kids have school events or when I need to go to the dentist. However, it can be difficult because I don't have set working hours, so I often work late into the evening. Sometimes, I even skip dinner to finish a task, which isn't ideal.",llama-3.3-70b-instruct,descr,"I work for a global IT company, but because their headquarters is in the States, I do all my work online from home. That means that I don't waste time commuting or making idle chit-chat with colleagues. I work on a project basis, and this flexibility is very valuable to me because it means that I can easily take some time off when my children need me to go to their school performances or if I need to schedule an appointment with the dentist. The downside is that without clear office hours, I tend to work well into the evening, sometimes skipping dinner to finish a task. "
27-b1,"In the 1990s, graffiti kept going, but there was also a big increase in street art worldwide. Some artists wanted to make people think about important issues like war, inequality, and unfair treatment, so they created art with strong messages. Others just wanted to create beautiful and attractive work. In South America, many street artists went to poor areas and added colour and life to dull city walls, making them more beautiful.",llama-3.3-70b-instruct,descr_ex,"In the 1990s, graffiti continued but there was also an explosion in street art around the world. Some artists wanted to make political points and produced art that tried to make people think about war, inequality and discrimination. Other street artists were more concerned with producing beautiful, attractive work. In South America, many street artists went to work in poor areas adding colour, life and beauty to grey, city walls."
28-b1,"People see many things to buy every day on social media, in magazines, and in shop windows. British people are buying more clothes and shoes than ever before. It's easy to shop online without thinking, and big brands sell very cheap clothes. As a result, people wear these clothes a few times and then throw them away.",llama-3.3-70b-instruct,short,"Social media, magazines and shop windows bombard people daily with things to buy, and British consumers are buying more clothes and shoes than ever before. Online shopping means it is easy for customers to buy without thinking, while major brands offer such cheap clothes that they can be treated like disposable items – worn two or three times and then thrown away."
29-b1,"Sam squinted at the sun as he watched the car drive up to the Big House, kicking up a cloud of dust. The horses didn't seem to care that their owner, Mr Carter, was visiting for the first time in ten months. They just kicked and swished their tails to keep the flies away. Sam waited patiently. Mr Carter only came out here when he had to, which was okay with Sam. The less he saw of his boss, the safer his job was. As Mr Carter got out of the car, he wiped the sweat from the back of his neck. His shirt was getting wet and sticky, and his skin was already getting red from the June sun. Normally, Mr Carter had a pale skin, like someone who spends most of their time indoors, making money while others do the hard work.",llama-3.3-70b-instruct,descr,"Sam squinted against the sun at the distant dust trail raked up by the car on its way up to the Big House. The horses kicked and flicked their tails at flies, not caring about their owner's first visit in ten months. Sam waited. Mr Carter didn't come out here unless he had to, which was just fine by Sam. The more he kept out of his boss's way, the longer he'd have a job. Mr, Carter wiped the sweat from the back of his neck. The damp patches on his shirt drew together like shapes in an atlas. His skin was already turning ruddy in the June sun. Otherwise he had the indoor tan of a man that made money while other people did the work."
30-b1,"In Berlin, Germany, many people were upset about shooting pigs to control their numbers. There were strong disagreements between hunters and people who care about animals. The city council listened to the complaints and decided to try a more peaceful approach. They put up fences to keep the pigs away and made a rule that it's not allowed to feed them. It's not clear if this will work, but it might be difficult because warmer winters mean there are more pigs than before.",llama-3.3-70b-instruct,descr,"Many city residents in Berlin, Germany complained that shooting pigs was unnecessarily cruel and there were heated arguments between hunters and animal lovers. In response to protests, the city council decided to take more peaceful action against pigs. Instead of shooting them, they have put up fences and made it illegal to feed the pigs. Time will tell if this strategy works, though it may be a losing battle as warmer winters mean that pig numbers are greater than in the past."
31-b1,"Suzanne Collins got an idea for the Hunger Games from Greek mythology. When she was a kid, she loved the story of Theseus and the Minotaur. In this story, the city of Athens is controlled by Crete. The people of Athens don't like being ruled, so they rebel. As punishment, the king of Crete, Minos, makes Athens send seven boys and seven girls to Crete every year. These young people are put into a maze and eaten by a monster called the Minotaur. But one of the young people, Theseus, is brave and kills the Minotaur. Suzanne thinks of Katniss, the main character in the Hunger Games, as a modern version of Theseus.",llama-3.3-70b-instruct,short,"An important inspiration for the Hunger Games book comes from Suzanne's love of classical Greek mythology. When she was a child, one of her favourite stories was Theseus and the Minotaur. In this story the city of Athens is ruled by Crete, but the Athenians rebel. As a punishment, Minos the king of Crete forces the Athenians to send seven boys and seven girls to Crete every year. The youths are thrown into the labyrinth and eaten by a monster that lives there called the Minotaur. But one of the youths, named Theseus, fights the Minotaur and kills it. Suzanne sees Katniss Everdeen as a futuristic Theseus."
32-b1,"By bringing people and animals together, zoos can teach the public about the importance of protecting animals and their homes. Some zoos give a safe home to animals that have been treated badly in circuses or abandoned as pets. Zoos also do important studies on how animals behave and how to make them healthy again when they are sick.",llama-3.3-70b-instruct,descr_ex,"By bringing people and animals together, zoos have the potential to educate the public about conservation issues and inspire people to protect animals and their habitats. Some zoos provide a safe environment for animals which have been mistreated in circuses, or pets which have been abandoned. Zoos also carry out important research into subjects like animal behaviour and how to treat illnesses."
33-b1,"A new trend is appearing that goes against consumerism - the 'buy nothing' trend. This idea started in Canada in the early 1990s and then spread to the US. It began as a reaction to people spending too much money on Black Friday and Cyber Monday, which are big shopping days during Thanksgiving weekend. On Buy Nothing Day, people organize protests and even cut up their credit cards to show they don't want to spend. Throughout the year, Buy Nothing groups swap and fix things they already have, instead of buying new ones.",llama-3.3-70b-instruct,descr,"A different trend is springing up in opposition to consumerism – the 'buy nothing' trend. The idea originated in Canada in the early 1990s and then moved to the US, where it became a rejection of the overspending and overconsumption of Black Friday and Cyber Monday during Thanksgiving weekend. On Buy Nothing Day people organise various types of protests and cut up their credit cards. Throughout the year, Buy Nothing groups organise the exchange and repair of items they already own."
34-b1,"Is graffiti art or vandalism? It depends on how you see it, but in many countries, writing or painting on public or private property is seen as vandalism. Many street artists have been stopped by the police and some have had to pay fines. Many city councils are unhappy about the high cost of removing graffiti from buildings, buses, and trains.",llama-3.3-70b-instruct,descr_ex,"Is graffiti art or vandalism? This depends on your point of view, but in many countries, writing or painting on public or private property is considered vandalism. Many street artists have been stopped by the police and some have had to pay fines. Many city councils complain about the high cost of cleaning graffiti off buildings, buses and trains. "
35-b1,"What does the art world think of graffiti and street art? Lately, more and more people are starting to see it as a real form of art. There have been big exhibitions of street art in galleries in cities like Paris, London, and Los Angeles. In 2008, the American artist Elura Emerald put together a street art show at a gallery in New York. She stood up for street artists, saying 'artists who paint on the street are just expressing themselves and not harming anyone. They deserve to be appreciated and celebrated'.",llama-3.3-70b-instruct,descr,"What does the art world think of graffiti and street art? Recently, there has been a growing recognition of its value as an art form. There have been major exhibitions of street art in galleries in Paris, London and Los Angeles. The American artist Elura Emerald organised a street art exhibition at a New York gallery in 2008. She defended street artists, saying 'artists who paint on the street are merely expressing themselves, not hurting anyone. They should be appreciated and celebrated'."
