text_id,simplified,simplified_by,winner_prompt,original
21-b1,"Your dreams can give you ideas about things you didn’t know you were thinking about. Common dreams, like flying, falling, losing teeth, or being naked in public, probably have similar meanings for most people. But to really understand what they mean for you, think about how they connect to your daily life and feelings.",mistral-medium-3,short,"Your dreams might show you all kinds of insights into things that you didn't realise you were thinking about. Common dreams like being able to fly or falling, your teeth falling out or having no clothes on in a public place probably mean something similar in most people. But the key to understanding exactly what they mean to you is to connect them to the events and feelings in your daily life."
22-b1,"One of the most interesting examples of wild animals living in cities is the wild dogs of Moscow. In Moscow, about 35,000 wild dogs live on the streets. Some of these dogs were born wild, while others were pets that their owners left behind. Some dogs live alone, and others live in groups.

In 2010, scientists studied these dogs and discovered that they have adapted very well to city life. For example, they have learned that it is safer to cross the street with people. Some dogs even seem to understand traffic lights.",mistral-medium-3,descr,"One of the most interesting cases of wild animals living in a city are the wild dogs of Moscow. In Moscow, there are approximately 35,000 wild dogs living on the streets. Some of the dogs were born wild, while others are pets that have been abandoned by their owners. Some dogs live alone and others live in packs. In 2010, scientists studied the dogs and found that the dogs have adapted remarkably successfully to urban life. They have learned that it is safer to cross the street with people and some dogs appear to understand traffic lights."
23-b1,"*Wonder* is the first book by New Yorker RJ Palacio. On her website, she says she got the idea for the story after seeing a girl with a different-looking face on the street. The book has been very popular in the United States and has won many prizes. Schools are using it to talk about bullying, friendship, and how it feels to be different. A movie is being made from the book, and many people, including me, are excited to read RJ Palacio’s next book.",mistral-medium-3,descr_ex,"Wonder is New Yorker RJ Palacio's first novel. On her website, she explains that the idea for the book came to her after seeing a girl with facial deformities on the street one day. Wonder has been a bestseller in the United States and has already won several awards. Many schools are using it as a starting point for discussions about bullying, friendship and what it's like to be different. A film version is being made, and many, including me, are waiting eagerly to see what RJ Palacio writes next."
24-b1,"Chloe has two pet rats named Zena and Roxy. She knows that rats are not common pets, and she has often explained to people that rats are not dirty. If you take care of them well, they can be great pets. She understands why some people don’t like rats because she didn’t like them either at first. But then her friend Martin showed her his pet rats, and she saw how loving and smart they were. Last year, when one of Martin’s rats had babies, Chloe decided she wanted two of them.",mistral-medium-3,descr,"Chloe has two pet rats, Zena and Roxy. Chloe knows they're not typical pets and she has lost count of the times she's patiently tried to explain to people that rats aren't dirty and they make fantastic pets if you look after them correctly. But she understands why people react badly. She didn't like rats either until her friend Martin showed her his pet rats and she saw how affectionate and intelligent they were. Last year, when one of Martin's rats had babies, Chloe decided she'd like to have two of them."
25-b1,"Cape Town can be dangerous for baboons. Some have been hurt or killed by cars, and others have died from touching electric wires. Baboons are in danger of disappearing, so the city has hired a team of Baboon Monitors to protect them and reduce problems between people and baboons. The monitors chase baboons away from the city or catch them and take them to the countryside. This has worked a little, but it is difficult to keep baboons away from the city because they remember it as a place where they can easily find food.",mistral-medium-3,descr_ex,"Cape Town can be a dangerous place for baboons. Some have been injured or killed in car accidents and others have been electrocuted as they played with electric cables. Baboons are an endangered species and to save them and minimise conflicts between humans and baboons, the city council has employed a team of Baboon Monitors. The monitors' job is to chase baboons out of urban areas or catch them and release them in the countryside. This policy has had some success, though it is proving hard to stop baboons from coming back to the city once they see it as a source of easy food."
26-b1,"I work for a big IT company, but their main office is in the USA. So, I do all my work from home online. This way, I don’t spend time traveling to work or talking with coworkers. I work on different projects, and this flexibility is great because I can take time off when my kids need me, like for school events, or if I need to see the dentist. The bad part is that since I don’t have fixed work hours, I often work late into the evening and sometimes skip dinner to finish my work.",mistral-medium-3,short,"I work for a global IT company, but because their headquarters is in the States, I do all my work online from home. That means that I don't waste time commuting or making idle chit-chat with colleagues. I work on a project basis, and this flexibility is very valuable to me because it means that I can easily take some time off when my children need me to go to their school performances or if I need to schedule an appointment with the dentist. The downside is that without clear office hours, I tend to work well into the evening, sometimes skipping dinner to finish a task. "
27-b1,"In the 1990s, graffiti was still popular, but street art also became very common worldwide. Some artists used their work to share political messages, making people think about important issues like war, unfairness, and discrimination. Others focused on creating beautiful and eye-catching art. In South America, many street artists painted colorful and lively designs on dull city walls in poor neighborhoods, making them more attractive.",mistral-medium-3,descr,"In the 1990s, graffiti continued but there was also an explosion in street art around the world. Some artists wanted to make political points and produced art that tried to make people think about war, inequality and discrimination. Other street artists were more concerned with producing beautiful, attractive work. In South America, many street artists went to work in poor areas adding colour, life and beauty to grey, city walls."
28-b1,"Every day, people see many ads on social media, in magazines, and in shop windows, telling them to buy things. In the UK, people are buying more clothes and shoes than before. Online shopping makes it easy to buy things quickly without thinking too much. Also, many big brands sell very cheap clothes, so people treat them like disposable items—they wear them only a few times and then throw them away.",mistral-medium-3,descr,"Social media, magazines and shop windows bombard people daily with things to buy, and British consumers are buying more clothes and shoes than ever before. Online shopping means it is easy for customers to buy without thinking, while major brands offer such cheap clothes that they can be treated like disposable items – worn two or three times and then thrown away."
29-b1,"Sam narrowed his eyes against the bright sun as he watched the dust cloud from a car driving toward the Big House. The horses moved restlessly, swatting flies with their tails, not caring that their owner was visiting for the first time in ten months. Sam waited. Mr. Carter rarely came out here unless he had to, which was fine with Sam. The less he saw his boss, the better—it meant he could keep his job longer.

Mr. Carter wiped the sweat from his neck. The wet spots on his shirt looked like strange shapes on a map. His skin was already turning red from the June sun. Otherwise, he had the pale skin of a man who made money while others did the hard work.",mistral-medium-3,descr,"Sam squinted against the sun at the distant dust trail raked up by the car on its way up to the Big House. The horses kicked and flicked their tails at flies, not caring about their owner's first visit in ten months. Sam waited. Mr Carter didn't come out here unless he had to, which was just fine by Sam. The more he kept out of his boss's way, the longer he'd have a job. Mr, Carter wiped the sweat from the back of his neck. The damp patches on his shirt drew together like shapes in an atlas. His skin was already turning ruddy in the June sun. Otherwise he had the indoor tan of a man that made money while other people did the work."
30-b1,"Many people in Berlin, Germany, were upset because they thought shooting wild pigs was too cruel. There were big arguments between hunters and people who love animals. Because of the protests, the city government decided to try a kinder way to control the pigs. Now, they are building fences and making it against the law to feed the pigs. We don’t know yet if this will work, but it might be hard because warmer winters mean there are more pigs than before.",mistral-medium-3,descr_ex,"Many city residents in Berlin, Germany complained that shooting pigs was unnecessarily cruel and there were heated arguments between hunters and animal lovers. In response to protests, the city council decided to take more peaceful action against pigs. Instead of shooting them, they have put up fences and made it illegal to feed the pigs. Time will tell if this strategy works, though it may be a losing battle as warmer winters mean that pig numbers are greater than in the past."
