text_id,simplified,simplified_by,winner_prompt,original
21-b1,"Your dreams might tell you about thoughts you didn’t know you had. Common dreams—like flying, falling, losing your teeth, or being in public without clothes—often mean something similar for many people. But to understand what they really mean for you, think about what is happening in your life and how you feel every day.",qwen3-235b-a22b-2507,descr_ex,"Your dreams might show you all kinds of insights into things that you didn't realise you were thinking about. Common dreams like being able to fly or falling, your teeth falling out or having no clothes on in a public place probably mean something similar in most people. But the key to understanding exactly what they mean to you is to connect them to the events and feelings in your daily life."
22-b1,"One of the most interesting examples of wild animals living in a city is the wild dogs of Moscow. About 35,000 wild dogs live on the streets of the city. Some of these dogs were born in the wild, and others are pets that their owners left. Some dogs live alone, while others live in groups called packs. In 2010, scientists studied these dogs and found that they have adapted very well to city life. They have learned that it is safer to cross the street when people are crossing, and some dogs even seem to understand traffic lights.",qwen3-235b-a22b-2507,descr_ex,"One of the most interesting cases of wild animals living in a city are the wild dogs of Moscow. In Moscow, there are approximately 35,000 wild dogs living on the streets. Some of the dogs were born wild, while others are pets that have been abandoned by their owners. Some dogs live alone and others live in packs. In 2010, scientists studied the dogs and found that the dogs have adapted remarkably successfully to urban life. They have learned that it is safer to cross the street with people and some dogs appear to understand traffic lights."
23-b1,"Wonder is the first book by New Yorker RJ Palacio. On her website, she says she got the idea after seeing a girl with facial differences on the street. The book became very popular in the United States and has won many awards. Schools often use it to talk about bullying, friendship, and being different. A movie based on the book is being made. Many people, including me, are excited to see what RJ Palacio writes next.",qwen3-235b-a22b-2507,descr,"Wonder is New Yorker RJ Palacio's first novel. On her website, she explains that the idea for the book came to her after seeing a girl with facial deformities on the street one day. Wonder has been a bestseller in the United States and has already won several awards. Many schools are using it as a starting point for discussions about bullying, friendship and what it's like to be different. A film version is being made, and many, including me, are waiting eagerly to see what RJ Palacio writes next."
24-b1,"Chloe has two pet rats named Zena and Roxy. She knows rats are not common pets, and she can't remember how many times she has explained to people that rats are not dirty. She tells them that rats can be great pets if you take good care of them. But she understands why some people don't like rats — she didn't like them either, until her friend Martin showed her his pet rats. She saw how loving and smart they were. Last year, when one of Martin's rats had babies, Chloe decided she wanted two of them for herself.",qwen3-235b-a22b-2507,descr_ex,"Chloe has two pet rats, Zena and Roxy. Chloe knows they're not typical pets and she has lost count of the times she's patiently tried to explain to people that rats aren't dirty and they make fantastic pets if you look after them correctly. But she understands why people react badly. She didn't like rats either until her friend Martin showed her his pet rats and she saw how affectionate and intelligent they were. Last year, when one of Martin's rats had babies, Chloe decided she'd like to have two of them."
25-b1,"Cape Town can be dangerous for baboons. Some have been hurt or killed in car accidents, and others have died after touching electric wires while playing. Baboons are an endangered species. To protect them and reduce problems between people and baboons, the city has hired Baboon Monitors. These workers chase baboons out of towns or catch them and take them back to the wild. This plan has helped a little, but it is difficult to stop baboons from returning to the city, especially when they find easy food there.",qwen3-235b-a22b-2507,descr,"Cape Town can be a dangerous place for baboons. Some have been injured or killed in car accidents and others have been electrocuted as they played with electric cables. Baboons are an endangered species and to save them and minimise conflicts between humans and baboons, the city council has employed a team of Baboon Monitors. The monitors' job is to chase baboons out of urban areas or catch them and release them in the countryside. This policy has had some success, though it is proving hard to stop baboons from coming back to the city once they see it as a source of easy food."
26-b1,"I work for a big international IT company. Since the main office is in the United States, I work from home using the internet. This means I don’t have to travel to work or spend time chatting with coworkers. I work on projects, and I like this because it gives me flexibility. I can take time off when my children need me, like for school events, or when I have a dentist appointment. The problem is that I don’t have fixed working hours, so I often work late into the night. Sometimes I even miss dinner to finish a job.",qwen3-235b-a22b-2507,descr,"I work for a global IT company, but because their headquarters is in the States, I do all my work online from home. That means that I don't waste time commuting or making idle chit-chat with colleagues. I work on a project basis, and this flexibility is very valuable to me because it means that I can easily take some time off when my children need me to go to their school performances or if I need to schedule an appointment with the dentist. The downside is that without clear office hours, I tend to work well into the evening, sometimes skipping dinner to finish a task. "
27-b1,"In the 1990s, graffiti stayed popular, but street art also grew quickly around the world. Some artists wanted to share political messages and made art about war, inequality, and discrimination to make people think. Others wanted to create beautiful and attractive art. In South America, many street artists worked in poor areas, adding colour, life, and beauty to grey city walls.",qwen3-235b-a22b-2507,short,"In the 1990s, graffiti continued but there was also an explosion in street art around the world. Some artists wanted to make political points and produced art that tried to make people think about war, inequality and discrimination. Other street artists were more concerned with producing beautiful, attractive work. In South America, many street artists went to work in poor areas adding colour, life and beauty to grey, city walls."
28-b1,"Social media, magazines, and shop windows show people many things to buy every day. In the UK, people are buying more clothes and shoes than ever before. Online shopping makes it easy to buy things without thinking carefully. Big brands sell very cheap clothes, so some people wear them only two or three times and then throw them away, like they are disposable.",qwen3-235b-a22b-2507,descr,"Social media, magazines and shop windows bombard people daily with things to buy, and British consumers are buying more clothes and shoes than ever before. Online shopping means it is easy for customers to buy without thinking, while major brands offer such cheap clothes that they can be treated like disposable items – worn two or three times and then thrown away."
29-b1,"Sam narrowed his eyes, looking at the dust cloud made by the car driving up to the Big House. The horses kicked their legs and swished their tails at flies, not bothered by their owner’s arrival. It was his first visit in ten months. Sam stood and waited. Mr. Carter rarely came here unless necessary, and Sam preferred it that way. The less he saw his boss, the more likely he would keep his job. Mr. Carter wiped sweat from the back of his neck. The wet spots on his shirt were spreading and joining together, like countries on a map. His skin was already turning red in the June sun. Otherwise, he had the pale skin of someone who worked indoors while others did the physical jobs.",qwen3-235b-a22b-2507,descr,"Sam squinted against the sun at the distant dust trail raked up by the car on its way up to the Big House. The horses kicked and flicked their tails at flies, not caring about their owner's first visit in ten months. Sam waited. Mr Carter didn't come out here unless he had to, which was just fine by Sam. The more he kept out of his boss's way, the longer he'd have a job. Mr, Carter wiped the sweat from the back of his neck. The damp patches on his shirt drew together like shapes in an atlas. His skin was already turning ruddy in the June sun. Otherwise he had the indoor tan of a man that made money while other people did the work."
30-b1,"Many people in Berlin, Germany said killing wild pigs was too cruel. This caused strong arguments between hunters and animal lovers. Because of the protests, the city government decided to try a more peaceful way to deal with the pigs. Instead of shooting them, they built fences and made it against the law to feed the pigs. It is not yet clear if this plan will work. However, it could be hard to control the pigs because warmer winters have led to more pigs than before.",qwen3-235b-a22b-2507,descr,"Many city residents in Berlin, Germany complained that shooting pigs was unnecessarily cruel and there were heated arguments between hunters and animal lovers. In response to protests, the city council decided to take more peaceful action against pigs. Instead of shooting them, they have put up fences and made it illegal to feed the pigs. Time will tell if this strategy works, though it may be a losing battle as warmer winters mean that pig numbers are greater than in the past."
31-b1,"One big inspiration for the Hunger Games book is Suzanne Collins' love for Greek myths. When she was young, her favorite story was Theseus and the Minotaur. In the story, Athens is ruled by Crete, but the people of Athens fight back. As punishment, King Minos of Crete makes Athens send seven boys and seven girls every year. These young people are put into a maze called the labyrinth, where a monster named the Minotaur lives and kills them. But one of the young people, Theseus, fights the Minotaur and kills it. Suzanne sees Katniss Everdeen as a modern, futuristic version of Theseus.",qwen3-235b-a22b-2507,descr_ex,"An important inspiration for the Hunger Games book comes from Suzanne's love of classical Greek mythology. When she was a child, one of her favourite stories was Theseus and the Minotaur. In this story the city of Athens is ruled by Crete, but the Athenians rebel. As a punishment, Minos the king of Crete forces the Athenians to send seven boys and seven girls to Crete every year. The youths are thrown into the labyrinth and eaten by a monster that lives there called the Minotaur. But one of the youths, named Theseus, fights the Minotaur and kills it. Suzanne sees Katniss Everdeen as a futuristic Theseus."
32-b1,"Zoos can help teach people about animals and the importance of protecting them and their homes. By bringing people and animals together, they can inspire visitors to care about conservation. Some zoos give a safe home to animals that were treated badly in circuses or kept as pets and then abandoned. Zoos also do important research on things like how animals behave and how to treat their illnesses.",qwen3-235b-a22b-2507,descr_ex,"By bringing people and animals together, zoos have the potential to educate the public about conservation issues and inspire people to protect animals and their habitats. Some zoos provide a safe environment for animals which have been mistreated in circuses, or pets which have been abandoned. Zoos also carry out important research into subjects like animal behaviour and how to treat illnesses."
33-b1,"A new trend is growing that goes against consumerism – the 'buy nothing' trend. It started in Canada in the early 1990s and then spread to the US. There, it became a way to say no to the heavy spending and buying on Black Friday and Cyber Monday, which happen during Thanksgiving weekend. On Buy Nothing Day, people protest in different ways, like cutting up their credit cards. During the year, Buy Nothing groups help people exchange things they already have or repair them instead of buying new ones.",qwen3-235b-a22b-2507,descr_ex,"A different trend is springing up in opposition to consumerism – the 'buy nothing' trend. The idea originated in Canada in the early 1990s and then moved to the US, where it became a rejection of the overspending and overconsumption of Black Friday and Cyber Monday during Thanksgiving weekend. On Buy Nothing Day people organise various types of protests and cut up their credit cards. Throughout the year, Buy Nothing groups organise the exchange and repair of items they already own."
34-b1,"Is graffiti art or vandalism? It depends on how you see it. But in many countries, painting or writing on public or private property is seen as vandalism. Many street artists have been stopped by police, and some have had to pay fines. City governments often complain about the high cost of cleaning graffiti from buildings, buses, and trains.",qwen3-235b-a22b-2507,short,"Is graffiti art or vandalism? This depends on your point of view, but in many countries, writing or painting on public or private property is considered vandalism. Many street artists have been stopped by the police and some have had to pay fines. Many city councils complain about the high cost of cleaning graffiti off buildings, buses and trains. "
35-b1,"What do people in the art world think about graffiti and street art? Lately, more and more people see it as a real form of art. Big street art exhibitions have taken place in galleries in Paris, London, and Los Angeles. In 2008, the American artist Elura Emerald held a street art show in a New York gallery. She supported street artists, saying, ""Artists who paint on the street are only expressing themselves, not harming anyone. They should be appreciated and celebrated.""",qwen3-235b-a22b-2507,descr,"What does the art world think of graffiti and street art? Recently, there has been a growing recognition of its value as an art form. There have been major exhibitions of street art in galleries in Paris, London and Los Angeles. The American artist Elura Emerald organised a street art exhibition at a New York gallery in 2008. She defended street artists, saying 'artists who paint on the street are merely expressing themselves, not hurting anyone. They should be appreciated and celebrated'."
36-b1,"Most people have four to six dreams every night after the age of ten. That means up to 2,000 dreams each year. By the time someone is 80 years old, they may have had around 140,000 dreams. Even though we forget 95 to 99 out of every 100 dreams, we still remember a few thousand in our lives. It’s not hard to believe that sometimes a dream matches something that happens in real life, especially if the dream is about common daily events. This can happen just by chance.",qwen3-235b-a22b-2507,descr,"If most people have four to six dreams every night after the age of ten, that's as many as 2,000 dreams per year. So, by the time they reach 80 years old the average person might have had 140,000 dreams. Even if we forget 95–99 per cent of our dreams, that's still a few thousand remembered dreams across a lifetime. It's not too difficult to believe that, by coincidence, a dream event is followed by a real-life event that's similar to it, especially if the subject of the dream is something that happens often in everyday life."
37-b1,"The Hunger Games is set in the future, after North America has been destroyed. The new country is called Panem, which has twelve poor districts controlled by a rich city known as the Capitol. The Capitol has complete power over the whole nation. Each district must produce something different for the Capitol. District 12, where the story starts, provides all the coal. There was once a thirteenth district, but it rebelled against the Capitol in the past and was destroyed.",qwen3-235b-a22b-2507,descr,"The Hunger Games takes place in the future, after the destruction of North America. The country is called Panem and is made up of twelve poor districts governed by the wealthy Capitol. The Capitol holds absolute power over the nation. Each district is responsible for producing different things for the Capitol. District 12, where the story begins, provides all the coal for the country. There used to be a thirteenth district but they rebelled against the Capitol in the past and were destroyed. "
38-b1,"Wild animals often come into cities to find food. In Cape Town, South Africa, baboons have started entering homes and gardens at the edge of the city to look for food. They open trash bins and eat fruit from gardens and orchards. Some bold baboons have even gone inside houses and taken food from kitchen cupboards and fridges! Baboons can be dangerous and have attacked many pets, so it’s not surprising that many people in the city don’t like having them around.",qwen3-235b-a22b-2507,descr_ex,"Often wild animals come into cities to look for food. In Cape Town, South Africa, baboons have started coming into residential areas on the edge of the city to feed. They open rubbish bins and eat fruit from gardens and orchards. Some brave baboons have even come into people's houses and taken food from kitchen cupboards and fridges! Baboons can be aggressive and have attacked a lot of pet animals, so understandably, many city residents don't welcome their presence."
39-b1,"Many bridge accidents happen while the bridge is being built. These accidents are often caused by mistakes from engineers, like wrong calculations. The bridge can collapse under its own weight, which can be deadly for workers on the bridge at that time.",qwen3-235b-a22b-2507,descr,"A large number of bridge accidents occur during the construction of the bridge itself. These accidents are often due to an error made by the engineers, such as a miscalculation. The bridge collapses under its own weight, and this can be deadly for the workers on it at the time."
40-b1,"George Lucas was one of the first movie directors to build his story around the 17 steps of the hero’s journey. Usually, the hero begins living a normal life, but then something happens that starts a big adventure and changes their life. At the start of Star Wars, Luke lives a simple life with his aunt and uncle, fixing robots. When he discovers Princess Leia’s message inside the robot R2D2, meant for Obi-Wan Kenobi, it becomes “the call to adventure” — the moment that begins the hero’s journey.",qwen3-235b-a22b-2507,descr_ex,"George Lucas was one of the early film directors to directly base his story on the 17 stages of the hero's journey. Typically the hero starts the story living an ordinary life, but something happens that calls them to an adventure that changes everything. At the beginning of Star Wars, Luke lives an ordinary life with his aunt and uncle, repairing robots. When he finds Princess Leia's message to Obi-Wan Kenobi inside the robot R2D2, it is 'the call to adventure' that starts the hero on his journey."
41-b1,"Another idea to stop a dangerous asteroid from hitting Earth is to destroy it with a nuclear weapon. This might sound like a movie plot—like the 1998 film *Armageddon*—but it’s also part of a real NASA plan called HAMMER (Hypervelocity Asteroid Mitigation Mission for Emergency Response). This plan uses eight-ton rockets aimed at the asteroid to push it off its path. If the asteroid is too close to Earth for that to work, the rockets would carry nuclear bombs to blow it up instead.",qwen3-235b-a22b-2507,descr,"Another suggested defence against a PHA on course to hit Earth is to blow it up using a nuclear weapon. It may sound like a plot from a film, and it was the subject of the 1998 film Armageddon, but the Hypervelocity Asteroid Mitigation Mission for Emergency Response (HAMMER) is a genuine NASA proposal. The eight-ton rockets would be fired at an approaching asteroid with the hope of bumping it off course. If the asteroid was too close to Earth for this plan to work, the rockets would carry nuclear bombs to blow it up instead."
42-b1,"According to Campbell, the hero first says no to the adventure, but then a mentor appears and helps them. After that, the hero decides to ""cross the threshold"" and enter the ""special world"" where the adventure begins. In this world, the hero faces tests, fights enemies, and meets friends while getting ready for the biggest challenge. For Luke, the mentor is Obi-Wan, his friends are Han Solo and the robots R2D2 and C3PO, and the enemy is Darth Vader. All of this happens in the special world of the Death Star.",qwen3-235b-a22b-2507,descr,"According to Campbell, the hero at first refuses the call to adventure, but a mentor appears who helps them and they decide to 'cross the threshold' and travel into the 'special world' where the adventure happens. The next stage consists of passing tests, fighting enemies and meeting friends as the hero prepares to face their biggest challenge. For Luke the mentor is, of course, Obi-Wan, the friends are Han Solo and the robots R2D2 and C3PO and the enemy is Darth Vader inside the special world of the Death Star."
43-b1,"Some things we don’t use much might seem useless, but they can be valuable to other people. Because of the internet, online groups have found a way to make money by sharing these unused items. With websites and social media groups that help people buy and sell used goods, it’s now very easy for people to share things directly with each other. This is called the sharing economy.",qwen3-235b-a22b-2507,descr_ex,"Underutilised items may seem useless to some, but could be an asset to others. With the advent of the internet, online communities have figured out a way to generate profit from the sharing of those underused assets. Using websites and social media groups that facilitate the buying and selling of second-hand goods, it is now easier than ever for peer-to-peer sharing activities to take place. And this is known as the sharing economy."
44-b1,"In the 18th and 19th centuries, two main ideas about dreams became popular. One idea was that the things we see in dreams stand for thoughts or feelings we are not aware of. Freud believed that by understanding our dreams, we can understand our hidden emotions and problems. The other idea was the opposite: dreams are just random brain activity while the brain sorts memories and events from the day. When we wake up, we try to make sense of these random images and feelings by turning them into a story.",qwen3-235b-a22b-2507,descr,"Around the 18th and 19th centuries two main ideas about dreams became popular. One was the idea that the things we see in our dreams represent things hidden from our conscious mind. Freud believed that if we understand what dreams are telling us, we can understand our hidden feelings and the problems they cause. However, the other theory was the opposite. It said that dreams are just a collection of random activity in the brain while it's organising memories and events from the day. When we wake up, we try to make sense of these random images and feelings and put them into some sort of story."
45-b1,"I work as a freelancer, which means I run my own business. This is good because I decide what to do and how to use my time. At first, I worked from home, but it was hard to focus. There were too many distractions: housework, making tea, or family members needing help. Then I tried working at a nearby café, but the internet connection was weak, and I drank too much coffee. In the end, I chose to rent a desk in a shared office with five other freelancers. I enjoy getting dressed in the morning and working in a real office where I can concentrate.",qwen3-235b-a22b-2507,descr,"I'm a freelancer and work for myself. This is great because I am in control of what I do and how I spend my time. At first, I was working from home, but I found it really hard to concentrate. There were just too many distractions around: housework that needed doing, another cup of tea, my family members wanting my attention for various things. So I started to go to a nearby café to work, but the Wi-Fi connection wasn't ideal and I found myself drinking too much coffee. In the end, I decided to rent a desk in a co-working space with five other freelancers like myself. I liked getting dressed to go to work in the morning and being able to focus in an office environment."
46-b1,"Whether NASA can find the rest of the medium-sized near-Earth objects (NEOs) depends on getting funds to build NEOCam, a 0.5-metre space telescope that uses infrared light to spot asteroids. If funded, it could reach its goal in about ten years. After finding them, the planetary defence team would still need to figure out how to protect Earth from the most dangerous asteroids – the potentially hazardous asteroids (PHAs).",qwen3-235b-a22b-2507,short,"Whether NASA can find the remaining middle-sized NEOs depends on getting the money to build NEOCam, a 0.5-metre space telescope which would use infrared light to locate asteroids. If it did get the money, it could probably achieve its goal in ten years. Once logged, the planetary defence team would still need to work out how to defend the planet against being hit by the truly worrying asteroids – the PHAs."
47-b1,"The ""buy nothing"" trend is now popular among social media influencers who usually post about clothes and makeup they want people to buy. But now, some YouTubers are telling their viewers not to buy anything—for up to a whole year. Two friends in Canada tried this for one year, only buying food. For the first three months, they learned to live without buying electronics, clothes, or household items. Then, in the next stage, they stopped paying for services like haircuts, eating at restaurants, or buying petrol for their cars. By the end of the year, they had saved $55,000.",qwen3-235b-a22b-2507,descr,"The 'buy nothing' trend has now reached influencers on social media who usually share posts of clothing and make-up that they recommend for people to buy. Some YouTube stars now encourage their viewers not to buy anything at all for periods as long as a year. Two friends in Canada spent a year working towards buying only food. For the first three months they learned how to live without buying electrical goods, clothes or things for the house. For the next stage, they gave up services, for example haircuts, eating out at restaurants or buying petrol for their cars. In one year, they'd saved $55,000."
48-b1,"Religion is very important to Pi. His family is Hindu, but he is interested in other religions too. He becomes friends with a Christian priest and a Muslim baker. To everyone’s surprise, Pi says he is Hindu, Muslim, and Christian at the same time. When his family and teachers tell him to choose only one religion, he refuses. He says, ""I just want to love God."" After that, his family and teachers decide to let him decide for himself what to believe.",qwen3-235b-a22b-2507,descr,"Religion is important to Pi. Though his family is Hindu, he is curious about other religions and he makes friends with a Christian priest and a Muslim baker. To everyone's surprise, Pi declares himself to be simultaneously Hindu, Muslim and Christian. When his family and teachers ask him to choose just one religion, Pi refuses, saying 'I just want to love God'. From that moment, his family and teachers decide to let him make his own mind up about religion."
49-b1,"Some people believe that writing down your dreams can help you have lucid dreams. Lucid dreams are dreams where you know you are dreaming, and you can even make choices that change what happens in the dream. For example, you could turn a scary dream into a calm one, or guide the dream like a movie director. This way, instead of just trying to understand your dreams, you are creating them. But you might still want to have some normal dreams, because they let your unconscious mind show you what you’re thinking or feeling.",qwen3-235b-a22b-2507,descr_ex,"Some people think writing your dreams down can open your mind to lucid dreaming. Lucid dreams are dreams where you're not only aware you're dreaming but you can make decisions to affect the events of your dreams. So, maybe you can turn a nightmare into a safe-feeling dream, or you can direct the plot of your dream like a film director. Then, instead of just working out the meaning of your dreams, you'll be creating them, though you might want to continue having some dreams that allow your subconscious to tell you what's on your mind! "
50-b1,"People may not know they are part of the problem with throwaway clothes because they give their old clothes to charity. But charity shops cannot sell everything they receive. Fast fashion becomes outdated very quickly and is often too low quality to be reused or recycled. Many people don’t want to buy it second-hand. As a result, large amounts of clothing are thrown away. A lot of the clothes charities can’t sell are sent to other countries, which creates more economic and environmental problems.",qwen3-235b-a22b-2507,descr,"People might not realise they are part of the disposable clothing problem because they donate their unwanted clothes to charities. But charity shops can't sell all those unwanted clothes. 'Fast fashion' goes out of fashion as quickly as it came in and is often too poor quality to recycle; people don't want to buy it second-hand. Huge quantities end up being thrown away, and a lot of clothes that charities can't sell are sent abroad, causing even more economic and environmental problems."
51-b1,"Some adventurers don’t stop after one big trip — they keep taking on new challenges. Meagan McGrath from Canada is one of them. She has climbed the tallest mountain on every continent, biked across Canada, and run a long race in the Sahara Desert where it was 45ºC. But maybe her most amazing trip was skiing to the South Pole. On the first day, she fell into a glacier and had to be saved. Many people would have quit then, but Meagan kept going. Forty days later, she reached the South Pole. She pulled a sledge with her tent and all her food through freezing weather and ice storms.",qwen3-235b-a22b-2507,descr,"Not content with one amazing trip, some of today's adventurers go from challenge to challenge. Meagan McGrath from Canada has climbed the highest mountain on each continent, ridden a bike across Canada and run a long-distance race in the Sahara Desert in 45ºC heat. But perhaps her most remarkable journey was a skiing trip to the South Pole. On the first day, she fell into a glacier and had to be rescued. Many of us would have given up at that point, but Meagan decided to carry on. She reached the South Pole forty days later, having pulled a sledge with a tent and all her food behind her through freezing conditions and ice storms. "
52-b1,"Blek le Rat began by painting rats on walls in his hometown, Paris. Today, he uses his art to make people think about social problems. For example, he paints pictures of homeless people in big cities to help residents notice and think about homelessness.",qwen3-235b-a22b-2507,descr,"Blek le Rat started out painting rats on the walls of his home city, Paris. Nowadays, he tries to make people think about different social issues and problems. He paints pictures of homeless people in big cities to encourage residents to think about the problem of homelessness."
53-b1,"In some places, local governments have encouraged artists to stop painting graffiti on random walls by giving them special areas where they can paint freely. For example, in Taiwan, there are ""graffiti zones"" where artists can paint and write on walls without getting in trouble. In São Paulo, Brazil, the city government has even let some graffiti artists paint on subway trains.",qwen3-235b-a22b-2507,descr,"In some areas, councils have tried to encourage artists not to paint graffiti randomly on walls by allowing them to work in designated areas. Taiwan is one such place and there are 'graffiti zones' where artists are free to paint and write on walls. In São Paulo in Brazil, the city council has even allowed some graffiti artists to paint on the city's subway trains. "
54-b1,"Faith47 is from Cape Town, South Africa. She paints large, colourful pictures of people and animals and enjoys working in different places. You can find her art on streets, in empty factories, and on old, unused cars. She likes that most street art does not last long — rain, wind, or city cleaners often remove it. For her, this shows how life is always changing, with things ending and new things beginning.",qwen3-235b-a22b-2507,descr_ex,"Faith47 is from Cape Town in South Africa. She paints big, colourful pictures of people and animals and likes to explore different locations. Her work is found on pavements, in empty factories and on abandoned cars. She likes the fact that most street art is temporary and will soon be removed by weather or cleaners from the city council. For her, this reflects how life is full of change with its cycle of endings and new beginnings."
55-b1,"In her old job, Gabriela was used to a culture where people respected authority and everyone knew their role. In this kind of workplace, leaders make important decisions and are rarely questioned. But her Swedish team was used to a different style, where employees and managers work together to solve problems and make choices. There, leaders act more like coaches who support independent thinking and expect team members to share their opinions, even if they disagree.",qwen3-235b-a22b-2507,descr,"In her previous work environment, Gabriela was used to a high power distance culture where power and authority are respected and everyone has their rightful place. In such a culture, leaders make the big decisions and are not often challenged. Her Swedish team, however, were used to working in a low power distance culture where subordinates often work together with their bosses to find solutions and make decisions. Here, leaders act as coaches or mentors who encourage independent thought and expect to be challenged."
