dataset_id,text_id,original,target_cefr,simplified,model,name,prompt_type,target
tsar2025testblind,21-a2,"Your dreams might show you all kinds of insights into things that you didn't realise you were thinking about. Common dreams like being able to fly or falling, your teeth falling out or having no clothes on in a public place probably mean something similar in most people. But the key to understanding exactly what they mean to you is to connect them to the events and feelings in your daily life.",A2,"Your dreams might show you new ideas about things you didn't know you were thinking about. Common dreams like flying or falling, your teeth falling out or being naked in public probably mean something similar for most people. But to understand what they really mean for you, you need to connect them to what happens and how you feel in your everyday life.",anthropic/claude-sonnet-4,claude-sonnet-4_descriptiv,A2_PROMPT_DESCRIPTIVE,A2
tsar2025testblind,22-a2,"One of the most interesting cases of wild animals living in a city are the wild dogs of Moscow. In Moscow, there are approximately 35,000 wild dogs living on the streets. Some of the dogs were born wild, while others are pets that have been abandoned by their owners. Some dogs live alone and others live in packs. In 2010, scientists studied the dogs and found that the dogs have adapted remarkably successfully to urban life. They have learned that it is safer to cross the street with people and some dogs appear to understand traffic lights.",A2,"One of the most interesting examples of wild animals living in a city are the wild dogs of Moscow. In Moscow, there are about 35,000 wild dogs living on the streets. Some of the dogs were born wild, while others are pets that their owners left behind. Some dogs live alone and others live in groups. In 2010, scientists studied the dogs and found that the dogs have learned very well how to live in the city. They have learned that it is safer to cross the street with people and some dogs seem to understand traffic lights.",anthropic/claude-sonnet-4,claude-sonnet-4_descriptiv,A2_PROMPT_DESCRIPTIVE,A2
tsar2025testblind,23-a2,"Wonder is New Yorker RJ Palacio's first novel. On her website, she explains that the idea for the book came to her after seeing a girl with facial deformities on the street one day. Wonder has been a bestseller in the United States and has already won several awards. Many schools are using it as a starting point for discussions about bullying, friendship and what it's like to be different. A film version is being made, and many, including me, are waiting eagerly to see what RJ Palacio writes next.",A2,"Wonder is New Yorker RJ Palacio's first book. On her website, she says that the idea for the book came to her after seeing a girl with face problems on the street one day. Wonder has sold very well in the United States and has already won several prizes. Many schools are using it to start talks about bullying, friendship and what it's like to be different. A movie is being made, and many people, including me, are waiting excitedly to see what RJ Palacio writes next.",anthropic/claude-sonnet-4,claude-sonnet-4_descriptiv,A2_PROMPT_DESCRIPTIVE,A2
tsar2025testblind,24-a2,"Chloe has two pet rats, Zena and Roxy. Chloe knows they're not typical pets and she has lost count of the times she's patiently tried to explain to people that rats aren't dirty and they make fantastic pets if you look after them correctly. But she understands why people react badly. She didn't like rats either until her friend Martin showed her his pet rats and she saw how affectionate and intelligent they were. Last year, when one of Martin's rats had babies, Chloe decided she'd like to have two of them.",A2,"Chloe has two pet rats, Zena and Roxy. Chloe knows they are not normal pets and she has lost count of how many times she has tried to tell people that rats are not dirty and they are wonderful pets if you take care of them well. But she understands why people don't like them. She didn't like rats either until her friend Martin showed her his pet rats and she saw how loving and smart they were. Last year, when one of Martin's rats had babies, Chloe decided she wanted to have two of them.",anthropic/claude-sonnet-4,claude-sonnet-4_descriptiv,A2_PROMPT_DESCRIPTIVE,A2
tsar2025testblind,25-a2,"Cape Town can be a dangerous place for baboons. Some have been injured or killed in car accidents and others have been electrocuted as they played with electric cables. Baboons are an endangered species and to save them and minimise conflicts between humans and baboons, the city council has employed a team of Baboon Monitors. The monitors' job is to chase baboons out of urban areas or catch them and release them in the countryside. This policy has had some success, though it is proving hard to stop baboons from coming back to the city once they see it as a source of easy food.",A2,"Cape Town can be a dangerous place for baboons. Some have been hurt or killed in car accidents and others have died from electric shock when they played with electric wires. Baboons are animals that might disappear forever, so to save them and stop problems between people and baboons, the city government has hired a team of Baboon Monitors. The monitors' job is to make baboons go away from city areas or catch them and let them go free in the countryside. This plan has worked well sometimes, but it is hard to stop baboons from coming back to the city when they think it is a place to get food easily.",anthropic/claude-sonnet-4,claude-sonnet-4_descriptiv,A2_PROMPT_DESCRIPTIVE,A2
tsar2025testblind,26-a2,"I work for a global IT company, but because their headquarters is in the States, I do all my work online from home. That means that I don't waste time commuting or making idle chit-chat with colleagues. I work on a project basis, and this flexibility is very valuable to me because it means that I can easily take some time off when my children need me to go to their school performances or if I need to schedule an appointment with the dentist. The downside is that without clear office hours, I tend to work well into the evening, sometimes skipping dinner to finish a task. ",A2,"I work for a big computer company around the world, but their main office is in America, so I do all my work online from home. This means I don't lose time traveling to work or talking about nothing important with other workers. I work on different jobs, and this freedom is very important to me because I can easily take time off when my children need me to go to their school shows or if I need to go to the dentist. The bad thing is that without clear work times, I often work late in the evening, sometimes not eating dinner to finish my work.",anthropic/claude-sonnet-4,claude-sonnet-4_descriptiv,A2_PROMPT_DESCRIPTIVE,A2
tsar2025testblind,27-a2,"In the 1990s, graffiti continued but there was also an explosion in street art around the world. Some artists wanted to make political points and produced art that tried to make people think about war, inequality and discrimination. Other street artists were more concerned with producing beautiful, attractive work. In South America, many street artists went to work in poor areas adding colour, life and beauty to grey, city walls.",A2,"In the 1990s, graffiti continued but there was also a big increase in street art around the world. Some artists wanted to make political points and made art that tried to make people think about war, unfairness and treating people badly because they are different. Other street artists cared more about making beautiful, nice-looking work. In South America, many street artists went to work in poor areas adding colour, life and beauty to grey, city walls.",anthropic/claude-sonnet-4,claude-sonnet-4_descriptiv,A2_PROMPT_DESCRIPTIVE,A2
tsar2025testblind,28-a2,"Social media, magazines and shop windows bombard people daily with things to buy, and British consumers are buying more clothes and shoes than ever before. Online shopping means it is easy for customers to buy without thinking, while major brands offer such cheap clothes that they can be treated like disposable items – worn two or three times and then thrown away.",A2,"Social media, magazines and shop windows show people many things to buy every day, and British people are buying more clothes and shoes than ever before. Shopping on the internet means it is easy for people to buy without thinking, while big clothing companies sell such cheap clothes that people can throw them away after wearing them only two or three times.",anthropic/claude-sonnet-4,claude-sonnet-4_descriptiv,A2_PROMPT_DESCRIPTIVE,A2
tsar2025testblind,29-a2,"Sam squinted against the sun at the distant dust trail raked up by the car on its way up to the Big House. The horses kicked and flicked their tails at flies, not caring about their owner's first visit in ten months. Sam waited. Mr Carter didn't come out here unless he had to, which was just fine by Sam. The more he kept out of his boss's way, the longer he'd have a job. Mr, Carter wiped the sweat from the back of his neck. The damp patches on his shirt drew together like shapes in an atlas. His skin was already turning ruddy in the June sun. Otherwise he had the indoor tan of a man that made money while other people did the work.",A2,"Sam looked at the sun and saw dust behind a car going to the Big House. The horses moved their legs and tails to push away flies. They didn't care that their owner was visiting for the first time in ten months. Sam waited. Mr Carter only came here when he had to, and Sam was happy about that. If he stayed away from his boss, he could keep his job longer. Mr Carter cleaned the water from his neck. His shirt was wet and the wet parts joined together like countries on a map. His skin was getting red in the June sun. But mostly he looked like a man who stayed inside - a man who made money while other people did the hard work.",anthropic/claude-sonnet-4,claude-sonnet-4_descriptiv,A2_PROMPT_DESCRIPTIVE,A2
tsar2025testblind,30-a2,"Many city residents in Berlin, Germany complained that shooting pigs was unnecessarily cruel and there were heated arguments between hunters and animal lovers. In response to protests, the city council decided to take more peaceful action against pigs. Instead of shooting them, they have put up fences and made it illegal to feed the pigs. Time will tell if this strategy works, though it may be a losing battle as warmer winters mean that pig numbers are greater than in the past.",A2,"Many people who live in Berlin, Germany said that killing pigs with guns was too cruel and there were angry fights between hunters and people who love animals. Because people complained, the city government decided to do something more peaceful to stop the pigs. Instead of shooting them, they built walls around areas and made it against the law to give food to the pigs. We will see if this plan works, but it may be very difficult because warmer winters mean there are more pigs now than before.",anthropic/claude-sonnet-4,claude-sonnet-4_descriptiv,A2_PROMPT_DESCRIPTIVE,A2
