dataset_id,text_id,original,target_cefr,simplified,model,name,prompt_type,target
tsar2025testblind,21-a2,"Your dreams might show you all kinds of insights into things that you didn't realise you were thinking about. Common dreams like being able to fly or falling, your teeth falling out or having no clothes on in a public place probably mean something similar in most people. But the key to understanding exactly what they mean to you is to connect them to the events and feelings in your daily life.",A2,"Your dreams can show you things you didn't know you were thinking about. Many people have the same dreams - like flying, falling, losing teeth, or being naked in public. These dreams probably mean similar things for most people. But to understand what your dreams mean for you, you need to think about what happens in your daily life and how you feel.",anthropic/claude-sonnet-4,claude-sonnet-4_short,A2_PROMPT_SHORT,A2
tsar2025testblind,22-a2,"One of the most interesting cases of wild animals living in a city are the wild dogs of Moscow. In Moscow, there are approximately 35,000 wild dogs living on the streets. Some of the dogs were born wild, while others are pets that have been abandoned by their owners. Some dogs live alone and others live in packs. In 2010, scientists studied the dogs and found that the dogs have adapted remarkably successfully to urban life. They have learned that it is safer to cross the street with people and some dogs appear to understand traffic lights.",A2,"There are about 35,000 wild dogs living on the streets of Moscow. Some dogs were born on the streets. Other dogs were pets, but their owners left them. Some dogs live alone and some live in groups. In 2010, scientists studied these dogs. They found that the dogs learned to live well in the city. The dogs know it is safer to cross the street with people. Some dogs can understand traffic lights.",anthropic/claude-sonnet-4,claude-sonnet-4_short,A2_PROMPT_SHORT,A2
tsar2025testblind,23-a2,"Wonder is New Yorker RJ Palacio's first novel. On her website, she explains that the idea for the book came to her after seeing a girl with facial deformities on the street one day. Wonder has been a bestseller in the United States and has already won several awards. Many schools are using it as a starting point for discussions about bullying, friendship and what it's like to be different. A film version is being made, and many, including me, are waiting eagerly to see what RJ Palacio writes next.",A2,"Wonder is RJ Palacio's first book. She got the idea when she saw a girl with a different face on the street. The book is very popular in America and won many prizes. Schools use it to talk about bullying, friendship and being different. They are making a movie of the book. Many people, like me, want to read her next book.",anthropic/claude-sonnet-4,claude-sonnet-4_short,A2_PROMPT_SHORT,A2
tsar2025testblind,24-a2,"Chloe has two pet rats, Zena and Roxy. Chloe knows they're not typical pets and she has lost count of the times she's patiently tried to explain to people that rats aren't dirty and they make fantastic pets if you look after them correctly. But she understands why people react badly. She didn't like rats either until her friend Martin showed her his pet rats and she saw how affectionate and intelligent they were. Last year, when one of Martin's rats had babies, Chloe decided she'd like to have two of them.",A2,"Chloe has two pet rats, Zena and Roxy. Chloe knows they are not normal pets. Many times, people say rats are dirty. Chloe tells them that rats are not dirty and they are very good pets if you take care of them well. But she understands why people don't like rats. Chloe didn't like rats before too. Then her friend Martin showed her his pet rats. She saw that rats are loving and smart animals. Last year, one of Martin's rats had babies. Chloe wanted to have two of them.",anthropic/claude-sonnet-4,claude-sonnet-4_short,A2_PROMPT_SHORT,A2
tsar2025testblind,25-a2,"Cape Town can be a dangerous place for baboons. Some have been injured or killed in car accidents and others have been electrocuted as they played with electric cables. Baboons are an endangered species and to save them and minimise conflicts between humans and baboons, the city council has employed a team of Baboon Monitors. The monitors' job is to chase baboons out of urban areas or catch them and release them in the countryside. This policy has had some success, though it is proving hard to stop baboons from coming back to the city once they see it as a source of easy food.",A2,"Cape Town is dangerous for baboons. Some baboons get hurt or die in car accidents. Others die when they touch electric wires. There are not many baboons left, so the city wants to help them. The city also wants to stop problems between people and baboons. The city has workers called Baboon Monitors. These workers make baboons leave the city. Sometimes they catch baboons and take them to the countryside. This plan works a little bit. But it is difficult to stop baboons from coming back to the city. The baboons think the city has easy food.",anthropic/claude-sonnet-4,claude-sonnet-4_short,A2_PROMPT_SHORT,A2
tsar2025testblind,26-a2,"I work for a global IT company, but because their headquarters is in the States, I do all my work online from home. That means that I don't waste time commuting or making idle chit-chat with colleagues. I work on a project basis, and this flexibility is very valuable to me because it means that I can easily take some time off when my children need me to go to their school performances or if I need to schedule an appointment with the dentist. The downside is that without clear office hours, I tend to work well into the evening, sometimes skipping dinner to finish a task. ",A2,"I work for a big computer company. The main office is in America, so I work from home on my computer. I don't need to travel to work or talk to other workers. I work on different projects, and I can choose my time. This is good because I can stop work when my children have school shows or when I need to go to the doctor. But sometimes I work too late in the evening and I don't eat dinner because I want to finish my work.",anthropic/claude-sonnet-4,claude-sonnet-4_short,A2_PROMPT_SHORT,A2
tsar2025testblind,27-a2,"In the 1990s, graffiti continued but there was also an explosion in street art around the world. Some artists wanted to make political points and produced art that tried to make people think about war, inequality and discrimination. Other street artists were more concerned with producing beautiful, attractive work. In South America, many street artists went to work in poor areas adding colour, life and beauty to grey, city walls.",A2,"In the 1990s, graffiti continued but street art also became very popular around the world. Some artists wanted to talk about politics. They made art about war and unfair treatment of people. Other street artists just wanted to make beautiful art. In South America, many street artists worked in poor areas. They painted grey city walls with bright colours to make them more beautiful.",anthropic/claude-sonnet-4,claude-sonnet-4_short,A2_PROMPT_SHORT,A2
tsar2025testblind,28-a2,"Social media, magazines and shop windows bombard people daily with things to buy, and British consumers are buying more clothes and shoes than ever before. Online shopping means it is easy for customers to buy without thinking, while major brands offer such cheap clothes that they can be treated like disposable items – worn two or three times and then thrown away.",A2,"Social media, magazines and shop windows show people things to buy every day, and British people are buying more clothes and shoes than before. Online shopping makes it easy for customers to buy without thinking, while big brands sell very cheap clothes that people can throw away after wearing them two or three times.",anthropic/claude-sonnet-4,claude-sonnet-4_short,A2_PROMPT_SHORT,A2
tsar2025testblind,29-a2,"Sam squinted against the sun at the distant dust trail raked up by the car on its way up to the Big House. The horses kicked and flicked their tails at flies, not caring about their owner's first visit in ten months. Sam waited. Mr Carter didn't come out here unless he had to, which was just fine by Sam. The more he kept out of his boss's way, the longer he'd have a job. Mr, Carter wiped the sweat from the back of his neck. The damp patches on his shirt drew together like shapes in an atlas. His skin was already turning ruddy in the June sun. Otherwise he had the indoor tan of a man that made money while other people did the work.",A2,"Sam looked at the sun and saw dust from a car going to the Big House. The horses moved their tails to keep flies away. They didn't care that their owner was visiting for the first time in ten months. Sam waited. Mr Carter only came here when he had to, and Sam was happy about that. If he stayed away from his boss, he could keep his job longer. Mr Carter cleaned the sweat from his neck. His shirt was wet with sweat. His skin was getting red in the June sun. He looked like a man who stayed inside and made money while other people worked.",anthropic/claude-sonnet-4,claude-sonnet-4_short,A2_PROMPT_SHORT,A2
tsar2025testblind,30-a2,"Many city residents in Berlin, Germany complained that shooting pigs was unnecessarily cruel and there were heated arguments between hunters and animal lovers. In response to protests, the city council decided to take more peaceful action against pigs. Instead of shooting them, they have put up fences and made it illegal to feed the pigs. Time will tell if this strategy works, though it may be a losing battle as warmer winters mean that pig numbers are greater than in the past.",A2,"People in Berlin, Germany said that killing pigs was too cruel. Hunters and animal lovers had big arguments about this. Because of the protests, the city decided to try peaceful ways to stop the pigs. Now they don't shoot them. Instead, they built fences and made a law that people cannot feed the pigs. We don't know if this will work yet. It might be difficult because winters are warmer now, so there are more pigs than before.",anthropic/claude-sonnet-4,claude-sonnet-4_short,A2_PROMPT_SHORT,A2
