dataset_id,text_id,original,target_cefr,simplified,model,name,prompt_type,target
tsar2025testblind,21-a2,"Your dreams might show you all kinds of insights into things that you didn't realise you were thinking about. Common dreams like being able to fly or falling, your teeth falling out or having no clothes on in a public place probably mean something similar in most people. But the key to understanding exactly what they mean to you is to connect them to the events and feelings in your daily life.",A2,"Your dreams might show you ideas about things you didn't know you were thinking about. Usual dreams, like flying or falling, teeth falling out, or being naked in public, probably mean the same thing to most people. But the key to understanding what they mean to you is to link them to your daily life and feelings.",deepseek/deepseek-r1-distill-llama-70b,deepseek-r1-distill-llama-70b_descriptive_w_example,A2_PROMPT_DESCRIPTIVE_EXAMPLE,A2
tsar2025testblind,22-a2,"One of the most interesting cases of wild animals living in a city are the wild dogs of Moscow. In Moscow, there are approximately 35,000 wild dogs living on the streets. Some of the dogs were born wild, while others are pets that have been abandoned by their owners. Some dogs live alone and others live in packs. In 2010, scientists studied the dogs and found that the dogs have adapted remarkably successfully to urban life. They have learned that it is safer to cross the street with people and some dogs appear to understand traffic lights.",A2,"An interesting example of wild animals that live in cities is about the wild dogs in Moscow. There are about 35,000 wild dogs living on the streets of Moscow. Some of these dogs were born wild. Others were once pets but were left by their owners. Some live alone, and others live in groups. In 2010, scientists studied these dogs. They found that the dogs have adapted very well to city life. They cross the street with people because it is safer. Some dogs even seem to understand traffic lights.",deepseek/deepseek-r1-distill-llama-70b,deepseek-r1-distill-llama-70b_descriptive_w_example,A2_PROMPT_DESCRIPTIVE_EXAMPLE,A2
tsar2025testblind,23-a2,"Wonder is New Yorker RJ Palacio's first novel. On her website, she explains that the idea for the book came to her after seeing a girl with facial deformities on the street one day. Wonder has been a bestseller in the United States and has already won several awards. Many schools are using it as a starting point for discussions about bullying, friendship and what it's like to be different. A film version is being made, and many, including me, are waiting eagerly to see what RJ Palacio writes next.",A2,"RJ Palacio wrote a book called Wonder. It is her first book. She got the idea for the book after seeing a girl with a face that looked different on the street one day. The book has been very popular in the US and has won many awards. Schools use the book to talk about bullying, being friends, and being different. A movie is being made from the book. Many people, including me, can't wait to read her next book.",deepseek/deepseek-r1-distill-llama-70b,deepseek-r1-distill-llama-70b_descriptive_w_example,A2_PROMPT_DESCRIPTIVE_EXAMPLE,A2
tsar2025testblind,24-a2,"Chloe has two pet rats, Zena and Roxy. Chloe knows they're not typical pets and she has lost count of the times she's patiently tried to explain to people that rats aren't dirty and they make fantastic pets if you look after them correctly. But she understands why people react badly. She didn't like rats either until her friend Martin showed her his pet rats and she saw how affectionate and intelligent they were. Last year, when one of Martin's rats had babies, Chloe decided she'd like to have two of them.",A2,"Chloe has two pet rats named Zena and Roxy. She knows they are unusual pets. She has tried many times to explain that rats are not dirty and can make great pets if you take good care of them. Chloe understands why people might not like rats. She didn’t like them either until her friend Martin showed her his pet rats. They were very friendly and smart. Last year, when one of Martin’s rats had babies, Chloe decided she wanted two of them.",deepseek/deepseek-r1-distill-llama-70b,deepseek-r1-distill-llama-70b_descriptive_w_example,A2_PROMPT_DESCRIPTIVE_EXAMPLE,A2
tsar2025testblind,25-a2,"Cape Town can be a dangerous place for baboons. Some have been injured or killed in car accidents and others have been electrocuted as they played with electric cables. Baboons are an endangered species and to save them and minimise conflicts between humans and baboons, the city council has employed a team of Baboon Monitors. The monitors' job is to chase baboons out of urban areas or catch them and release them in the countryside. This policy has had some success, though it is proving hard to stop baboons from coming back to the city once they see it as a source of easy food.",A2,"Cape Town can be unsafe for baboons. Some get hurt or killed in car crashes, and others get hurt by electricity when they play with wires. Baboons are at risk, so the city has hired a team called Baboon Monitors to help. Their work is to send baboons away from the city or catch and release them in rural areas. This has helped a bit, but it's hard to keep them from returning once they find easy food in the city.",deepseek/deepseek-r1-distill-llama-70b,deepseek-r1-distill-llama-70b_descriptive_w_example,A2_PROMPT_DESCRIPTIVE_EXAMPLE,A2
tsar2025testblind,26-a2,"I work for a global IT company, but because their headquarters is in the States, I do all my work online from home. That means that I don't waste time commuting or making idle chit-chat with colleagues. I work on a project basis, and this flexibility is very valuable to me because it means that I can easily take some time off when my children need me to go to their school performances or if I need to schedule an appointment with the dentist. The downside is that without clear office hours, I tend to work well into the evening, sometimes skipping dinner to finish a task. ",A2,"I work for a big tech company, but since their main office is in the US, I do my job from home online. This means I don’t spend time traveling to work or chatting with coworkers. I work on different projects, and this flexibility is great because I can take time off when my kids have school events or when I need to see the dentist. The bad part is that without set working hours, I often work late into the night, sometimes even skipping dinner to finish my work.",deepseek/deepseek-r1-distill-llama-70b,deepseek-r1-distill-llama-70b_descriptive_w_example,A2_PROMPT_DESCRIPTIVE_EXAMPLE,A2
tsar2025testblind,27-a2,"In the 1990s, graffiti continued but there was also an explosion in street art around the world. Some artists wanted to make political points and produced art that tried to make people think about war, inequality and discrimination. Other street artists were more concerned with producing beautiful, attractive work. In South America, many street artists went to work in poor areas adding colour, life and beauty to grey, city walls.",A2,"In the 1990s, graffiti continued, but street art also became very popular worldwide. Some artists created art to make people think about serious issues like war, unfair treatment, and inequality. Others focused on making their art look nice and appealing. In South America, many artists painted in poor neighborhoods, making dull city walls more colorful and lively.",deepseek/deepseek-r1-distill-llama-70b,deepseek-r1-distill-llama-70b_descriptive_w_example,A2_PROMPT_DESCRIPTIVE_EXAMPLE,A2
tsar2025testblind,28-a2,"Social media, magazines and shop windows bombard people daily with things to buy, and British consumers are buying more clothes and shoes than ever before. Online shopping means it is easy for customers to buy without thinking, while major brands offer such cheap clothes that they can be treated like disposable items – worn two or three times and then thrown away.",A2,"Every day, social media, magazines, and shop windows show people things to buy. People in Britain are buying more clothes and shoes than they used to. Online shopping makes it easy to buy things without thinking much. Big fashion brands sell clothes so cheaply that people wear them a few times and then throw them away.",deepseek/deepseek-r1-distill-llama-70b,deepseek-r1-distill-llama-70b_descriptive_w_example,A2_PROMPT_DESCRIPTIVE_EXAMPLE,A2
tsar2025testblind,29-a2,"Sam squinted against the sun at the distant dust trail raked up by the car on its way up to the Big House. The horses kicked and flicked their tails at flies, not caring about their owner's first visit in ten months. Sam waited. Mr Carter didn't come out here unless he had to, which was just fine by Sam. The more he kept out of his boss's way, the longer he'd have a job. Mr, Carter wiped the sweat from the back of his neck. The damp patches on his shirt drew together like shapes in an atlas. His skin was already turning ruddy in the June sun. Otherwise he had the indoor tan of a man that made money while other people did the work.",A2,"Sam squinted at the sun as he watched the car kick up dust on its way to the Big House. The horses kicked their legs and swished their tails to keep the flies away. They didn’t care that their owner was visiting for the first time in ten months. Sam waited. Mr. Carter rarely came here, and that was okay with Sam. The less he had to deal with his boss, the longer he could keep his job. Mr. Carter wiped the sweat from the back of his neck. The wet spots on his shirt came together like shapes on a map. His skin was already turning red in the June sun. Usually, he had a pale complexion, like someone who stayed indoors while others did the work.",deepseek/deepseek-r1-distill-llama-70b,deepseek-r1-distill-llama-70b_descriptive_w_example,A2_PROMPT_DESCRIPTIVE_EXAMPLE,A2
tsar2025testblind,30-a2,"Many city residents in Berlin, Germany complained that shooting pigs was unnecessarily cruel and there were heated arguments between hunters and animal lovers. In response to protests, the city council decided to take more peaceful action against pigs. Instead of shooting them, they have put up fences and made it illegal to feed the pigs. Time will tell if this strategy works, though it may be a losing battle as warmer winters mean that pig numbers are greater than in the past.",A2,"Many people in Berlin, Germany said that shooting pigs was too cruel. This caused big arguments between hunters and people who love animals. After many complaints, the local government decided to deal with the pigs in a kinder way. Instead of shooting them, they put up fences and made it against the law to feed the pigs. Only time will tell if this will work, but it might be a losing battle because warmer winters mean there are more pigs than before.",deepseek/deepseek-r1-distill-llama-70b,deepseek-r1-distill-llama-70b_descriptive_w_example,A2_PROMPT_DESCRIPTIVE_EXAMPLE,A2
