dataset_id,text_id,original,target_cefr,simplified,model,name,prompt_type,target
tsar2025testblind,21-a2,"Your dreams might show you all kinds of insights into things that you didn't realise you were thinking about. Common dreams like being able to fly or falling, your teeth falling out or having no clothes on in a public place probably mean something similar in most people. But the key to understanding exactly what they mean to you is to connect them to the events and feelings in your daily life.",A2,"Your dreams can show you ideas about things you didn’t know you were thinking about. Dreams like flying, falling, losing teeth, or being naked in public might mean similar things for most people. To understand what they mean for you, think about how they relate to your life and feelings.",deepseek/deepseek-r1-distill-llama-70b,deepseek-r1-distill-llama-70b_short,A2_PROMPT_SHORT,A2
tsar2025testblind,22-a2,"One of the most interesting cases of wild animals living in a city are the wild dogs of Moscow. In Moscow, there are approximately 35,000 wild dogs living on the streets. Some of the dogs were born wild, while others are pets that have been abandoned by their owners. Some dogs live alone and others live in packs. In 2010, scientists studied the dogs and found that the dogs have adapted remarkably successfully to urban life. They have learned that it is safer to cross the street with people and some dogs appear to understand traffic lights.",A2,"One of the most interesting examples of wild animals living in cities are the wild dogs of Moscow. In Moscow, there are about 35,000 wild dogs living on the streets. Some of these dogs were born wild, while others were once pets but were left by their owners. Some dogs live alone, while others live in groups. In 2010, researchers studied these dogs and found that they have adapted very well to city life. They have learned that it is better to cross the street when people are around, and some dogs even seem to know when to stop and go at traffic lights.",deepseek/deepseek-r1-distill-llama-70b,deepseek-r1-distill-llama-70b_short,A2_PROMPT_SHORT,A2
tsar2025testblind,23-a2,"Wonder is New Yorker RJ Palacio's first novel. On her website, she explains that the idea for the book came to her after seeing a girl with facial deformities on the street one day. Wonder has been a bestseller in the United States and has already won several awards. Many schools are using it as a starting point for discussions about bullying, friendship and what it's like to be different. A film version is being made, and many, including me, are waiting eagerly to see what RJ Palacio writes next.",A2,"R.J. Palacio wrote a book called *Wonder*. On her website, she says the idea came to her after seeing a girl with a face that looked different on the street. *Wonder* has been very popular in the United States and has won many awards. Many schools use it to talk about bullying, friendship, and being different. A movie is being made, and many people, including me, can't wait to see what R.J. Palacio writes next.",deepseek/deepseek-r1-distill-llama-70b,deepseek-r1-distill-llama-70b_short,A2_PROMPT_SHORT,A2
tsar2025testblind,24-a2,"Chloe has two pet rats, Zena and Roxy. Chloe knows they're not typical pets and she has lost count of the times she's patiently tried to explain to people that rats aren't dirty and they make fantastic pets if you look after them correctly. But she understands why people react badly. She didn't like rats either until her friend Martin showed her his pet rats and she saw how affectionate and intelligent they were. Last year, when one of Martin's rats had babies, Chloe decided she'd like to have two of them.",A2,"Chloe has two pet rats named Zena and Roxy. She knows they are unusual pets. Chloe has tried many times to explain to people that rats are not dirty and can be great pets if you take good care of them. She understands why people don’t like rats. She didn’t like them either until her friend Martin showed her his pet rats. They were very friendly and smart. Last year, one of Martin’s rats had babies. Chloe decided to get two of them.",deepseek/deepseek-r1-distill-llama-70b,deepseek-r1-distill-llama-70b_short,A2_PROMPT_SHORT,A2
tsar2025testblind,25-a2,"Cape Town can be a dangerous place for baboons. Some have been injured or killed in car accidents and others have been electrocuted as they played with electric cables. Baboons are an endangered species and to save them and minimise conflicts between humans and baboons, the city council has employed a team of Baboon Monitors. The monitors' job is to chase baboons out of urban areas or catch them and release them in the countryside. This policy has had some success, though it is proving hard to stop baboons from coming back to the city once they see it as a source of easy food.",A2,"Cape Town can be a dangerous place for baboons. Some get hurt or killed in car accidents. Others get a shock from electric cables when they play with them. Baboons are in danger. To help them and reduce problems with humans, the city hired Baboon Monitors. Their job is to chase baboons out of the city or catch them and let them go in the countryside. This has worked a bit. But it's hard to stop baboons from returning because they find food easily in the city.",deepseek/deepseek-r1-distill-llama-70b,deepseek-r1-distill-llama-70b_short,A2_PROMPT_SHORT,A2
tsar2025testblind,26-a2,"I work for a global IT company, but because their headquarters is in the States, I do all my work online from home. That means that I don't waste time commuting or making idle chit-chat with colleagues. I work on a project basis, and this flexibility is very valuable to me because it means that I can easily take some time off when my children need me to go to their school performances or if I need to schedule an appointment with the dentist. The downside is that without clear office hours, I tend to work well into the evening, sometimes skipping dinner to finish a task. ",A2,"I work for an IT company in the United States. I do my work from home on the computer. I don't have to travel to work or talk to coworkers for no reason. I work on projects, and I can choose when I work. This is good because I can take time off when my kids have events at school or when I need to go to the dentist. But I often work late into the night because I don't have fixed working hours. Sometimes I skip dinner to finish my work.",deepseek/deepseek-r1-distill-llama-70b,deepseek-r1-distill-llama-70b_short,A2_PROMPT_SHORT,A2
tsar2025testblind,27-a2,"In the 1990s, graffiti continued but there was also an explosion in street art around the world. Some artists wanted to make political points and produced art that tried to make people think about war, inequality and discrimination. Other street artists were more concerned with producing beautiful, attractive work. In South America, many street artists went to work in poor areas adding colour, life and beauty to grey, city walls.",A2,"In the 1990s, graffiti kept going, and street art became very popular worldwide. Some artists created art to talk about important issues like war and unfairness. Others focused on making beautiful art. In South America, artists painted in poor areas, making dull walls more colorful and lively.",deepseek/deepseek-r1-distill-llama-70b,deepseek-r1-distill-llama-70b_short,A2_PROMPT_SHORT,A2
tsar2025testblind,28-a2,"Social media, magazines and shop windows bombard people daily with things to buy, and British consumers are buying more clothes and shoes than ever before. Online shopping means it is easy for customers to buy without thinking, while major brands offer such cheap clothes that they can be treated like disposable items – worn two or three times and then thrown away.",A2,"Social media, magazines and shop windows show people things to buy every day, and British people are buying more clothes and shoes than before. Online shopping makes it easy to buy things quickly, without much thought. Big fashion brands sell cheap clothes that people wear a few times and then throw away.",deepseek/deepseek-r1-distill-llama-70b,deepseek-r1-distill-llama-70b_short,A2_PROMPT_SHORT,A2
tsar2025testblind,29-a2,"Sam squinted against the sun at the distant dust trail raked up by the car on its way up to the Big House. The horses kicked and flicked their tails at flies, not caring about their owner's first visit in ten months. Sam waited. Mr Carter didn't come out here unless he had to, which was just fine by Sam. The more he kept out of his boss's way, the longer he'd have a job. Mr, Carter wiped the sweat from the back of his neck. The damp patches on his shirt drew together like shapes in an atlas. His skin was already turning ruddy in the June sun. Otherwise he had the indoor tan of a man that made money while other people did the work.",A2,"Sam squinted because of the sun. He saw a cloud of dust behind a car going up to the Big House. The horses kicked and swished their tails to keep flies away. They didn’t care that their owner was visiting for the first time in ten months. Sam waited. Mr. Carter didn’t come out unless he had to, which was fine with Sam. The less Mr. Carter bothered him, the longer Sam could keep his job. Mr. Carter wiped sweat from his neck. The wet spots on his shirt came together like shapes on a map. His skin was getting red in the sun. He had the pale skin of someone who stayed indoors and got paid while others worked.",deepseek/deepseek-r1-distill-llama-70b,deepseek-r1-distill-llama-70b_short,A2_PROMPT_SHORT,A2
tsar2025testblind,30-a2,"Many city residents in Berlin, Germany complained that shooting pigs was unnecessarily cruel and there were heated arguments between hunters and animal lovers. In response to protests, the city council decided to take more peaceful action against pigs. Instead of shooting them, they have put up fences and made it illegal to feed the pigs. Time will tell if this strategy works, though it may be a losing battle as warmer winters mean that pig numbers are greater than in the past.",A2,People in Berlin said shooting pigs was too cruel. Hunters and animal lovers argued a lot. The city council put up fences and made feeding pigs illegal to solve the problem peacefully. It’s unclear if this will work because warmer winters are causing more pigs than before.,deepseek/deepseek-r1-distill-llama-70b,deepseek-r1-distill-llama-70b_short,A2_PROMPT_SHORT,A2
