dataset_id,text_id,original,target_cefr,simplified,model,name,prompt_type,target
tsar2025testblind,21-a2,"Your dreams might show you all kinds of insights into things that you didn't realise you were thinking about. Common dreams like being able to fly or falling, your teeth falling out or having no clothes on in a public place probably mean something similar in most people. But the key to understanding exactly what they mean to you is to connect them to the events and feelings in your daily life.",A2,"
Your dreams can tell you things about yourself, things you didn’t know you were thinking about. Many people have similar dreams, like flying or falling. Others dream their teeth fall out, or they are in public without any clothes. These dreams probably have a similar meaning for most people. But to understand what your dreams mean for *you*, you need to think about what is happening in your life and how you feel each day.



",google/gemma-3-27b-it,gemma-3-27b-it_descriptive_w_example,A2_PROMPT_DESCRIPTIVE_EXAMPLE,A2
tsar2025testblind,22-a2,"One of the most interesting cases of wild animals living in a city are the wild dogs of Moscow. In Moscow, there are approximately 35,000 wild dogs living on the streets. Some of the dogs were born wild, while others are pets that have been abandoned by their owners. Some dogs live alone and others live in packs. In 2010, scientists studied the dogs and found that the dogs have adapted remarkably successfully to urban life. They have learned that it is safer to cross the street with people and some dogs appear to understand traffic lights.",A2,"
Wild dogs in Moscow are a very interesting example of animals living in a city. There are about 35,000 wild dogs living in the streets of Moscow. Some of these dogs were born in the wild, but others used to have owners who left them. Some dogs live by themselves, and others live in groups called packs. In 2010, scientists studied these dogs and discovered they have adapted very well to living in the city. They have learned it’s safer to walk across the road with people, and some dogs even seem to know what traffic lights mean.",google/gemma-3-27b-it,gemma-3-27b-it_descriptive_w_example,A2_PROMPT_DESCRIPTIVE_EXAMPLE,A2
tsar2025testblind,23-a2,"Wonder is New Yorker RJ Palacio's first novel. On her website, she explains that the idea for the book came to her after seeing a girl with facial deformities on the street one day. Wonder has been a bestseller in the United States and has already won several awards. Many schools are using it as a starting point for discussions about bullying, friendship and what it's like to be different. A film version is being made, and many, including me, are waiting eagerly to see what RJ Palacio writes next.",A2,"
Wonder is the first book by American writer RJ Palacio. She says she got the idea for the book when she saw a girl with a different face in the street. The book has been very popular in the US and has won prizes. Many schools use it to talk about being kind to others, making friends, and accepting people who are different. They are also making a movie of the book. Many people, including me, are excited to see what RJ Palacio will write next.",google/gemma-3-27b-it,gemma-3-27b-it_descriptive_w_example,A2_PROMPT_DESCRIPTIVE_EXAMPLE,A2
tsar2025testblind,24-a2,"Chloe has two pet rats, Zena and Roxy. Chloe knows they're not typical pets and she has lost count of the times she's patiently tried to explain to people that rats aren't dirty and they make fantastic pets if you look after them correctly. But she understands why people react badly. She didn't like rats either until her friend Martin showed her his pet rats and she saw how affectionate and intelligent they were. Last year, when one of Martin's rats had babies, Chloe decided she'd like to have two of them.",A2,"
Chloe has two pet rats called Zena and Roxy. Chloe knows that rats are not usual pets. She has lost count of how many times she has explained to people that rats are not dirty and can be good pets if you take care of them well. But she understands why people don’t like them. She didn’t like rats either, until her friend Martin showed her his pet rats. She saw that they were loving and clever. Last year, Martin’s rat had babies, and Chloe wanted to have two of them.",google/gemma-3-27b-it,gemma-3-27b-it_descriptive_w_example,A2_PROMPT_DESCRIPTIVE_EXAMPLE,A2
tsar2025testblind,25-a2,"Cape Town can be a dangerous place for baboons. Some have been injured or killed in car accidents and others have been electrocuted as they played with electric cables. Baboons are an endangered species and to save them and minimise conflicts between humans and baboons, the city council has employed a team of Baboon Monitors. The monitors' job is to chase baboons out of urban areas or catch them and release them in the countryside. This policy has had some success, though it is proving hard to stop baboons from coming back to the city once they see it as a source of easy food.",A2,"Cape Town can be a dangerous place for baboons. Some have been hurt or killed by cars, and others have died after touching electric wires. Baboons are an endangered species, which means there are not many left. To help them and reduce problems between people and baboons, the city has hired people called Baboon Monitors. These monitors chase baboons away from towns and cities, or catch them and let them go in the countryside. This plan has worked a little, but it’s difficult to stop baboons from returning to the city because they find food there easily.",google/gemma-3-27b-it,gemma-3-27b-it_descriptive_w_example,A2_PROMPT_DESCRIPTIVE_EXAMPLE,A2
tsar2025testblind,26-a2,"I work for a global IT company, but because their headquarters is in the States, I do all my work online from home. That means that I don't waste time commuting or making idle chit-chat with colleagues. I work on a project basis, and this flexibility is very valuable to me because it means that I can easily take some time off when my children need me to go to their school performances or if I need to schedule an appointment with the dentist. The downside is that without clear office hours, I tend to work well into the evening, sometimes skipping dinner to finish a task. ",A2,"
I work for a big computer company, but the main office is in the USA. So, I work from my home using the internet. This means I don’t spend time travelling to work or talking about nothing with people from work.

I work on different jobs, one after another. I like this because it means I can take time off easily when my children have things at school, like a show, or when I need to go to the doctor. 

But, it also has a bad side. Because I don’t have set work hours, I often work late into the night. Sometimes I even miss dinner to finish something.",google/gemma-3-27b-it,gemma-3-27b-it_descriptive_w_example,A2_PROMPT_DESCRIPTIVE_EXAMPLE,A2
tsar2025testblind,27-a2,"In the 1990s, graffiti continued but there was also an explosion in street art around the world. Some artists wanted to make political points and produced art that tried to make people think about war, inequality and discrimination. Other street artists were more concerned with producing beautiful, attractive work. In South America, many street artists went to work in poor areas adding colour, life and beauty to grey, city walls.",A2,"
In the 1990s, people continued to paint graffiti, but street art also became very popular around the world. Some artists wanted to talk about important issues, like war, unfairness and treating people differently. They made art to make people think about these things. Other artists just wanted to create beautiful pictures. In South America, many street artists worked in poor neighbourhoods. They used colour and art to make grey walls look nicer and more lively.",google/gemma-3-27b-it,gemma-3-27b-it_descriptive_w_example,A2_PROMPT_DESCRIPTIVE_EXAMPLE,A2
tsar2025testblind,28-a2,"Social media, magazines and shop windows bombard people daily with things to buy, and British consumers are buying more clothes and shoes than ever before. Online shopping means it is easy for customers to buy without thinking, while major brands offer such cheap clothes that they can be treated like disposable items – worn two or three times and then thrown away.",A2,"
Every day, people see adverts for things to buy on social media, in magazines and in shop windows. People in Britain are buying more clothes and shoes than ever before. It is now very easy to buy things online without thinking too much. Big companies sell clothes at very low prices, so people sometimes treat them as things you can throw away after wearing them only a few times.



",google/gemma-3-27b-it,gemma-3-27b-it_descriptive_w_example,A2_PROMPT_DESCRIPTIVE_EXAMPLE,A2
tsar2025testblind,29-a2,"Sam squinted against the sun at the distant dust trail raked up by the car on its way up to the Big House. The horses kicked and flicked their tails at flies, not caring about their owner's first visit in ten months. Sam waited. Mr Carter didn't come out here unless he had to, which was just fine by Sam. The more he kept out of his boss's way, the longer he'd have a job. Mr, Carter wiped the sweat from the back of his neck. The damp patches on his shirt drew together like shapes in an atlas. His skin was already turning ruddy in the June sun. Otherwise he had the indoor tan of a man that made money while other people did the work.",A2,"
Sam closed his eyes because the sun was bright. He looked at the dust from a car driving up to the main house. The horses moved and swished their tails to get rid of flies. They didn’t seem to notice their owner was visiting after ten months. Sam waited. Mr. Carter didn’t usually come outside unless he needed to, and Sam was happy about that. The less Sam saw his boss, the better – it meant he would keep his job longer. Mr. Carter wiped sweat from his neck. His shirt was wet, and the wet parts looked like shapes on a map. The sun was making his skin red. Usually, he was pale because he spent all day inside making money while other people worked.",google/gemma-3-27b-it,gemma-3-27b-it_descriptive_w_example,A2_PROMPT_DESCRIPTIVE_EXAMPLE,A2
tsar2025testblind,30-a2,"Many city residents in Berlin, Germany complained that shooting pigs was unnecessarily cruel and there were heated arguments between hunters and animal lovers. In response to protests, the city council decided to take more peaceful action against pigs. Instead of shooting them, they have put up fences and made it illegal to feed the pigs. Time will tell if this strategy works, though it may be a losing battle as warmer winters mean that pig numbers are greater than in the past.",A2,"People who live in Berlin, Germany were upset because hunters were shooting pigs, and they thought it was very cruel. Hunters and people who love animals argued about it. Because people protested, the city council decided to try a kinder way to deal with the pigs. Now, they are building fences to stop the pigs, and it is against the law to give them food. We will see if this works, but it might be difficult because the winters are getting warmer, and there are more pigs now than before.",google/gemma-3-27b-it,gemma-3-27b-it_descriptive_w_example,A2_PROMPT_DESCRIPTIVE_EXAMPLE,A2
tsar2025testblind,31-a2,"An important inspiration for the Hunger Games book comes from Suzanne's love of classical Greek mythology. When she was a child, one of her favourite stories was Theseus and the Minotaur. In this story the city of Athens is ruled by Crete, but the Athenians rebel. As a punishment, Minos the king of Crete forces the Athenians to send seven boys and seven girls to Crete every year. The youths are thrown into the labyrinth and eaten by a monster that lives there called the Minotaur. But one of the youths, named Theseus, fights the Minotaur and kills it. Suzanne sees Katniss Everdeen as a futuristic Theseus.",A2,"Suzanne Collins, the writer of The Hunger Games, was very inspired by old Greek stories. When she was young, she loved the story of Theseus and the Minotaur. 

In this story, the city of Athens had to obey Crete. But the people of Athens didn’t want to, so they fought back. As a punishment, the king of Crete, Minos, made Athens send seven boys and seven girls to Crete every year. 

These young people were put in a very confusing place called a labyrinth – like a maze – and a monster called the Minotaur ate them. The Minotaur was half-man and half-bull. But a young man named Theseus went into the labyrinth, fought the Minotaur, and killed it.

Suzanne thinks Katniss Everdeen, the main character in The Hunger Games, is like Theseus, but from the future.



",google/gemma-3-27b-it,gemma-3-27b-it_descriptive_w_example,A2_PROMPT_DESCRIPTIVE_EXAMPLE,A2
tsar2025testblind,32-a2,"By bringing people and animals together, zoos have the potential to educate the public about conservation issues and inspire people to protect animals and their habitats. Some zoos provide a safe environment for animals which have been mistreated in circuses, or pets which have been abandoned. Zoos also carry out important research into subjects like animal behaviour and how to treat illnesses.",A2,"Zoos bring people and animals together. This helps people learn about protecting animals and their homes. They can also inspire people to care about animals. Some zoos are safe places for animals that were hurt in circuses, or for pets that people didn’t want anymore. Zoos also do important studies about animals – how they act and how to make them better when they are sick.",google/gemma-3-27b-it,gemma-3-27b-it_descriptive_w_example,A2_PROMPT_DESCRIPTIVE_EXAMPLE,A2
tsar2025testblind,33-a2,"A different trend is springing up in opposition to consumerism – the 'buy nothing' trend. The idea originated in Canada in the early 1990s and then moved to the US, where it became a rejection of the overspending and overconsumption of Black Friday and Cyber Monday during Thanksgiving weekend. On Buy Nothing Day people organise various types of protests and cut up their credit cards. Throughout the year, Buy Nothing groups organise the exchange and repair of items they already own.",A2,"
A new idea is becoming popular that is against buying a lot of things – it’s called ‘buy nothing’. This idea started in Canada in the early 1990s and then went to the US. People there didn’t like spending too much money, especially on Black Friday and Cyber Monday after Thanksgiving. On Buy Nothing Day, people show their disagreement and some even cut up their credit cards. All year, Buy Nothing groups help each other by sharing things they already have and fixing things instead of buying new ones.",google/gemma-3-27b-it,gemma-3-27b-it_descriptive_w_example,A2_PROMPT_DESCRIPTIVE_EXAMPLE,A2
tsar2025testblind,34-a2,"Is graffiti art or vandalism? This depends on your point of view, but in many countries, writing or painting on public or private property is considered vandalism. Many street artists have been stopped by the police and some have had to pay fines. Many city councils complain about the high cost of cleaning graffiti off buildings, buses and trains. ",A2,"
Is graffiti art or is it damage to property? It depends on what you think. But in many countries, writing or painting on things that don’t belong to you – like walls or buses – is seen as damage. Police have stopped many artists who do this, and some have had to pay money as a punishment. City governments often say it costs a lot of money to clean graffiti off buildings, buses and trains.",google/gemma-3-27b-it,gemma-3-27b-it_descriptive_w_example,A2_PROMPT_DESCRIPTIVE_EXAMPLE,A2
tsar2025testblind,35-a2,"What does the art world think of graffiti and street art? Recently, there has been a growing recognition of its value as an art form. There have been major exhibitions of street art in galleries in Paris, London and Los Angeles. The American artist Elura Emerald organised a street art exhibition at a New York gallery in 2008. She defended street artists, saying 'artists who paint on the street are merely expressing themselves, not hurting anyone. They should be appreciated and celebrated'.",A2,"
People who work with art are starting to see graffiti and street art as real art. More and more, they think it has value. There have been big shows of street art in art spaces in cities like Paris, London and Los Angeles. In 2008, an American artist called Elura Emerald had a street art show in New York. She said street artists are just showing what they feel, and aren’t causing any harm. She believes they should be liked and celebrated.",google/gemma-3-27b-it,gemma-3-27b-it_descriptive_w_example,A2_PROMPT_DESCRIPTIVE_EXAMPLE,A2
tsar2025testblind,36-a2,"If most people have four to six dreams every night after the age of ten, that's as many as 2,000 dreams per year. So, by the time they reach 80 years old the average person might have had 140,000 dreams. Even if we forget 95–99 per cent of our dreams, that's still a few thousand remembered dreams across a lifetime. It's not too difficult to believe that, by coincidence, a dream event is followed by a real-life event that's similar to it, especially if the subject of the dream is something that happens often in everyday life.",A2,"
Most people have four to six dreams each night after they are ten years old. That means they can have up to 2,000 dreams every year. By the time someone is 80 years old, they might have had 140,000 dreams!

Even though we forget most of our dreams – usually 95 to 99 out of every 100 – we still remember a few thousand dreams in our life. It’s not surprising that sometimes something in a dream happens later in real life. This is especially true if the dream is about something that often happens to us when we are awake. It can just be a coincidence – meaning it happens by chance.



",google/gemma-3-27b-it,gemma-3-27b-it_descriptive_w_example,A2_PROMPT_DESCRIPTIVE_EXAMPLE,A2
tsar2025testblind,37-a2,"The Hunger Games takes place in the future, after the destruction of North America. The country is called Panem and is made up of twelve poor districts governed by the wealthy Capitol. The Capitol holds absolute power over the nation. Each district is responsible for producing different things for the Capitol. District 12, where the story begins, provides all the coal for the country. There used to be a thirteenth district but they rebelled against the Capitol in the past and were destroyed. ",A2,"
The Hunger Games is a story that happens in the future, after North America was destroyed. The country is now called Panem. It has twelve poor areas, and a rich city called the Capitol controls them all. The Capitol has total power over everyone. Each area makes something different for the Capitol. The story starts in District 12, which provides coal for the whole country. There used to be a District 13, but they fought against the Capitol a long time ago and were destroyed because of it.



",google/gemma-3-27b-it,gemma-3-27b-it_descriptive_w_example,A2_PROMPT_DESCRIPTIVE_EXAMPLE,A2
tsar2025testblind,38-a2,"Often wild animals come into cities to look for food. In Cape Town, South Africa, baboons have started coming into residential areas on the edge of the city to feed. They open rubbish bins and eat fruit from gardens and orchards. Some brave baboons have even come into people's houses and taken food from kitchen cupboards and fridges! Baboons can be aggressive and have attacked a lot of pet animals, so understandably, many city residents don't welcome their presence.",A2,"
Sometimes, wild animals go into towns and cities to find food. In Cape Town, South Africa, baboons now come into areas where people live, near the city, to eat. They open rubbish bins and eat fruit from gardens and places where fruit trees grow. Some baboons are even very bold and go inside people’s houses to take food from cupboards and fridges! Baboons can be dangerous and have hurt many pets, so it’s not surprising that many people who live in the city don’t like them being there.



",google/gemma-3-27b-it,gemma-3-27b-it_descriptive_w_example,A2_PROMPT_DESCRIPTIVE_EXAMPLE,A2
tsar2025testblind,39-a2,"A large number of bridge accidents occur during the construction of the bridge itself. These accidents are often due to an error made by the engineers, such as a miscalculation. The bridge collapses under its own weight, and this can be deadly for the workers on it at the time.",A2,"
Many accidents happen when bridges are being built. These accidents often happen because of a mistake made by the people who design the bridge, like a wrong calculation. Then the bridge can fall down because it is too heavy, and this can be very dangerous for the workers who are on it.



",google/gemma-3-27b-it,gemma-3-27b-it_descriptive_w_example,A2_PROMPT_DESCRIPTIVE_EXAMPLE,A2
