dataset_id,text_id,original,target_cefr,simplified,model,name,prompt_type,target
tsar2025testblind,21-a2,"Your dreams might show you all kinds of insights into things that you didn't realise you were thinking about. Common dreams like being able to fly or falling, your teeth falling out or having no clothes on in a public place probably mean something similar in most people. But the key to understanding exactly what they mean to you is to connect them to the events and feelings in your daily life.",A2,"
Dreams can tell you things about what you think and feel, even if you don’t know it. Many people have similar dreams, like flying, falling, losing teeth, or being without clothes in public. These dreams usually have a similar meaning for most people. But to understand *your* dreams, think about what happens in your life and how you feel each day.



",google/gemma-3-27b-it,gemma-3-27b-it_short,A2_PROMPT_SHORT,A2
tsar2025testblind,22-a2,"One of the most interesting cases of wild animals living in a city are the wild dogs of Moscow. In Moscow, there are approximately 35,000 wild dogs living on the streets. Some of the dogs were born wild, while others are pets that have been abandoned by their owners. Some dogs live alone and others live in packs. In 2010, scientists studied the dogs and found that the dogs have adapted remarkably successfully to urban life. They have learned that it is safer to cross the street with people and some dogs appear to understand traffic lights.",A2,"Wild dogs live in Moscow, a big city. There are about 35,000 of them! Some were born in the streets, and some were once pets. They live alone or in groups. Scientists studied these dogs and found they are very good at living in the city. They know it’s safer to cross the road with people, and some even seem to know what traffic lights mean.



",google/gemma-3-27b-it,gemma-3-27b-it_short,A2_PROMPT_SHORT,A2
tsar2025testblind,23-a2,"Wonder is New Yorker RJ Palacio's first novel. On her website, she explains that the idea for the book came to her after seeing a girl with facial deformities on the street one day. Wonder has been a bestseller in the United States and has already won several awards. Many schools are using it as a starting point for discussions about bullying, friendship and what it's like to be different. A film version is being made, and many, including me, are waiting eagerly to see what RJ Palacio writes next.",A2,"
Wonder is the first book by RJ Palacio, a writer from New York. She got the idea for the story after seeing a girl who looked different. The book has been very popular in the US and has won prizes. Schools use it to talk about being kind to others, making friends, and accepting people who are different. They are making a film of the book, and many people are excited to see it. I am also excited to read RJ Palacio’s next book.



",google/gemma-3-27b-it,gemma-3-27b-it_short,A2_PROMPT_SHORT,A2
tsar2025testblind,24-a2,"Chloe has two pet rats, Zena and Roxy. Chloe knows they're not typical pets and she has lost count of the times she's patiently tried to explain to people that rats aren't dirty and they make fantastic pets if you look after them correctly. But she understands why people react badly. She didn't like rats either until her friend Martin showed her his pet rats and she saw how affectionate and intelligent they were. Last year, when one of Martin's rats had babies, Chloe decided she'd like to have two of them.",A2,"
Chloe has two pet rats called Zena and Roxy. She knows rats are not usual pets. She has often explained to people that rats are clean and can be good pets if you care for them well. She knows people don’t always like rats. She didn’t like them either, until her friend Martin showed her his rats. She saw they were loving and clever. Last year, Martin’s rat had babies, and Chloe wanted two of them.



",google/gemma-3-27b-it,gemma-3-27b-it_short,A2_PROMPT_SHORT,A2
tsar2025testblind,25-a2,"Cape Town can be a dangerous place for baboons. Some have been injured or killed in car accidents and others have been electrocuted as they played with electric cables. Baboons are an endangered species and to save them and minimise conflicts between humans and baboons, the city council has employed a team of Baboon Monitors. The monitors' job is to chase baboons out of urban areas or catch them and release them in the countryside. This policy has had some success, though it is proving hard to stop baboons from coming back to the city once they see it as a source of easy food.",A2,"Baboons sometimes have problems in Cape Town. They can be hurt by cars or electricity. Baboons need our help because there aren’t many of them left. So, the city has people called Baboon Monitors. These monitors try to keep baboons away from houses and roads, or move them to the countryside. This helps, but baboons often come back to the city to find food.



",google/gemma-3-27b-it,gemma-3-27b-it_short,A2_PROMPT_SHORT,A2
tsar2025testblind,26-a2,"I work for a global IT company, but because their headquarters is in the States, I do all my work online from home. That means that I don't waste time commuting or making idle chit-chat with colleagues. I work on a project basis, and this flexibility is very valuable to me because it means that I can easily take some time off when my children need me to go to their school performances or if I need to schedule an appointment with the dentist. The downside is that without clear office hours, I tend to work well into the evening, sometimes skipping dinner to finish a task. ",A2,"
I work for a big computer company, but the main office is in the USA. So, I work from home online. This means I don’t spend time travelling to work or talking to colleagues about nothing. I work on different projects, and I like that I can be flexible. It’s good because I can easily go to my children’s school events or go to the dentist. However, I don’t have fixed working hours, so I often work late, and sometimes I don’t have time to eat dinner.



",google/gemma-3-27b-it,gemma-3-27b-it_short,A2_PROMPT_SHORT,A2
tsar2025testblind,27-a2,"In the 1990s, graffiti continued but there was also an explosion in street art around the world. Some artists wanted to make political points and produced art that tried to make people think about war, inequality and discrimination. Other street artists were more concerned with producing beautiful, attractive work. In South America, many street artists went to work in poor areas adding colour, life and beauty to grey, city walls.",A2,"
In the 1990s, people continued to paint graffiti, but street art also became very popular worldwide. Some artists used their art to talk about problems like war and unfairness. Other artists wanted to create beautiful pictures. In South America, artists painted colourful art on walls in poor areas to make them look nicer.



",google/gemma-3-27b-it,gemma-3-27b-it_short,A2_PROMPT_SHORT,A2
tsar2025testblind,28-a2,"Social media, magazines and shop windows bombard people daily with things to buy, and British consumers are buying more clothes and shoes than ever before. Online shopping means it is easy for customers to buy without thinking, while major brands offer such cheap clothes that they can be treated like disposable items – worn two or three times and then thrown away.",A2,"

Every day, people see lots of adverts for things to buy in shops, magazines and online. People in Britain are buying more clothes and shoes than ever before. It’s easy to buy things quickly online. Also, some big shops sell clothes that are very cheap, so people don’t mind throwing them away after only wearing them a few times.



",google/gemma-3-27b-it,gemma-3-27b-it_short,A2_PROMPT_SHORT,A2
tsar2025testblind,29-a2,"Sam squinted against the sun at the distant dust trail raked up by the car on its way up to the Big House. The horses kicked and flicked their tails at flies, not caring about their owner's first visit in ten months. Sam waited. Mr Carter didn't come out here unless he had to, which was just fine by Sam. The more he kept out of his boss's way, the longer he'd have a job. Mr, Carter wiped the sweat from the back of his neck. The damp patches on his shirt drew together like shapes in an atlas. His skin was already turning ruddy in the June sun. Otherwise he had the indoor tan of a man that made money while other people did the work.",A2,"Sam looked towards the Big House. A car was driving up, making dust in the air. He waited. The horses didn’t mind, they just swatted flies with their tails. Sam’s boss, Mr Carter, hadn’t visited for ten months. Sam didn’t mind when Mr Carter stayed away – it meant he was less likely to lose his job.

Mr Carter wiped his neck with a cloth. His shirt was wet with sweat. He looked red from the sun, but usually he was pale because he worked inside and let others do the hard work.



",google/gemma-3-27b-it,gemma-3-27b-it_short,A2_PROMPT_SHORT,A2
tsar2025testblind,30-a2,"Many city residents in Berlin, Germany complained that shooting pigs was unnecessarily cruel and there were heated arguments between hunters and animal lovers. In response to protests, the city council decided to take more peaceful action against pigs. Instead of shooting them, they have put up fences and made it illegal to feed the pigs. Time will tell if this strategy works, though it may be a losing battle as warmer winters mean that pig numbers are greater than in the past.",A2,"People in Berlin, Germany were upset because the city was shooting wild pigs, and they thought it was cruel. Hunters and people who love animals argued about it. Now, the city is trying a different way to control the pigs. They are building fences and stopping people from giving them food. It’s not clear if this will work, because there are more pigs now than before, as the winters are getting warmer.



",google/gemma-3-27b-it,gemma-3-27b-it_short,A2_PROMPT_SHORT,A2
