dataset_id,text_id,original,target_cefr,simplified,model,name,prompt_type,target
tsar2025testblind,21-a2,"Your dreams might show you all kinds of insights into things that you didn't realise you were thinking about. Common dreams like being able to fly or falling, your teeth falling out or having no clothes on in a public place probably mean something similar in most people. But the key to understanding exactly what they mean to you is to connect them to the events and feelings in your daily life.",A2,"Your dreams can show you ideas about things you did not know you were thinking about. Common dreams, like flying, falling, losing your teeth, or being without clothes in a public place, probably mean similar things for most people. But to know exactly what they mean for you, you need to connect them to the events and feelings in your everyday life.",openai/gpt-oss-120b,gpt-oss-120b_descriptiv,A2_PROMPT_DESCRIPTIVE,A2
tsar2025testblind,22-a2,"One of the most interesting cases of wild animals living in a city are the wild dogs of Moscow. In Moscow, there are approximately 35,000 wild dogs living on the streets. Some of the dogs were born wild, while others are pets that have been abandoned by their owners. Some dogs live alone and others live in packs. In 2010, scientists studied the dogs and found that the dogs have adapted remarkably successfully to urban life. They have learned that it is safer to cross the street with people and some dogs appear to understand traffic lights.",A2,"One of the most interesting examples of wild animals in a city is the wild dogs of Moscow. In Moscow there are about 35,000 wild dogs on the streets. Some dogs were born in the wild, and some were pets that people left behind. Some dogs live alone, and some live in groups. In 2010, scientists looked at the dogs and saw that the dogs have gotten used very well to city life. They have learned that it is safer to cross the road with people, and some dogs seem to understand traffic lights.",openai/gpt-oss-120b,gpt-oss-120b_descriptiv,A2_PROMPT_DESCRIPTIVE,A2
tsar2025testblind,23-a2,"Wonder is New Yorker RJ Palacio's first novel. On her website, she explains that the idea for the book came to her after seeing a girl with facial deformities on the street one day. Wonder has been a bestseller in the United States and has already won several awards. Many schools are using it as a starting point for discussions about bullying, friendship and what it's like to be different. A film version is being made, and many, including me, are waiting eagerly to see what RJ Palacio writes next.",A2,"Wonder is the first book written by RJ Palacio, who lives in New York. On her website she says she thought of the story after she saw a girl on the street whose face looked different. Wonder has become a very popular book in the United States and has won several awards. Many schools read it to talk about being mean, making friends, and how it feels to be different. A movie is being made, and many people, including me, are waiting excitedly to see what RJ Palacio writes next.",openai/gpt-oss-120b,gpt-oss-120b_descriptiv,A2_PROMPT_DESCRIPTIVE,A2
tsar2025testblind,24-a2,"Chloe has two pet rats, Zena and Roxy. Chloe knows they're not typical pets and she has lost count of the times she's patiently tried to explain to people that rats aren't dirty and they make fantastic pets if you look after them correctly. But she understands why people react badly. She didn't like rats either until her friend Martin showed her his pet rats and she saw how affectionate and intelligent they were. Last year, when one of Martin's rats had babies, Chloe decided she'd like to have two of them.",A2,"Chloe has two pet rats, Zena and Roxy. She knows rats are not usual pets and she can’t remember how many times she has tried to tell people that rats are not dirty and can be great pets if you take good care of them. But she knows why people feel bad about them. She didn’t like rats either until her friend Martin showed her his pet rats and she saw how they show love and are smart. Last year, when one of Martin’s rats had baby rats, Chloe decided she would like to have two of them.",openai/gpt-oss-120b,gpt-oss-120b_descriptiv,A2_PROMPT_DESCRIPTIVE,A2
tsar2025testblind,25-a2,"Cape Town can be a dangerous place for baboons. Some have been injured or killed in car accidents and others have been electrocuted as they played with electric cables. Baboons are an endangered species and to save them and minimise conflicts between humans and baboons, the city council has employed a team of Baboon Monitors. The monitors' job is to chase baboons out of urban areas or catch them and release them in the countryside. This policy has had some success, though it is proving hard to stop baboons from coming back to the city once they see it as a source of easy food.",A2,"Cape Town can be a dangerous place for baboons. Some baboons have been hurt or killed in car crashes, and some have been shocked by electric wires when they played with them. Baboons are an endangered species (a kind of animal that may disappear). To protect them and reduce fights between people and baboons, the local government hired a group of Baboon Monitors. Their job is to chase baboons out of the city or catch them and let them go in the countryside. This plan has worked a little, but it is still hard to stop baboons from coming back to the city when they think it has easy food.",openai/gpt-oss-120b,gpt-oss-120b_descriptiv,A2_PROMPT_DESCRIPTIVE,A2
tsar2025testblind,26-a2,"I work for a global IT company, but because their headquarters is in the States, I do all my work online from home. That means that I don't waste time commuting or making idle chit-chat with colleagues. I work on a project basis, and this flexibility is very valuable to me because it means that I can easily take some time off when my children need me to go to their school performances or if I need to schedule an appointment with the dentist. The downside is that without clear office hours, I tend to work well into the evening, sometimes skipping dinner to finish a task. ",A2,"I work for a big computer company. Their main office is in the USA, so I do all my work on the internet from home. I do not spend time traveling to work or talking about nothing with coworkers. I work on each project separately, and this freedom is very important to me because I can take time off when my children need me at school shows or when I have a dentist appointment. The bad side is that because there are no fixed office hours, I often work late at night and sometimes skip dinner to finish a job.",openai/gpt-oss-120b,gpt-oss-120b_descriptiv,A2_PROMPT_DESCRIPTIVE,A2
tsar2025testblind,27-a2,"In the 1990s, graffiti continued but there was also an explosion in street art around the world. Some artists wanted to make political points and produced art that tried to make people think about war, inequality and discrimination. Other street artists were more concerned with producing beautiful, attractive work. In South America, many street artists went to work in poor areas adding colour, life and beauty to grey, city walls.",A2,"In the 1990s, people still made graffiti, and street art grew a lot all over the world. Some artists wanted to talk about politics. They made pictures that made people think about war, unfairness and treating people badly because of who they are. Other street artists cared more about making pretty and nice pictures. In South America, many street artists worked in poor neighbourhoods. They added colour, life and beauty to the boring, grey walls of the city.",openai/gpt-oss-120b,gpt-oss-120b_descriptiv,A2_PROMPT_DESCRIPTIVE,A2
tsar2025testblind,28-a2,"Social media, magazines and shop windows bombard people daily with things to buy, and British consumers are buying more clothes and shoes than ever before. Online shopping means it is easy for customers to buy without thinking, while major brands offer such cheap clothes that they can be treated like disposable items – worn two or three times and then thrown away.",A2,"Social media, magazines and shop windows show people many things to buy every day, and people in Britain are buying more clothes and shoes than before. Buying online makes it easy for shoppers to buy without thinking, and big brands sell very cheap clothes that can be used like disposable items – things you wear only two or three times and then throw away.",openai/gpt-oss-120b,gpt-oss-120b_descriptiv,A2_PROMPT_DESCRIPTIVE,A2
tsar2025testblind,29-a2,"Sam squinted against the sun at the distant dust trail raked up by the car on its way up to the Big House. The horses kicked and flicked their tails at flies, not caring about their owner's first visit in ten months. Sam waited. Mr Carter didn't come out here unless he had to, which was just fine by Sam. The more he kept out of his boss's way, the longer he'd have a job. Mr, Carter wiped the sweat from the back of his neck. The damp patches on his shirt drew together like shapes in an atlas. His skin was already turning ruddy in the June sun. Otherwise he had the indoor tan of a man that made money while other people did the work.",A2,"Sam narrowed his eyes against the sun at the dusty road the car had made while going up to the big house (the main house). The horses kicked and swished their tails at flies, not caring about their owner's first visit in ten months. Sam waited. Mr. Carter did not come out here unless he had to, which was fine for Sam. The more he stayed away from his boss, the longer he could keep his job. Mr. Carter wiped sweat from the back of his neck. The wet spots on his shirt clumped together like pictures in a map book. His skin was already turning red in the June sun. Otherwise he had the pale skin of a man who makes money while other people do the work.",openai/gpt-oss-120b,gpt-oss-120b_descriptiv,A2_PROMPT_DESCRIPTIVE,A2
tsar2025testblind,30-a2,"Many city residents in Berlin, Germany complained that shooting pigs was unnecessarily cruel and there were heated arguments between hunters and animal lovers. In response to protests, the city council decided to take more peaceful action against pigs. Instead of shooting them, they have put up fences and made it illegal to feed the pigs. Time will tell if this strategy works, though it may be a losing battle as warmer winters mean that pig numbers are greater than in the past.",A2,"Many people who live in Berlin, Germany, said that shooting pigs is very mean. They also had strong arguments between hunters and animal lovers. After the protests, the city leaders chose a calmer way to deal with the pigs. Instead of shooting them, they built fences and made it not allowed to give food to the pigs. Only time will show if this plan works, but it may be hard because warmer winters mean there are more pigs than before.",openai/gpt-oss-120b,gpt-oss-120b_descriptiv,A2_PROMPT_DESCRIPTIVE,A2
