dataset_id,text_id,original,target_cefr,simplified,model,name,prompt_type,target
tsar2025testblind,21-a2,"Your dreams might show you all kinds of insights into things that you didn't realise you were thinking about. Common dreams like being able to fly or falling, your teeth falling out or having no clothes on in a public place probably mean something similar in most people. But the key to understanding exactly what they mean to you is to connect them to the events and feelings in your daily life.",A2,"Your dreams can give you ideas about things you did not know you were thinking about. Many people have similar dreams, such as flying, falling, losing teeth, or being naked in public. These dreams usually mean the same thing for most people. But to know exactly what a dream means for you, you need to link it to the events and feelings in your everyday life.",openai/gpt-oss-120b,gpt-oss-120b_descriptive_w_example,A2_PROMPT_DESCRIPTIVE_EXAMPLE,A2
tsar2025testblind,22-a2,"One of the most interesting cases of wild animals living in a city are the wild dogs of Moscow. In Moscow, there are approximately 35,000 wild dogs living on the streets. Some of the dogs were born wild, while others are pets that have been abandoned by their owners. Some dogs live alone and others live in packs. In 2010, scientists studied the dogs and found that the dogs have adapted remarkably successfully to urban life. They have learned that it is safer to cross the street with people and some dogs appear to understand traffic lights.",A2,"One interesting example of wild animals living in a city is the wild dogs in Moscow. In Moscow there are about 35,000 wild dogs on the streets. Some dogs were born in the wild, and some were pets that people left. Some dogs live alone, and some live in groups. In 2010, scientists studied the dogs and saw that the dogs have changed well to city life. They have learned that it is safer to cross the road with people, and some dogs seem to know how traffic lights work.",openai/gpt-oss-120b,gpt-oss-120b_descriptive_w_example,A2_PROMPT_DESCRIPTIVE_EXAMPLE,A2
tsar2025testblind,23-a2,"Wonder is New Yorker RJ Palacio's first novel. On her website, she explains that the idea for the book came to her after seeing a girl with facial deformities on the street one day. Wonder has been a bestseller in the United States and has already won several awards. Many schools are using it as a starting point for discussions about bullying, friendship and what it's like to be different. A film version is being made, and many, including me, are waiting eagerly to see what RJ Palacio writes next.",A2,"Wonder is the first book written by RJ Palacio, who lives in New York. On her website, she says she thought of the story after she saw a girl on the street who had a face that looks different. Wonder has sold many copies in the United States and has won several prizes. Many schools read it to talk about bullying, friendship, and how it feels to be different. A movie is being made, and many people, including me, are excited to see what RJ Palacio writes next.",openai/gpt-oss-120b,gpt-oss-120b_descriptive_w_example,A2_PROMPT_DESCRIPTIVE_EXAMPLE,A2
tsar2025testblind,24-a2,"Chloe has two pet rats, Zena and Roxy. Chloe knows they're not typical pets and she has lost count of the times she's patiently tried to explain to people that rats aren't dirty and they make fantastic pets if you look after them correctly. But she understands why people react badly. She didn't like rats either until her friend Martin showed her his pet rats and she saw how affectionate and intelligent they were. Last year, when one of Martin's rats had babies, Chloe decided she'd like to have two of them.",A2,"Chloe has two pet rats. Their names are Zena and Roxy.  
She knows rats are not normal pets. She has tried many times to tell people that rats are not dirty and can be great pets if you take good care of them.  
She understands why some people do not like rats.  
She did not like rats before, but her friend Martin showed her his rats. She saw that they are friendly and smart.  
Last year, when one of Martin’s rats had baby rats, Chloe decided she would like to have two rats of her own.",openai/gpt-oss-120b,gpt-oss-120b_descriptive_w_example,A2_PROMPT_DESCRIPTIVE_EXAMPLE,A2
tsar2025testblind,25-a2,"Cape Town can be a dangerous place for baboons. Some have been injured or killed in car accidents and others have been electrocuted as they played with electric cables. Baboons are an endangered species and to save them and minimise conflicts between humans and baboons, the city council has employed a team of Baboon Monitors. The monitors' job is to chase baboons out of urban areas or catch them and release them in the countryside. This policy has had some success, though it is proving hard to stop baboons from coming back to the city once they see it as a source of easy food.",A2,"Cape Town can be a risky place for baboons. Some baboons get hurt or die in car crashes, and some die because they touch electric wires. Baboons are a species that is in danger of disappearing (they are called an endangered species). To protect them and lower fights between people and baboons, the local government has hired a group called Baboon Monitors. The monitors try to drive baboons away from the city or catch them and let them go back to the countryside. This plan has worked a little, but it is still hard to keep baboons from coming back to the city when they think the city has easy food.",openai/gpt-oss-120b,gpt-oss-120b_descriptive_w_example,A2_PROMPT_DESCRIPTIVE_EXAMPLE,A2
tsar2025testblind,26-a2,"I work for a global IT company, but because their headquarters is in the States, I do all my work online from home. That means that I don't waste time commuting or making idle chit-chat with colleagues. I work on a project basis, and this flexibility is very valuable to me because it means that I can easily take some time off when my children need me to go to their school performances or if I need to schedule an appointment with the dentist. The downside is that without clear office hours, I tend to work well into the evening, sometimes skipping dinner to finish a task. ",A2,"I work for a big computer company. Their main office is in the USA, so I do all my work on the computer from home. This means I do not spend time traveling to work or talking a lot with coworkers. I work on different jobs (called projects), and this freedom is very important to me because I can easily take time off when my children need me at school shows or when I have to go to the dentist. The bad side is that because there are no set work times, I often work late in the evening and sometimes I do not eat dinner to finish a job.",openai/gpt-oss-120b,gpt-oss-120b_descriptive_w_example,A2_PROMPT_DESCRIPTIVE_EXAMPLE,A2
tsar2025testblind,27-a2,"In the 1990s, graffiti continued but there was also an explosion in street art around the world. Some artists wanted to make political points and produced art that tried to make people think about war, inequality and discrimination. Other street artists were more concerned with producing beautiful, attractive work. In South America, many street artists went to work in poor areas adding colour, life and beauty to grey, city walls.",A2,"In the 1990s, people still made graffiti, but street art grew a lot all over the world. Some artists wanted to talk about politics. They made pictures that tried to make people think about war, unfair treatment and discrimination (treating people badly because of their race, gender, or other reasons). Other street artists cared more about making pretty and attractive pictures. In South America, many street artists worked in poor neighbourhoods. They added colour, life and beauty to the grey walls of the city.",openai/gpt-oss-120b,gpt-oss-120b_descriptive_w_example,A2_PROMPT_DESCRIPTIVE_EXAMPLE,A2
tsar2025testblind,28-a2,"Social media, magazines and shop windows bombard people daily with things to buy, and British consumers are buying more clothes and shoes than ever before. Online shopping means it is easy for customers to buy without thinking, while major brands offer such cheap clothes that they can be treated like disposable items – worn two or three times and then thrown away.",A2,"Every day, social media (websites like Facebook), magazines and shop windows show many things to buy. People in Britain are buying more clothes and shoes than before. Shopping online makes it easy to buy without thinking. Big brands sell very cheap clothes, so they are treated like things you can throw away after a short time – only two or three wears and then they are thrown away.",openai/gpt-oss-120b,gpt-oss-120b_descriptive_w_example,A2_PROMPT_DESCRIPTIVE_EXAMPLE,A2
tsar2025testblind,29-a2,"Sam squinted against the sun at the distant dust trail raked up by the car on its way up to the Big House. The horses kicked and flicked their tails at flies, not caring about their owner's first visit in ten months. Sam waited. Mr Carter didn't come out here unless he had to, which was just fine by Sam. The more he kept out of his boss's way, the longer he'd have a job. Mr, Carter wiped the sweat from the back of his neck. The damp patches on his shirt drew together like shapes in an atlas. His skin was already turning ruddy in the June sun. Otherwise he had the indoor tan of a man that made money while other people did the work.",A2,"Sam narrowed his eyes against the bright sun and looked at the dusty road that the car made as it went up to the big house. The horses kicked and swished their tails at flies, and they did not care that their owner had not visited for ten months. Sam waited. Mr. Carter only came out here when he had to, and Sam liked that. The more Sam stayed away from his boss, the longer he could keep his job. Mr. Carter wiped the sweat from the back of his neck. The wet spots on his shirt looked like shapes on a map. His skin was already turning red in the June sun. He also had a light tan from being inside (a tan you get without going outside).",openai/gpt-oss-120b,gpt-oss-120b_descriptive_w_example,A2_PROMPT_DESCRIPTIVE_EXAMPLE,A2
tsar2025testblind,30-a2,"Many city residents in Berlin, Germany complained that shooting pigs was unnecessarily cruel and there were heated arguments between hunters and animal lovers. In response to protests, the city council decided to take more peaceful action against pigs. Instead of shooting them, they have put up fences and made it illegal to feed the pigs. Time will tell if this strategy works, though it may be a losing battle as warmer winters mean that pig numbers are greater than in the past.",A2,"Many people who live in Berlin, Germany said that shooting pigs was too cruel. There were strong arguments between hunters and people who love animals. After the protests, the city council (the group that makes rules for the city) chose a calmer way to deal with the pigs. Instead of shooting them, they built fences and made it illegal (not allowed by law) to feed the pigs. We will see later if this plan works, but it might be hard because milder (warmer) winters mean there are more pigs now than before.",openai/gpt-oss-120b,gpt-oss-120b_descriptive_w_example,A2_PROMPT_DESCRIPTIVE_EXAMPLE,A2
tsar2025testblind,31-a2,"An important inspiration for the Hunger Games book comes from Suzanne's love of classical Greek mythology. When she was a child, one of her favourite stories was Theseus and the Minotaur. In this story the city of Athens is ruled by Crete, but the Athenians rebel. As a punishment, Minos the king of Crete forces the Athenians to send seven boys and seven girls to Crete every year. The youths are thrown into the labyrinth and eaten by a monster that lives there called the Minotaur. But one of the youths, named Theseus, fights the Minotaur and kills it. Suzanne sees Katniss Everdeen as a futuristic Theseus.",A2,"One big idea for the book *The Hunger Games* comes from Suzanne’s love of old Greek stories. When she was a child, she liked the story of Theseus and the Minotaur. In that story, the city of Athens is ruled by the island of Crete, but the Athenians fight back. As a punishment, the king of Crete, Minos, makes Athens send seven boys and seven girls to Crete every year. The young people are put into a big maze and are eaten by a monster called the Minotaur. But one young man, Theseus, fights the Minotaur and kills it. Suzanne sees Katniss Everdeen as a Theseus who lives in the future.",openai/gpt-oss-120b,gpt-oss-120b_descriptive_w_example,A2_PROMPT_DESCRIPTIVE_EXAMPLE,A2
tsar2025testblind,32-a2,"By bringing people and animals together, zoos have the potential to educate the public about conservation issues and inspire people to protect animals and their habitats. Some zoos provide a safe environment for animals which have been mistreated in circuses, or pets which have been abandoned. Zoos also carry out important research into subjects like animal behaviour and how to treat illnesses.",A2,Zoos let people see animals. This can teach people about protecting nature and make them want to keep animals and the places where they live safe. Some zoos give a safe home to animals that were hurt in circuses or pets that were left alone. Zoos also do important studies about how animals act and how to help them when they are sick.,openai/gpt-oss-120b,gpt-oss-120b_descriptive_w_example,A2_PROMPT_DESCRIPTIVE_EXAMPLE,A2
