dataset_id,text_id,original,target_cefr,simplified,model,name,prompt_type,target
tsar2025testblind,21-a2,"Your dreams might show you all kinds of insights into things that you didn't realise you were thinking about. Common dreams like being able to fly or falling, your teeth falling out or having no clothes on in a public place probably mean something similar in most people. But the key to understanding exactly what they mean to you is to connect them to the events and feelings in your daily life.",A2,"Your dreams can give you ideas about things you didn’t know you were thinking about. Many people have similar dreams, like flying, falling, losing teeth, or being naked in public. These dreams usually mean the same thing for most people. To know what a dream really means for you, think about what is happening and how you feel in your everyday life.",openai/gpt-oss-120b,gpt-oss-120b_short,A2_PROMPT_SHORT,A2
tsar2025testblind,22-a2,"One of the most interesting cases of wild animals living in a city are the wild dogs of Moscow. In Moscow, there are approximately 35,000 wild dogs living on the streets. Some of the dogs were born wild, while others are pets that have been abandoned by their owners. Some dogs live alone and others live in packs. In 2010, scientists studied the dogs and found that the dogs have adapted remarkably successfully to urban life. They have learned that it is safer to cross the street with people and some dogs appear to understand traffic lights.",A2,"One interesting example of wild animals in a city is the wild dogs of Moscow. About 35,000 wild dogs live on the streets of Moscow. Some dogs were born in the wild, and other dogs were once pets but were left by their owners. Some dogs live alone, while others live in groups. In 2010, scientists studied the dogs. They found that the dogs have become very good at living in the city. The dogs have learned that it is safer to cross the street with people. Some dogs even seem to understand traffic lights.",openai/gpt-oss-120b,gpt-oss-120b_short,A2_PROMPT_SHORT,A2
tsar2025testblind,23-a2,"Wonder is New Yorker RJ Palacio's first novel. On her website, she explains that the idea for the book came to her after seeing a girl with facial deformities on the street one day. Wonder has been a bestseller in the United States and has already won several awards. Many schools are using it as a starting point for discussions about bullying, friendship and what it's like to be different. A film version is being made, and many, including me, are waiting eagerly to see what RJ Palacio writes next.",A2,"Wonder is the first book by RJ Palacio, a writer from New York. She says on her website that she thought of the story after she saw a girl with a facial difference on the street. Wonder is a very popular book in the United States and it has won many awards. Many schools read it to talk about bullying, friendship and being different. A movie is being made, and I, and many others, are excited to see what RJ Palacio writes next.",openai/gpt-oss-120b,gpt-oss-120b_short,A2_PROMPT_SHORT,A2
tsar2025testblind,24-a2,"Chloe has two pet rats, Zena and Roxy. Chloe knows they're not typical pets and she has lost count of the times she's patiently tried to explain to people that rats aren't dirty and they make fantastic pets if you look after them correctly. But she understands why people react badly. She didn't like rats either until her friend Martin showed her his pet rats and she saw how affectionate and intelligent they were. Last year, when one of Martin's rats had babies, Chloe decided she'd like to have two of them.",A2,"Chloe has two pet rats. Their names are Zena and Roxy. She knows rats are not usual pets. She has tried many times to tell people that rats are not dirty and can be great pets if you care for them. She understands why some people do not like rats. Chloe did not like rats at first. Then her friend Martin showed her his rats. She saw that they are friendly and smart. Last year, Martin’s rat had babies. After that, Chloe decided she wanted two rats of her own.",openai/gpt-oss-120b,gpt-oss-120b_short,A2_PROMPT_SHORT,A2
tsar2025testblind,25-a2,"Cape Town can be a dangerous place for baboons. Some have been injured or killed in car accidents and others have been electrocuted as they played with electric cables. Baboons are an endangered species and to save them and minimise conflicts between humans and baboons, the city council has employed a team of Baboon Monitors. The monitors' job is to chase baboons out of urban areas or catch them and release them in the countryside. This policy has had some success, though it is proving hard to stop baboons from coming back to the city once they see it as a source of easy food.",A2,"Cape Town can be a dangerous place for baboons. Some baboons have been hurt or killed in car crashes, and others have been electrocuted when they played with electric wires. Baboons are an endangered animal. To protect them and reduce problems between people and baboons, the city council hired a team of Baboon Monitors. Their job is to chase baboons away from the city or catch them and let them go back to the countryside. This plan has helped a little, but it is still hard to stop baboons from coming back to the city when they think it is an easy place to find food.",openai/gpt-oss-120b,gpt-oss-120b_short,A2_PROMPT_SHORT,A2
tsar2025testblind,26-a2,"I work for a global IT company, but because their headquarters is in the States, I do all my work online from home. That means that I don't waste time commuting or making idle chit-chat with colleagues. I work on a project basis, and this flexibility is very valuable to me because it means that I can easily take some time off when my children need me to go to their school performances or if I need to schedule an appointment with the dentist. The downside is that without clear office hours, I tend to work well into the evening, sometimes skipping dinner to finish a task. ",A2,"I work for a big IT company. Its main office is in the United States, so I do all my work online from home. I do not have to travel to work or talk a lot with my coworkers. I work on projects, and I can change my schedule. This is good for me because I can take time off when my children need me at school shows or when I have a dentist appointment. 

The bad side is that, because there are no fixed office hours, I often work late in the evening and sometimes I skip dinner to finish a task.",openai/gpt-oss-120b,gpt-oss-120b_short,A2_PROMPT_SHORT,A2
tsar2025testblind,27-a2,"In the 1990s, graffiti continued but there was also an explosion in street art around the world. Some artists wanted to make political points and produced art that tried to make people think about war, inequality and discrimination. Other street artists were more concerned with producing beautiful, attractive work. In South America, many street artists went to work in poor areas adding colour, life and beauty to grey, city walls.",A2,"In the 1990s, graffiti kept going and street art grew a lot around the world. Some artists made art about politics. They wanted people to think about war, unfairness and discrimination. Other artists just wanted to create pretty, attractive pictures. In South America, many artists worked in poor areas. They added colour, life and beauty to grey city walls.",openai/gpt-oss-120b,gpt-oss-120b_short,A2_PROMPT_SHORT,A2
tsar2025testblind,28-a2,"Social media, magazines and shop windows bombard people daily with things to buy, and British consumers are buying more clothes and shoes than ever before. Online shopping means it is easy for customers to buy without thinking, while major brands offer such cheap clothes that they can be treated like disposable items – worn two or three times and then thrown away.",A2,"Every day social media, magazines and shop windows show people many things to buy. British people are buying more clothes and shoes than ever. Online shopping makes it easy to buy without thinking. Big brands sell cheap clothes that can be used like disposable items – they are worn only two or three times and then thrown away.",openai/gpt-oss-120b,gpt-oss-120b_short,A2_PROMPT_SHORT,A2
tsar2025testblind,29-a2,"Sam squinted against the sun at the distant dust trail raked up by the car on its way up to the Big House. The horses kicked and flicked their tails at flies, not caring about their owner's first visit in ten months. Sam waited. Mr Carter didn't come out here unless he had to, which was just fine by Sam. The more he kept out of his boss's way, the longer he'd have a job. Mr, Carter wiped the sweat from the back of his neck. The damp patches on his shirt drew together like shapes in an atlas. His skin was already turning ruddy in the June sun. Otherwise he had the indoor tan of a man that made money while other people did the work.",A2,"Sam squinted at the bright sun. The car kicked up dust as it went up to the big house. The horses kicked and swished their tails at flies. They did not care about their owner's first visit in ten months. Sam waited. Mr. Carter only came out here when he had to, and that was fine for Sam. The more Sam stayed away from his boss, the longer he could keep his job. Mr. Carter wiped sweat from the back of his neck. Wet spots on his shirt stuck together like shapes on a map. His skin was already turning red in the June sun. He also had a tan from being inside, the kind a man gets when he makes money while other people do the work.",openai/gpt-oss-120b,gpt-oss-120b_short,A2_PROMPT_SHORT,A2
tsar2025testblind,30-a2,"Many city residents in Berlin, Germany complained that shooting pigs was unnecessarily cruel and there were heated arguments between hunters and animal lovers. In response to protests, the city council decided to take more peaceful action against pigs. Instead of shooting them, they have put up fences and made it illegal to feed the pigs. Time will tell if this strategy works, though it may be a losing battle as warmer winters mean that pig numbers are greater than in the past.",A2,"Many people in Berlin said that shooting pigs is very cruel. Hunters and animal lovers argued a lot. After the protests, the city council chose a calmer way to deal with the pigs. They built fences and made feeding pigs illegal. We will see if this works, but it may be hard because warmer winters bring more pigs than before.",openai/gpt-oss-120b,gpt-oss-120b_short,A2_PROMPT_SHORT,A2
