dataset_id,text_id,original,target_cefr,simplified,model,name,prompt_type,target
tsar2025testblind,21-a2,"Your dreams might show you all kinds of insights into things that you didn't realise you were thinking about. Common dreams like being able to fly or falling, your teeth falling out or having no clothes on in a public place probably mean something similar in most people. But the key to understanding exactly what they mean to you is to connect them to the events and feelings in your daily life.",A2,"Your dreams can show you things you didn't know you were thinking about. Some people have similar dreams, like flying, falling, losing teeth or being naked in public. These dreams probably mean similar things to many people. But to understand what they mean to you, you need to think about what's happening in your life and how you're feeling. This can help you connect your dreams to your daily life and understand them better.",meta-llama/llama-3.3-70b-instruct,llama-3.3-70b-instruct_descriptive_w_example,A2_PROMPT_DESCRIPTIVE_EXAMPLE,A2
tsar2025testblind,22-a2,"One of the most interesting cases of wild animals living in a city are the wild dogs of Moscow. In Moscow, there are approximately 35,000 wild dogs living on the streets. Some of the dogs were born wild, while others are pets that have been abandoned by their owners. Some dogs live alone and others live in packs. In 2010, scientists studied the dogs and found that the dogs have adapted remarkably successfully to urban life. They have learned that it is safer to cross the street with people and some dogs appear to understand traffic lights.",A2,"One of the most interesting things about wild animals living in cities is the wild dogs of Moscow. There are about 35,000 wild dogs living on the streets of Moscow. Some of these dogs were born on the streets, but others used to be pets that their owners didn't want anymore. Some dogs live by themselves, and others live in groups. In 2010, some experts studied these dogs and found that they are very good at living in the city. They have learned that it's safer to cross the road when people are around, and some dogs even seem to know what traffic lights mean. Traffic lights are special lights that tell people when to walk or drive and when to stop. The dogs have adapted well to city life, which means they have changed their behavior to survive in the city.",meta-llama/llama-3.3-70b-instruct,llama-3.3-70b-instruct_descriptive_w_example,A2_PROMPT_DESCRIPTIVE_EXAMPLE,A2
tsar2025testblind,23-a2,"Wonder is New Yorker RJ Palacio's first novel. On her website, she explains that the idea for the book came to her after seeing a girl with facial deformities on the street one day. Wonder has been a bestseller in the United States and has already won several awards. Many schools are using it as a starting point for discussions about bullying, friendship and what it's like to be different. A film version is being made, and many, including me, are waiting eagerly to see what RJ Palacio writes next.",A2,"Wonder is a book written by RJ Palacio from New York. She got the idea for the book when she saw a girl on the street who looked different. The book has been very popular in the United States and has won some awards. Many schools are reading it and talking about important issues like bullying, being a good friend, and being different. A movie is being made from the book, and many people, including me, want to read her next book.",meta-llama/llama-3.3-70b-instruct,llama-3.3-70b-instruct_descriptive_w_example,A2_PROMPT_DESCRIPTIVE_EXAMPLE,A2
tsar2025testblind,24-a2,"Chloe has two pet rats, Zena and Roxy. Chloe knows they're not typical pets and she has lost count of the times she's patiently tried to explain to people that rats aren't dirty and they make fantastic pets if you look after them correctly. But she understands why people react badly. She didn't like rats either until her friend Martin showed her his pet rats and she saw how affectionate and intelligent they were. Last year, when one of Martin's rats had babies, Chloe decided she'd like to have two of them.",A2,"Chloe has two pet rats, Zena and Roxy. She knows that most people don't keep rats as pets. She has tried many times to tell people that rats are not dirty animals. If you take good care of them, they can be great pets. But she understands why people don't like rats. Chloe didn't like rats at first either. Then her friend Martin showed her his pet rats. She saw that they were friendly and smart. Last year, Martin's rat had babies. Chloe wanted two of the babies, so she got them as pets.",meta-llama/llama-3.3-70b-instruct,llama-3.3-70b-instruct_descriptive_w_example,A2_PROMPT_DESCRIPTIVE_EXAMPLE,A2
tsar2025testblind,25-a2,"Cape Town can be a dangerous place for baboons. Some have been injured or killed in car accidents and others have been electrocuted as they played with electric cables. Baboons are an endangered species and to save them and minimise conflicts between humans and baboons, the city council has employed a team of Baboon Monitors. The monitors' job is to chase baboons out of urban areas or catch them and release them in the countryside. This policy has had some success, though it is proving hard to stop baboons from coming back to the city once they see it as a source of easy food.",A2,"Cape Town can be a bad place for baboons. Some baboons get hurt or die in car accidents. Others get hurt by electricity when they play with electric wires. Baboons are in danger, so the city wants to help them. The city also wants to stop problems between people and baboons. To do this, they have a team of people called Baboon Monitors. These monitors chase baboons out of the city or catch them and take them to the countryside. This has helped a bit, but it's hard to keep baboons away from the city when they find food there easily.",meta-llama/llama-3.3-70b-instruct,llama-3.3-70b-instruct_descriptive_w_example,A2_PROMPT_DESCRIPTIVE_EXAMPLE,A2
tsar2025testblind,26-a2,"I work for a global IT company, but because their headquarters is in the States, I do all my work online from home. That means that I don't waste time commuting or making idle chit-chat with colleagues. I work on a project basis, and this flexibility is very valuable to me because it means that I can easily take some time off when my children need me to go to their school performances or if I need to schedule an appointment with the dentist. The downside is that without clear office hours, I tend to work well into the evening, sometimes skipping dinner to finish a task. ",A2,"I work for a big computer company, but its main office is in the US. So, I do my job from home on the computer. This is good because I don't lose time traveling to work or talking to colleagues about things that are not important. I work on different projects, and I like that I can choose when I work. This means I can take time off when my kids have events at school or when I need to go to the doctor. The bad thing is that I often work late into the night because I don't have set working hours. Sometimes, I even skip dinner to finish my work.",meta-llama/llama-3.3-70b-instruct,llama-3.3-70b-instruct_descriptive_w_example,A2_PROMPT_DESCRIPTIVE_EXAMPLE,A2
tsar2025testblind,27-a2,"In the 1990s, graffiti continued but there was also an explosion in street art around the world. Some artists wanted to make political points and produced art that tried to make people think about war, inequality and discrimination. Other street artists were more concerned with producing beautiful, attractive work. In South America, many street artists went to work in poor areas adding colour, life and beauty to grey, city walls.",A2,"In the 1990s, people still did graffiti, but a new kind of art became popular on streets all over the world. Some artists wanted to talk about important issues like war, unfairness, and treating people differently. They made art to make people think about these problems. Other artists just wanted to create nice and pretty things. In South America, many artists went to poor areas and painted on grey walls to make them more colourful and beautiful.",meta-llama/llama-3.3-70b-instruct,llama-3.3-70b-instruct_descriptive_w_example,A2_PROMPT_DESCRIPTIVE_EXAMPLE,A2
tsar2025testblind,28-a2,"Social media, magazines and shop windows bombard people daily with things to buy, and British consumers are buying more clothes and shoes than ever before. Online shopping means it is easy for customers to buy without thinking, while major brands offer such cheap clothes that they can be treated like disposable items – worn two or three times and then thrown away.",A2,"We see many things to buy every day on social media, in magazines, and in shop windows. People in Britain are buying more clothes and shoes than they used to. It's easy to buy things online without thinking. Big brands sell clothes very cheaply, so people can wear them a few times and then throw them away.",meta-llama/llama-3.3-70b-instruct,llama-3.3-70b-instruct_descriptive_w_example,A2_PROMPT_DESCRIPTIVE_EXAMPLE,A2
tsar2025testblind,29-a2,"Sam squinted against the sun at the distant dust trail raked up by the car on its way up to the Big House. The horses kicked and flicked their tails at flies, not caring about their owner's first visit in ten months. Sam waited. Mr Carter didn't come out here unless he had to, which was just fine by Sam. The more he kept out of his boss's way, the longer he'd have a job. Mr, Carter wiped the sweat from the back of his neck. The damp patches on his shirt drew together like shapes in an atlas. His skin was already turning ruddy in the June sun. Otherwise he had the indoor tan of a man that made money while other people did the work.",A2,"Sam looked away from the sun at the cloud of dust made by the car driving up to the Big House. The horses kicked and moved their tails to get rid of flies, and they didn't care that their owner was visiting for the first time in ten months. Sam waited. Mr Carter only came here when he had to, which was okay with Sam. The less he saw of his boss, the longer he could keep his job. Mr Carter wiped the sweat from his neck. There were wet spots on his shirt that looked like shapes on a map. His skin was already getting red from the sun in June. Usually, his skin was pale because he stayed indoors while others did the work, and he got paid for it.",meta-llama/llama-3.3-70b-instruct,llama-3.3-70b-instruct_descriptive_w_example,A2_PROMPT_DESCRIPTIVE_EXAMPLE,A2
tsar2025testblind,30-a2,"Many city residents in Berlin, Germany complained that shooting pigs was unnecessarily cruel and there were heated arguments between hunters and animal lovers. In response to protests, the city council decided to take more peaceful action against pigs. Instead of shooting them, they have put up fences and made it illegal to feed the pigs. Time will tell if this strategy works, though it may be a losing battle as warmer winters mean that pig numbers are greater than in the past.",A2,"Many people in Berlin, Germany were unhappy because pigs were being shot. They thought it was too cruel. There were big arguments between people who hunt and people who love animals. The city leaders listened to the complaints and decided to do something different. Instead of shooting the pigs, they built fences to keep them away. They also made a rule that people cannot feed the pigs. We will see if this works, but it might be difficult because winters are getting warmer and this means there are more pigs than before.",meta-llama/llama-3.3-70b-instruct,llama-3.3-70b-instruct_descriptive_w_example,A2_PROMPT_DESCRIPTIVE_EXAMPLE,A2
