dataset_id,text_id,original,target_cefr,simplified,model,name,prompt_type,target
tsar2025testblind,21-a2,"Your dreams might show you all kinds of insights into things that you didn't realise you were thinking about. Common dreams like being able to fly or falling, your teeth falling out or having no clothes on in a public place probably mean something similar in most people. But the key to understanding exactly what they mean to you is to connect them to the events and feelings in your daily life.",A2,"Your dreams can show you things you didn’t know you were thinking about. Many people have similar dreams, like flying, falling, losing teeth, or being naked in public. These dreams often mean the same thing for most people. But to really understand what they mean for you, think about what’s happening in your life and how you feel every day.",mistralai/mistral-medium-3,mistral-medium-3_descriptiv,A2_PROMPT_DESCRIPTIVE,A2
tsar2025testblind,22-a2,"One of the most interesting cases of wild animals living in a city are the wild dogs of Moscow. In Moscow, there are approximately 35,000 wild dogs living on the streets. Some of the dogs were born wild, while others are pets that have been abandoned by their owners. Some dogs live alone and others live in packs. In 2010, scientists studied the dogs and found that the dogs have adapted remarkably successfully to urban life. They have learned that it is safer to cross the street with people and some dogs appear to understand traffic lights.",A2,"One of the most interesting examples of wild animals living in cities is the wild dogs of Moscow. In Moscow, about 35,000 wild dogs live on the streets. Some of these dogs were born wild, while others were pets that people left behind. Some dogs live alone, and others live in groups.

In 2010, scientists studied these dogs and found that they have adapted very well to city life. They have learned that it is safer to cross the street with people, and some dogs even seem to understand traffic lights.",mistralai/mistral-medium-3,mistral-medium-3_descriptiv,A2_PROMPT_DESCRIPTIVE,A2
tsar2025testblind,23-a2,"Wonder is New Yorker RJ Palacio's first novel. On her website, she explains that the idea for the book came to her after seeing a girl with facial deformities on the street one day. Wonder has been a bestseller in the United States and has already won several awards. Many schools are using it as a starting point for discussions about bullying, friendship and what it's like to be different. A film version is being made, and many, including me, are waiting eagerly to see what RJ Palacio writes next.",A2,"""Wonder"" is the first book by RJ Palacio, who lives in New York. She says she got the idea for the story after seeing a girl with a different-looking face on the street. The book has sold very well in the United States and has won many prizes. Schools often use it to talk about bullying, friendship, and how it feels to be different. A movie is being made from the book, and lots of people, including me, are excited to read her next story.",mistralai/mistral-medium-3,mistral-medium-3_descriptiv,A2_PROMPT_DESCRIPTIVE,A2
tsar2025testblind,24-a2,"Chloe has two pet rats, Zena and Roxy. Chloe knows they're not typical pets and she has lost count of the times she's patiently tried to explain to people that rats aren't dirty and they make fantastic pets if you look after them correctly. But she understands why people react badly. She didn't like rats either until her friend Martin showed her his pet rats and she saw how affectionate and intelligent they were. Last year, when one of Martin's rats had babies, Chloe decided she'd like to have two of them.",A2,"Chloe has two pet rats named Zena and Roxy. She knows rats aren’t common pets, and she’s often tried to tell people that rats aren’t dirty. They can be great pets if you take good care of them. But she gets why some people don’t like them. She didn’t like rats either until her friend Martin showed her his pet rats. She saw how loving and smart they were. Last year, when one of Martin’s rats had babies, Chloe decided she wanted two of them.",mistralai/mistral-medium-3,mistral-medium-3_descriptiv,A2_PROMPT_DESCRIPTIVE,A2
tsar2025testblind,25-a2,"Cape Town can be a dangerous place for baboons. Some have been injured or killed in car accidents and others have been electrocuted as they played with electric cables. Baboons are an endangered species and to save them and minimise conflicts between humans and baboons, the city council has employed a team of Baboon Monitors. The monitors' job is to chase baboons out of urban areas or catch them and release them in the countryside. This policy has had some success, though it is proving hard to stop baboons from coming back to the city once they see it as a source of easy food.",A2,"Cape Town can be a dangerous place for baboons. Some get hurt or die in car crashes, and others get shocked by electric wires when they play with them. Baboons are in danger of disappearing, so the city has hired people called Baboon Monitors to help. These monitors chase baboons away from towns or catch them and take them to the countryside. This has worked a little, but it’s hard to keep baboons away from the city because they know they can find food there easily.",mistralai/mistral-medium-3,mistral-medium-3_descriptiv,A2_PROMPT_DESCRIPTIVE,A2
tsar2025testblind,26-a2,"I work for a global IT company, but because their headquarters is in the States, I do all my work online from home. That means that I don't waste time commuting or making idle chit-chat with colleagues. I work on a project basis, and this flexibility is very valuable to me because it means that I can easily take some time off when my children need me to go to their school performances or if I need to schedule an appointment with the dentist. The downside is that without clear office hours, I tend to work well into the evening, sometimes skipping dinner to finish a task. ",A2,"I work for a big computer company, but their main office is in the US. So, I do all my work from home on my computer. This is good because I don’t have to travel to work or spend time talking with coworkers. I work on different tasks, and this way of working is great for me. I can take time off when my kids need me, like for their school shows, or if I need to see the dentist.

The bad part is that I don’t have set work hours, so I often work late into the night. Sometimes, I even skip dinner to finish my work.",mistralai/mistral-medium-3,mistral-medium-3_descriptiv,A2_PROMPT_DESCRIPTIVE,A2
tsar2025testblind,27-a2,"In the 1990s, graffiti continued but there was also an explosion in street art around the world. Some artists wanted to make political points and produced art that tried to make people think about war, inequality and discrimination. Other street artists were more concerned with producing beautiful, attractive work. In South America, many street artists went to work in poor areas adding colour, life and beauty to grey, city walls.",A2,"In the 1990s, graffiti was still popular, but street art also became very big all over the world. Some artists wanted to share political messages. They made art to make people think about war, unfairness, and treating people badly because of who they are. Other street artists just wanted to create beautiful, nice-looking art. In South America, many artists painted in poor areas. They added bright colors and life to dull, gray city walls.",mistralai/mistral-medium-3,mistral-medium-3_descriptiv,A2_PROMPT_DESCRIPTIVE,A2
tsar2025testblind,28-a2,"Social media, magazines and shop windows bombard people daily with things to buy, and British consumers are buying more clothes and shoes than ever before. Online shopping means it is easy for customers to buy without thinking, while major brands offer such cheap clothes that they can be treated like disposable items – worn two or three times and then thrown away.",A2,"Every day, people see lots of ads on social media, in magazines, and in shop windows telling them to buy things. British people are buying more clothes and shoes than before. Shopping online makes it easy to buy things without thinking. Big brands sell clothes so cheaply that people treat them like things to throw away—wearing them just a few times and then getting rid of them.",mistralai/mistral-medium-3,mistral-medium-3_descriptiv,A2_PROMPT_DESCRIPTIVE,A2
tsar2025testblind,29-a2,"Sam squinted against the sun at the distant dust trail raked up by the car on its way up to the Big House. The horses kicked and flicked their tails at flies, not caring about their owner's first visit in ten months. Sam waited. Mr Carter didn't come out here unless he had to, which was just fine by Sam. The more he kept out of his boss's way, the longer he'd have a job. Mr, Carter wiped the sweat from the back of his neck. The damp patches on his shirt drew together like shapes in an atlas. His skin was already turning ruddy in the June sun. Otherwise he had the indoor tan of a man that made money while other people did the work.",A2,"Sam looked at the dust cloud made by the car driving up to the Big House. The horses moved and swished their tails to chase away flies. They didn’t care that their owner was visiting for the first time in ten months. Sam waited. Mr. Carter only came out when he had to, and that was fine with Sam. The less he saw his boss, the longer he would keep his job.

Mr. Carter wiped the sweat from his neck. The wet spots on his shirt looked like shapes on a map. His skin was already turning red from the June sun. But the rest of his skin was pale, like someone who stays inside and makes money while others do the work.",mistralai/mistral-medium-3,mistral-medium-3_descriptiv,A2_PROMPT_DESCRIPTIVE,A2
tsar2025testblind,30-a2,"Many city residents in Berlin, Germany complained that shooting pigs was unnecessarily cruel and there were heated arguments between hunters and animal lovers. In response to protests, the city council decided to take more peaceful action against pigs. Instead of shooting them, they have put up fences and made it illegal to feed the pigs. Time will tell if this strategy works, though it may be a losing battle as warmer winters mean that pig numbers are greater than in the past.",A2,"Many people in Berlin, Germany, were upset because they thought killing pigs was too cruel. There were big arguments between hunters and people who love animals. Because of these protests, the city leaders chose a kinder way to deal with the pigs. Now, they are putting up fences and making it against the law to feed the pigs. We will see if this plan works, but it might be hard because warmer winters mean there are more pigs than before.",mistralai/mistral-medium-3,mistral-medium-3_descriptiv,A2_PROMPT_DESCRIPTIVE,A2
tsar2025testblind,31-a2,"An important inspiration for the Hunger Games book comes from Suzanne's love of classical Greek mythology. When she was a child, one of her favourite stories was Theseus and the Minotaur. In this story the city of Athens is ruled by Crete, but the Athenians rebel. As a punishment, Minos the king of Crete forces the Athenians to send seven boys and seven girls to Crete every year. The youths are thrown into the labyrinth and eaten by a monster that lives there called the Minotaur. But one of the youths, named Theseus, fights the Minotaur and kills it. Suzanne sees Katniss Everdeen as a futuristic Theseus.",A2,"Suzanne Collins got the idea for *The Hunger Games* from her love of old Greek stories. When she was young, she really liked the story of *Theseus and the Minotaur*. In this story, Athens was controlled by Crete, but the people of Athens fought back. As punishment, the king of Crete made Athens send seven boys and seven girls to Crete every year. These young people were put into a big maze and eaten by a scary creature called the Minotaur. But one of them, Theseus, fought and killed the Minotaur. Suzanne sees Katniss Everdeen, the main character in *The Hunger Games*, as a future version of Theseus.",mistralai/mistral-medium-3,mistral-medium-3_descriptiv,A2_PROMPT_DESCRIPTIVE,A2
tsar2025testblind,32-a2,"By bringing people and animals together, zoos have the potential to educate the public about conservation issues and inspire people to protect animals and their habitats. Some zoos provide a safe environment for animals which have been mistreated in circuses, or pets which have been abandoned. Zoos also carry out important research into subjects like animal behaviour and how to treat illnesses.",A2,"Zoos help people learn about animals and why it’s important to protect them and their homes. They can also give a safe place to animals that were hurt in circuses or left by their owners. Zoos do important work, like studying how animals act and how to help them when they are sick.",mistralai/mistral-medium-3,mistral-medium-3_descriptiv,A2_PROMPT_DESCRIPTIVE,A2
tsar2025testblind,33-a2,"A different trend is springing up in opposition to consumerism – the 'buy nothing' trend. The idea originated in Canada in the early 1990s and then moved to the US, where it became a rejection of the overspending and overconsumption of Black Friday and Cyber Monday during Thanksgiving weekend. On Buy Nothing Day people organise various types of protests and cut up their credit cards. Throughout the year, Buy Nothing groups organise the exchange and repair of items they already own.",A2,"A new idea is growing against buying too much – the 'buy nothing' movement. It started in Canada in the early 1990s and then spread to the US. There, it became a way to say no to the big spending and shopping on Black Friday and Cyber Monday during Thanksgiving weekend. On Buy Nothing Day, people protest in different ways and even cut up their credit cards. All year, Buy Nothing groups help people swap or fix things they already have.",mistralai/mistral-medium-3,mistral-medium-3_descriptiv,A2_PROMPT_DESCRIPTIVE,A2
tsar2025testblind,34-a2,"Is graffiti art or vandalism? This depends on your point of view, but in many countries, writing or painting on public or private property is considered vandalism. Many street artists have been stopped by the police and some have had to pay fines. Many city councils complain about the high cost of cleaning graffiti off buildings, buses and trains. ",A2,"Is graffiti art or a crime? It depends on how you see it. But in many places, drawing or painting on public or private walls is seen as a crime. Many street artists have been caught by the police, and some have had to pay money as punishment. City leaders also say it costs a lot to clean graffiti from buildings, buses, and trains.",mistralai/mistral-medium-3,mistral-medium-3_descriptiv,A2_PROMPT_DESCRIPTIVE,A2
tsar2025testblind,35-a2,"What does the art world think of graffiti and street art? Recently, there has been a growing recognition of its value as an art form. There have been major exhibitions of street art in galleries in Paris, London and Los Angeles. The American artist Elura Emerald organised a street art exhibition at a New York gallery in 2008. She defended street artists, saying 'artists who paint on the street are merely expressing themselves, not hurting anyone. They should be appreciated and celebrated'.",A2,"What do people in the art world think about graffiti and street art? Lately, more people see it as real art. Big cities like Paris, London, and Los Angeles have shown street art in their galleries. In 2008, an American artist named Elura Emerald set up a street art show in New York. She supported street artists, saying, ""Artists who paint on the street are just sharing their feelings. They are not harming anyone. We should like and praise their work.""",mistralai/mistral-medium-3,mistral-medium-3_descriptiv,A2_PROMPT_DESCRIPTIVE,A2
tsar2025testblind,36-a2,"If most people have four to six dreams every night after the age of ten, that's as many as 2,000 dreams per year. So, by the time they reach 80 years old the average person might have had 140,000 dreams. Even if we forget 95–99 per cent of our dreams, that's still a few thousand remembered dreams across a lifetime. It's not too difficult to believe that, by coincidence, a dream event is followed by a real-life event that's similar to it, especially if the subject of the dream is something that happens often in everyday life.",A2,"Most people have four to six dreams every night after they turn ten. That means about 2,000 dreams in one year. By the time someone is 80 years old, they might have had around 140,000 dreams. Even though we forget almost all of them—95 to 99 percent—we still remember a few thousand dreams in our lifetime.

It’s easy to see how a dream might seem to come true by chance. If the dream is about something that happens often in real life, it’s not surprising if something similar happens later.",mistralai/mistral-medium-3,mistral-medium-3_descriptiv,A2_PROMPT_DESCRIPTIVE,A2
