dataset_id,text_id,original,target_cefr,simplified,model,name,prompt_type,target
tsar2025testblind,21-a2,"Your dreams might show you all kinds of insights into things that you didn't realise you were thinking about. Common dreams like being able to fly or falling, your teeth falling out or having no clothes on in a public place probably mean something similar in most people. But the key to understanding exactly what they mean to you is to connect them to the events and feelings in your daily life.",A2,"Your dreams can show you things you didn’t know you were thinking about. Many people have similar dreams, like flying, falling, losing teeth, or being naked in public. These dreams often have similar meanings for most people. But to understand what they mean for you, think about what is happening in your life and how you feel.",mistralai/mistral-medium-3,mistral-medium-3_short,"A2_PROMPT_SHORT,",A2
tsar2025testblind,22-a2,"One of the most interesting cases of wild animals living in a city are the wild dogs of Moscow. In Moscow, there are approximately 35,000 wild dogs living on the streets. Some of the dogs were born wild, while others are pets that have been abandoned by their owners. Some dogs live alone and others live in packs. In 2010, scientists studied the dogs and found that the dogs have adapted remarkably successfully to urban life. They have learned that it is safer to cross the street with people and some dogs appear to understand traffic lights.",A2,"In Moscow, there are about 35,000 wild dogs living on the streets. Some were born wild, and others were pets that people left behind. Some dogs live alone, and some live in groups. Scientists studied them in 2010 and found that the dogs live very well in the city. They know it is safer to cross the street with people, and some even seem to understand traffic lights.",mistralai/mistral-medium-3,mistral-medium-3_short,"A2_PROMPT_SHORT,",A2
tsar2025testblind,23-a2,"Wonder is New Yorker RJ Palacio's first novel. On her website, she explains that the idea for the book came to her after seeing a girl with facial deformities on the street one day. Wonder has been a bestseller in the United States and has already won several awards. Many schools are using it as a starting point for discussions about bullying, friendship and what it's like to be different. A film version is being made, and many, including me, are waiting eagerly to see what RJ Palacio writes next.",A2,"*Wonder* is a book by RJ Palacio. It was her first novel. She got the idea after seeing a girl with a different face. The book is very popular in the US and has won many prizes. Schools use it to talk about bullying, friendship, and being different. A movie is coming soon. Many people, including me, are excited to read her next book.",mistralai/mistral-medium-3,mistral-medium-3_short,"A2_PROMPT_SHORT,",A2
tsar2025testblind,24-a2,"Chloe has two pet rats, Zena and Roxy. Chloe knows they're not typical pets and she has lost count of the times she's patiently tried to explain to people that rats aren't dirty and they make fantastic pets if you look after them correctly. But she understands why people react badly. She didn't like rats either until her friend Martin showed her his pet rats and she saw how affectionate and intelligent they were. Last year, when one of Martin's rats had babies, Chloe decided she'd like to have two of them.",A2,"Chloe has two pet rats, Zena and Roxy. She knows rats are not common pets, and she often tells people that rats are not dirty. They can be great pets if you take care of them well. She understands why some people don’t like rats. She also didn’t like them before. But then her friend Martin showed her his pet rats, and she saw how loving and smart they were. Last year, when one of Martin’s rats had babies, Chloe decided she wanted two of them.",mistralai/mistral-medium-3,mistral-medium-3_short,"A2_PROMPT_SHORT,",A2
tsar2025testblind,25-a2,"Cape Town can be a dangerous place for baboons. Some have been injured or killed in car accidents and others have been electrocuted as they played with electric cables. Baboons are an endangered species and to save them and minimise conflicts between humans and baboons, the city council has employed a team of Baboon Monitors. The monitors' job is to chase baboons out of urban areas or catch them and release them in the countryside. This policy has had some success, though it is proving hard to stop baboons from coming back to the city once they see it as a source of easy food.",A2,"Cape Town can be dangerous for baboons. Some are hurt or killed in car accidents, and others get electrocuted by playing with electric cables. Baboons are endangered, so the city has hired Baboon Monitors to protect them and reduce problems between humans and baboons. The monitors chase baboons away from the city or catch and release them in the countryside. This has worked a little, but it is hard to keep baboons away when they find easy food in the city.",mistralai/mistral-medium-3,mistral-medium-3_short,"A2_PROMPT_SHORT,",A2
tsar2025testblind,26-a2,"I work for a global IT company, but because their headquarters is in the States, I do all my work online from home. That means that I don't waste time commuting or making idle chit-chat with colleagues. I work on a project basis, and this flexibility is very valuable to me because it means that I can easily take some time off when my children need me to go to their school performances or if I need to schedule an appointment with the dentist. The downside is that without clear office hours, I tend to work well into the evening, sometimes skipping dinner to finish a task. ",A2,"I work for a big IT company, but their main office is in the USA. So, I do all my work from home on my computer. This is good because I don’t spend time traveling to work or talking with coworkers. I work on different projects, and I like this because I can take time off when my children need me, like for their school events, or if I need to see the dentist. The bad part is that I sometimes work late into the night and even skip dinner to finish my work.",mistralai/mistral-medium-3,mistral-medium-3_short,"A2_PROMPT_SHORT,",A2
tsar2025testblind,27-a2,"In the 1990s, graffiti continued but there was also an explosion in street art around the world. Some artists wanted to make political points and produced art that tried to make people think about war, inequality and discrimination. Other street artists were more concerned with producing beautiful, attractive work. In South America, many street artists went to work in poor areas adding colour, life and beauty to grey, city walls.",A2,"In the 1990s, graffiti was still popular, but street art also became very big around the world. Some artists wanted to share political messages. They made art to make people think about war, inequality, and discrimination. Other artists just wanted to create beautiful and attractive work. In South America, many street artists painted in poor areas. They added colour and life to grey city walls.",mistralai/mistral-medium-3,mistral-medium-3_short,"A2_PROMPT_SHORT,",A2
tsar2025testblind,28-a2,"Social media, magazines and shop windows bombard people daily with things to buy, and British consumers are buying more clothes and shoes than ever before. Online shopping means it is easy for customers to buy without thinking, while major brands offer such cheap clothes that they can be treated like disposable items – worn two or three times and then thrown away.",A2,"Every day, people see many ads on social media, in magazines, and in shops, telling them to buy things. British people are buying more clothes and shoes than before. Online shopping makes it easy to buy without thinking. Big brands sell very cheap clothes, so people wear them a few times and then throw them away.",mistralai/mistral-medium-3,mistral-medium-3_short,"A2_PROMPT_SHORT,",A2
tsar2025testblind,29-a2,"Sam squinted against the sun at the distant dust trail raked up by the car on its way up to the Big House. The horses kicked and flicked their tails at flies, not caring about their owner's first visit in ten months. Sam waited. Mr Carter didn't come out here unless he had to, which was just fine by Sam. The more he kept out of his boss's way, the longer he'd have a job. Mr, Carter wiped the sweat from the back of his neck. The damp patches on his shirt drew together like shapes in an atlas. His skin was already turning ruddy in the June sun. Otherwise he had the indoor tan of a man that made money while other people did the work.",A2,"Sam looked at the dust from the car going to the Big House. The horses moved their tails to chase away flies. They did not care that their owner was visiting after ten months. Sam waited. Mr. Carter only came when he had to, which was fine with Sam. The less he saw his boss, the longer he would keep his job.

Mr. Carter wiped the sweat from his neck. His shirt was wet in places, like shapes on a map. His skin was red from the June sun. He had the pale skin of a man who made money while others worked.",mistralai/mistral-medium-3,mistral-medium-3_short,"A2_PROMPT_SHORT,",A2
tsar2025testblind,30-a2,"Many city residents in Berlin, Germany complained that shooting pigs was unnecessarily cruel and there were heated arguments between hunters and animal lovers. In response to protests, the city council decided to take more peaceful action against pigs. Instead of shooting them, they have put up fences and made it illegal to feed the pigs. Time will tell if this strategy works, though it may be a losing battle as warmer winters mean that pig numbers are greater than in the past.",A2,"Many people in Berlin, Germany, were unhappy because hunters were shooting wild pigs. They thought it was too cruel. There were big arguments between hunters and people who love animals. Because of the protests, the city council chose a kinder way to deal with the pigs. Now, they are using fences and have made it against the law to feed the pigs. We will see if this works, but it might be hard because warmer winters mean there are more pigs than before.",mistralai/mistral-medium-3,mistral-medium-3_short,"A2_PROMPT_SHORT,",A2
tsar2025testblind,31-a2,"An important inspiration for the Hunger Games book comes from Suzanne's love of classical Greek mythology. When she was a child, one of her favourite stories was Theseus and the Minotaur. In this story the city of Athens is ruled by Crete, but the Athenians rebel. As a punishment, Minos the king of Crete forces the Athenians to send seven boys and seven girls to Crete every year. The youths are thrown into the labyrinth and eaten by a monster that lives there called the Minotaur. But one of the youths, named Theseus, fights the Minotaur and kills it. Suzanne sees Katniss Everdeen as a futuristic Theseus.",A2,"Suzanne Collins got the idea for *The Hunger Games* from Greek mythology, especially the story of Theseus and the Minotaur. When she was young, she loved this tale. In it, Athens was controlled by Crete. After the Athenians rebelled, King Minos punished them by making them send seven boys and seven girls to Crete every year. These youths were thrown into a maze and eaten by the Minotaur, a monster. But one of them, Theseus, fought and killed the Minotaur. Suzanne sees Katniss Everdeen as a modern version of Theseus.",mistralai/mistral-medium-3,mistral-medium-3_short,"A2_PROMPT_SHORT,",A2
tsar2025testblind,32-a2,"By bringing people and animals together, zoos have the potential to educate the public about conservation issues and inspire people to protect animals and their habitats. Some zoos provide a safe environment for animals which have been mistreated in circuses, or pets which have been abandoned. Zoos also carry out important research into subjects like animal behaviour and how to treat illnesses.",A2,Zoos help people learn about protecting animals and nature. They give a safe home to animals that were hurt in circuses or left as pets. Zoos also study animal behavior and how to care for sick animals.,mistralai/mistral-medium-3,mistral-medium-3_short,"A2_PROMPT_SHORT,",A2
tsar2025testblind,33-a2,"A different trend is springing up in opposition to consumerism – the 'buy nothing' trend. The idea originated in Canada in the early 1990s and then moved to the US, where it became a rejection of the overspending and overconsumption of Black Friday and Cyber Monday during Thanksgiving weekend. On Buy Nothing Day people organise various types of protests and cut up their credit cards. Throughout the year, Buy Nothing groups organise the exchange and repair of items they already own.",A2,"A new trend is growing against consumerism—the 'buy nothing' movement. It started in Canada in the early 1990s and later spread to the US. People reject the overspending of Black Friday and Cyber Monday during Thanksgiving. On Buy Nothing Day, they protest and even cut up their credit cards. All year, Buy Nothing groups share and repair items they already have.",mistralai/mistral-medium-3,mistral-medium-3_short,"A2_PROMPT_SHORT,",A2
tsar2025testblind,34-a2,"Is graffiti art or vandalism? This depends on your point of view, but in many countries, writing or painting on public or private property is considered vandalism. Many street artists have been stopped by the police and some have had to pay fines. Many city councils complain about the high cost of cleaning graffiti off buildings, buses and trains. ",A2,"Is graffiti art or vandalism? It depends on how you see it. But in many places, painting or writing on public or private property is seen as vandalism. Many street artists have been stopped by the police, and some have paid fines. City leaders also say it costs a lot to clean graffiti from buildings, buses, and trains.",mistralai/mistral-medium-3,mistral-medium-3_short,"A2_PROMPT_SHORT,",A2
