dataset_id,text_id,original,target_cefr,simplified,model,name,prompt_type,target
tsar2025testblind,21-a2,"Your dreams might show you all kinds of insights into things that you didn't realise you were thinking about. Common dreams like being able to fly or falling, your teeth falling out or having no clothes on in a public place probably mean something similar in most people. But the key to understanding exactly what they mean to you is to connect them to the events and feelings in your daily life.",A2,"Your dreams might show you things you didn’t know you were thinking about. Dreams like flying, falling, losing your teeth, or being in public without clothes are common. Many people have similar meanings for these dreams. But to understand what your dream means for you, think about what is happening in your life and how you feel every day.",qwen/qwen3-235b-a22b-2507,qwen3-235b-a22b-2507_descriptive_w_example,A2_PROMPT_DESCRIPTIVE_EXAMPLE,A2
tsar2025testblind,22-a2,"One of the most interesting cases of wild animals living in a city are the wild dogs of Moscow. In Moscow, there are approximately 35,000 wild dogs living on the streets. Some of the dogs were born wild, while others are pets that have been abandoned by their owners. Some dogs live alone and others live in packs. In 2010, scientists studied the dogs and found that the dogs have adapted remarkably successfully to urban life. They have learned that it is safer to cross the street with people and some dogs appear to understand traffic lights.",A2,"One of the most interesting examples of wild animals living in a city is the wild dogs of Moscow. In Moscow, about 35,000 wild dogs live on the streets. Some of these dogs were born in the wild, and others are pets that their owners left behind. Some dogs live alone, while others live in groups called packs. In 2010, scientists studied these dogs and found that they have adapted very well to city life. They have learned that it is safer to cross the street when people are crossing, and some dogs even seem to understand traffic lights.",qwen/qwen3-235b-a22b-2507,qwen3-235b-a22b-2507_descriptive_w_example,A2_PROMPT_DESCRIPTIVE_EXAMPLE,A2
tsar2025testblind,23-a2,"Wonder is New Yorker RJ Palacio's first novel. On her website, she explains that the idea for the book came to her after seeing a girl with facial deformities on the street one day. Wonder has been a bestseller in the United States and has already won several awards. Many schools are using it as a starting point for discussions about bullying, friendship and what it's like to be different. A film version is being made, and many, including me, are waiting eagerly to see what RJ Palacio writes next.",A2,"Wonder is the first book by RJ Palacio, who lives in New York. On her website, she says she got the idea for the book after seeing a girl with a face that looked different one day. The book has sold very well in the United States and has won many awards. Many schools use it to start talks about bullying, friendship, and how it feels to be different. A movie based on the book is being made. Many people, including me, are excited to see what RJ Palacio will write next.",qwen/qwen3-235b-a22b-2507,qwen3-235b-a22b-2507_descriptive_w_example,A2_PROMPT_DESCRIPTIVE_EXAMPLE,A2
tsar2025testblind,24-a2,"Chloe has two pet rats, Zena and Roxy. Chloe knows they're not typical pets and she has lost count of the times she's patiently tried to explain to people that rats aren't dirty and they make fantastic pets if you look after them correctly. But she understands why people react badly. She didn't like rats either until her friend Martin showed her his pet rats and she saw how affectionate and intelligent they were. Last year, when one of Martin's rats had babies, Chloe decided she'd like to have two of them.",A2,"Chloe has two pet rats named Zena and Roxy. She knows rats are not common pets. She can’t remember how many times she has explained to people that rats are not dirty. She tells them that rats can be great pets if you take good care of them. But she understands why some people feel afraid or uncomfortable. She didn’t like rats either, until her friend Martin showed her his pet rats. She saw how smart and loving they were. Last year, when one of Martin’s rats had babies, Chloe decided she wanted two of them for herself.",qwen/qwen3-235b-a22b-2507,qwen3-235b-a22b-2507_descriptive_w_example,A2_PROMPT_DESCRIPTIVE_EXAMPLE,A2
tsar2025testblind,25-a2,"Cape Town can be a dangerous place for baboons. Some have been injured or killed in car accidents and others have been electrocuted as they played with electric cables. Baboons are an endangered species and to save them and minimise conflicts between humans and baboons, the city council has employed a team of Baboon Monitors. The monitors' job is to chase baboons out of urban areas or catch them and release them in the countryside. This policy has had some success, though it is proving hard to stop baboons from coming back to the city once they see it as a source of easy food.",A2,"Cape Town can be a dangerous place for baboons. Some have been hurt or killed in car accidents, and others have died after playing with electric wires. Baboons are an endangered species, which means there are not many left in the wild. To protect them and reduce problems between people and baboons, the city has hired a team called Baboon Monitors. These workers make sure baboons do not stay in city areas. They either scare them away or catch them and take them back to the countryside. This plan has worked a little, but it is hard to stop baboons from returning to the city, especially when they find easy food there.",qwen/qwen3-235b-a22b-2507,qwen3-235b-a22b-2507_descriptive_w_example,A2_PROMPT_DESCRIPTIVE_EXAMPLE,A2
tsar2025testblind,26-a2,"I work for a global IT company, but because their headquarters is in the States, I do all my work online from home. That means that I don't waste time commuting or making idle chit-chat with colleagues. I work on a project basis, and this flexibility is very valuable to me because it means that I can easily take some time off when my children need me to go to their school performances or if I need to schedule an appointment with the dentist. The downside is that without clear office hours, I tend to work well into the evening, sometimes skipping dinner to finish a task. ",A2,"I work for a big IT company that operates around the world. Their main office is in the United States, so I work from home using the internet. This means I don’t have to travel to an office or spend time talking with coworkers about unimportant things. I work on one project at a time, and I like this because it gives me freedom. If my children have a school event or I need to see the dentist, I can take time off easily. The bad side is that since I don’t have fixed working hours, I often keep working late into the night. Sometimes I even miss dinner to finish a job.",qwen/qwen3-235b-a22b-2507,qwen3-235b-a22b-2507_descriptive_w_example,A2_PROMPT_DESCRIPTIVE_EXAMPLE,A2
tsar2025testblind,27-a2,"In the 1990s, graffiti continued but there was also an explosion in street art around the world. Some artists wanted to make political points and produced art that tried to make people think about war, inequality and discrimination. Other street artists were more concerned with producing beautiful, attractive work. In South America, many street artists went to work in poor areas adding colour, life and beauty to grey, city walls.",A2,"

In the 1990s, people still did graffiti. But more and more street artists appeared around the world. Some artists wanted to talk about politics. They made art to help people think about war, and when life is not fair for some people. Other street artists just wanted to make pretty, nice-looking art. In South America, many street artists worked in poor neighborhoods. They painted boring grey walls to make them colorful and beautiful.",qwen/qwen3-235b-a22b-2507,qwen3-235b-a22b-2507_descriptive_w_example,A2_PROMPT_DESCRIPTIVE_EXAMPLE,A2
tsar2025testblind,28-a2,"Social media, magazines and shop windows bombard people daily with things to buy, and British consumers are buying more clothes and shoes than ever before. Online shopping means it is easy for customers to buy without thinking, while major brands offer such cheap clothes that they can be treated like disposable items – worn two or three times and then thrown away.",A2,"Social media, magazines, and shop windows show people things to buy every day. In the UK, people are buying more clothes and shoes now than ever before. Buying online makes it easy to get things without thinking much. Big brands sell clothes so cheaply that people use them only a few times – like wearing something two or three times and then throwing it away, like trash.",qwen/qwen3-235b-a22b-2507,qwen3-235b-a22b-2507_descriptive_w_example,A2_PROMPT_DESCRIPTIVE_EXAMPLE,A2
tsar2025testblind,29-a2,"Sam squinted against the sun at the distant dust trail raked up by the car on its way up to the Big House. The horses kicked and flicked their tails at flies, not caring about their owner's first visit in ten months. Sam waited. Mr Carter didn't come out here unless he had to, which was just fine by Sam. The more he kept out of his boss's way, the longer he'd have a job. Mr, Carter wiped the sweat from the back of his neck. The damp patches on his shirt drew together like shapes in an atlas. His skin was already turning ruddy in the June sun. Otherwise he had the indoor tan of a man that made money while other people did the work.",A2,"Sam looked hard into the sun, watching the dust left behind by the car driving up to the Big House. The horses kicked their legs and moved their tails to scare away flies. They didn’t care that their owner was visiting for the first time in ten months. Sam waited. Mr. Carter didn’t come out to the farm unless it was necessary, and that was okay with Sam. The less he saw of his boss, the more likely he’d keep his job. Mr. Carter wiped sweat from the back of his neck. The wet parts on his shirt were spreading and joining together, like countries on a map. His skin was already turning red in the June sun. The rest of his body was pale, the kind of tan you get when you work inside while other people do the hard work outside.",qwen/qwen3-235b-a22b-2507,qwen3-235b-a22b-2507_descriptive_w_example,A2_PROMPT_DESCRIPTIVE_EXAMPLE,A2
tsar2025testblind,30-a2,"Many city residents in Berlin, Germany complained that shooting pigs was unnecessarily cruel and there were heated arguments between hunters and animal lovers. In response to protests, the city council decided to take more peaceful action against pigs. Instead of shooting them, they have put up fences and made it illegal to feed the pigs. Time will tell if this strategy works, though it may be a losing battle as warmer winters mean that pig numbers are greater than in the past.",A2,"Many people in Berlin, Germany said that shooting wild pigs was too cruel. This caused strong arguments between hunters and people who care about animals. Because of these complaints, the city government decided to try a calmer way to deal with the pigs. Instead of killing them, they built fences and made it against the law to feed the pigs. It is not yet clear if this plan will work. But it could be hard to win this fight, because warmer winters mean there are now more pigs than before.",qwen/qwen3-235b-a22b-2507,qwen3-235b-a22b-2507_descriptive_w_example,A2_PROMPT_DESCRIPTIVE_EXAMPLE,A2
