dataset_id,text_id,original,target_cefr,simplified,model,name,prompt_type,target
tsar2025testblind,21-a2,"Your dreams might show you all kinds of insights into things that you didn't realise you were thinking about. Common dreams like being able to fly or falling, your teeth falling out or having no clothes on in a public place probably mean something similar in most people. But the key to understanding exactly what they mean to you is to connect them to the events and feelings in your daily life.",A2,"Your dreams can reveal thoughts you didn’t know you had. Dreams like flying, falling, losing teeth, or being undressed in public often have similar meanings for many people. To understand what they mean for you, think about what’s happening in your life and how you feel.",qwen/qwen3-235b-a22b-2507,qwen3-235b-a22b-2507_short,A2_PROMPT_SHORT,A2
tsar2025testblind,22-a2,"One of the most interesting cases of wild animals living in a city are the wild dogs of Moscow. In Moscow, there are approximately 35,000 wild dogs living on the streets. Some of the dogs were born wild, while others are pets that have been abandoned by their owners. Some dogs live alone and others live in packs. In 2010, scientists studied the dogs and found that the dogs have adapted remarkably successfully to urban life. They have learned that it is safer to cross the street with people and some dogs appear to understand traffic lights.",A2,"One of the most interesting examples of wild animals living in cities is the wild dogs of Moscow. About 35,000 wild dogs live on the city’s streets. Some were born in the wild, and others were once pets that their owners left. Some dogs live alone, while others live in groups. In 2010, scientists studied them and found they have adapted very well to city life. They have learned it is safer to cross the street with people, and some even seem to understand traffic lights.",qwen/qwen3-235b-a22b-2507,qwen3-235b-a22b-2507_short,A2_PROMPT_SHORT,A2
tsar2025testblind,23-a2,"Wonder is New Yorker RJ Palacio's first novel. On her website, she explains that the idea for the book came to her after seeing a girl with facial deformities on the street one day. Wonder has been a bestseller in the United States and has already won several awards. Many schools are using it as a starting point for discussions about bullying, friendship and what it's like to be different. A film version is being made, and many, including me, are waiting eagerly to see what RJ Palacio writes next.",A2,"Wonder is RJ Palacio's first novel. She is from New York. On her website, she says she got the idea for the book after seeing a girl with facial differences on the street. Wonder has been a bestseller in the United States and has won many awards. Schools are using it to talk about bullying, friendship, and being different. A movie is being made, and many people, including me, are excited to see what RJ Palacio writes next.",qwen/qwen3-235b-a22b-2507,qwen3-235b-a22b-2507_short,A2_PROMPT_SHORT,A2
tsar2025testblind,24-a2,"Chloe has two pet rats, Zena and Roxy. Chloe knows they're not typical pets and she has lost count of the times she's patiently tried to explain to people that rats aren't dirty and they make fantastic pets if you look after them correctly. But she understands why people react badly. She didn't like rats either until her friend Martin showed her his pet rats and she saw how affectionate and intelligent they were. Last year, when one of Martin's rats had babies, Chloe decided she'd like to have two of them.",A2,"Chloe has two pet rats, Zena and Roxy. She knows rats aren't common pets, and she's often explained to people that rats aren't dirty. If cared for properly, they make great pets. She understands why some people don't like them—she didn't either, at first. But then her friend Martin showed her his pet rats, and she saw how smart and loving they could be. Last year, when one of Martin's rats had babies, Chloe decided to take two of them.",qwen/qwen3-235b-a22b-2507,qwen3-235b-a22b-2507_short,A2_PROMPT_SHORT,A2
tsar2025testblind,25-a2,"Cape Town can be a dangerous place for baboons. Some have been injured or killed in car accidents and others have been electrocuted as they played with electric cables. Baboons are an endangered species and to save them and minimise conflicts between humans and baboons, the city council has employed a team of Baboon Monitors. The monitors' job is to chase baboons out of urban areas or catch them and release them in the countryside. This policy has had some success, though it is proving hard to stop baboons from coming back to the city once they see it as a source of easy food.",A2,"Cape Town can be dangerous for baboons. Some have been hurt or killed in car accidents, and others have died from touching electric wires. Baboons are endangered, so to protect them and reduce problems between people and baboons, the city has hired Baboon Monitors. Their job is to drive baboons out of towns or catch them and take them back to the wild. This has helped a little, but it is hard to stop baboons from returning to the city when they find easy food there.",qwen/qwen3-235b-a22b-2507,qwen3-235b-a22b-2507_short,A2_PROMPT_SHORT,A2
tsar2025testblind,26-a2,"I work for a global IT company, but because their headquarters is in the States, I do all my work online from home. That means that I don't waste time commuting or making idle chit-chat with colleagues. I work on a project basis, and this flexibility is very valuable to me because it means that I can easily take some time off when my children need me to go to their school performances or if I need to schedule an appointment with the dentist. The downside is that without clear office hours, I tend to work well into the evening, sometimes skipping dinner to finish a task. ",A2,"I work for a global IT company based in the United States, so I do all my work online from home. This means I don’t waste time traveling to an office or chatting with coworkers. I work on projects, and I like the flexibility because I can take time off when my children need me—like for school events—or when I have a dentist appointment. The downside is that, without set office hours, I often work late into the evening and sometimes skip dinner to finish a task.",qwen/qwen3-235b-a22b-2507,qwen3-235b-a22b-2507_short,A2_PROMPT_SHORT,A2
tsar2025testblind,27-a2,"In the 1990s, graffiti continued but there was also an explosion in street art around the world. Some artists wanted to make political points and produced art that tried to make people think about war, inequality and discrimination. Other street artists were more concerned with producing beautiful, attractive work. In South America, many street artists went to work in poor areas adding colour, life and beauty to grey, city walls.",A2,"In the 1990s, graffiti stayed popular, but street art also grew quickly around the world. Some artists wanted to share political messages and made art to make people think about war, unfairness, and discrimination. Others wanted to create beautiful and attractive works. In South America, many street artists painted in poor areas, adding colour, life, and beauty to dull city walls.",qwen/qwen3-235b-a22b-2507,qwen3-235b-a22b-2507_short,A2_PROMPT_SHORT,A2
tsar2025testblind,28-a2,"Social media, magazines and shop windows bombard people daily with things to buy, and British consumers are buying more clothes and shoes than ever before. Online shopping means it is easy for customers to buy without thinking, while major brands offer such cheap clothes that they can be treated like disposable items – worn two or three times and then thrown away.",A2,"Social media, magazines, and shop windows show people things to buy every day. British shoppers are buying more clothes and shoes than ever. Online shopping makes it easy to buy without thinking. Big brands sell very cheap clothes, so some people wear them just a few times and then throw them away.",qwen/qwen3-235b-a22b-2507,qwen3-235b-a22b-2507_short,A2_PROMPT_SHORT,A2
tsar2025testblind,29-a2,"Sam squinted against the sun at the distant dust trail raked up by the car on its way up to the Big House. The horses kicked and flicked their tails at flies, not caring about their owner's first visit in ten months. Sam waited. Mr Carter didn't come out here unless he had to, which was just fine by Sam. The more he kept out of his boss's way, the longer he'd have a job. Mr, Carter wiped the sweat from the back of his neck. The damp patches on his shirt drew together like shapes in an atlas. His skin was already turning ruddy in the June sun. Otherwise he had the indoor tan of a man that made money while other people did the work.",A2,"Sam squinted at the dust cloud from the car driving up to the Big House. The horses swished their tails at flies, not bothered by their owner’s first visit in ten months. Sam waited. Mr. Carter didn’t come out here unless he had to—and that suited Sam just fine. The less he saw of his boss, the safer his job. Mr. Carter wiped sweat from his neck. Dark patches on his shirt spread together like countries on a map. His skin was already red from the June sun. Otherwise, he had the pale look of someone who stayed indoors while others worked.",qwen/qwen3-235b-a22b-2507,qwen3-235b-a22b-2507_short,A2_PROMPT_SHORT,A2
tsar2025testblind,30-a2,"Many city residents in Berlin, Germany complained that shooting pigs was unnecessarily cruel and there were heated arguments between hunters and animal lovers. In response to protests, the city council decided to take more peaceful action against pigs. Instead of shooting them, they have put up fences and made it illegal to feed the pigs. Time will tell if this strategy works, though it may be a losing battle as warmer winters mean that pig numbers are greater than in the past.",A2,"Many people in Berlin, Germany said killing pigs was too cruel, and there were strong arguments between hunters and animal lovers. Because of the protests, the city decided to try a more peaceful way. Instead of shooting the pigs, they built fences and made it illegal to feed them. It’s not clear yet if this will work. But it could be hard to win this fight, as warmer winters mean there are now more pigs than before.",qwen/qwen3-235b-a22b-2507,qwen3-235b-a22b-2507_short,A2_PROMPT_SHORT,A2
