dataset_id,text_id,original,target_cefr,simplified,model,name,prompt_type,target
tsar2025testblind,21-b1,"Your dreams might show you all kinds of insights into things that you didn't realise you were thinking about. Common dreams like being able to fly or falling, your teeth falling out or having no clothes on in a public place probably mean something similar in most people. But the key to understanding exactly what they mean to you is to connect them to the events and feelings in your daily life.",B1,"Your dreams might show you interesting things about thoughts you didn't know you had. Common dreams like flying or falling, losing your teeth or being naked in public probably mean similar things for most people. But to understand exactly what they mean for you, you need to think about what is happening in your real life and how you feel about it.",anthropic/claude-sonnet-4,claude-sonnet-4_descriptive_w_example,B1_PROMPT_DESCRIPTIVE_EXAMPLE,B1
tsar2025testblind,22-b1,"One of the most interesting cases of wild animals living in a city are the wild dogs of Moscow. In Moscow, there are approximately 35,000 wild dogs living on the streets. Some of the dogs were born wild, while others are pets that have been abandoned by their owners. Some dogs live alone and others live in packs. In 2010, scientists studied the dogs and found that the dogs have adapted remarkably successfully to urban life. They have learned that it is safer to cross the street with people and some dogs appear to understand traffic lights.",B1,"One of the most interesting examples of wild animals living in a city are the wild dogs of Moscow. In Moscow, there are about 35,000 wild dogs living on the streets. Some of the dogs were born wild, and others used to be pets but their owners left them. Some dogs live by themselves and others live in groups. In 2010, scientists studied the dogs and found that the dogs have learned very well how to live in the city. They have learned that it is safer to cross the road with people, and some dogs seem to understand traffic lights.",anthropic/claude-sonnet-4,claude-sonnet-4_descriptive_w_example,B1_PROMPT_DESCRIPTIVE_EXAMPLE,B1
tsar2025testblind,23-b1,"Wonder is New Yorker RJ Palacio's first novel. On her website, she explains that the idea for the book came to her after seeing a girl with facial deformities on the street one day. Wonder has been a bestseller in the United States and has already won several awards. Many schools are using it as a starting point for discussions about bullying, friendship and what it's like to be different. A film version is being made, and many, including me, are waiting eagerly to see what RJ Palacio writes next.",B1,"Wonder is the first book written by RJ Palacio, who is from New York. On her website, she says she got the idea for the book after she saw a girl with a face that looked different on the street one day. Wonder has sold very well in the United States and has won several prizes. Many schools are using it to help students talk about bullying, friendship and what it feels like to be different from other people. They are making a movie of the book, and many people, including me, are excited to see what RJ Palacio will write next.",anthropic/claude-sonnet-4,claude-sonnet-4_descriptive_w_example,B1_PROMPT_DESCRIPTIVE_EXAMPLE,B1
tsar2025testblind,24-b1,"Chloe has two pet rats, Zena and Roxy. Chloe knows they're not typical pets and she has lost count of the times she's patiently tried to explain to people that rats aren't dirty and they make fantastic pets if you look after them correctly. But she understands why people react badly. She didn't like rats either until her friend Martin showed her his pet rats and she saw how affectionate and intelligent they were. Last year, when one of Martin's rats had babies, Chloe decided she'd like to have two of them.",B1,"Chloe has two pet rats called Zena and Roxy. Chloe knows that rats are not normal pets and many times she has tried to tell people that rats are not dirty and they are great pets if you take good care of them. But she understands why people don't like them. She didn't like rats before either until her friend Martin showed her his pet rats and she saw how loving and smart they were. Last year, when one of Martin's rats had babies, Chloe decided she wanted to have two of them.",anthropic/claude-sonnet-4,claude-sonnet-4_descriptive_w_example,B1_PROMPT_DESCRIPTIVE_EXAMPLE,B1
tsar2025testblind,25-b1,"Cape Town can be a dangerous place for baboons. Some have been injured or killed in car accidents and others have been electrocuted as they played with electric cables. Baboons are an endangered species and to save them and minimise conflicts between humans and baboons, the city council has employed a team of Baboon Monitors. The monitors' job is to chase baboons out of urban areas or catch them and release them in the countryside. This policy has had some success, though it is proving hard to stop baboons from coming back to the city once they see it as a source of easy food.",B1,"Cape Town can be a dangerous place for baboons. Some have been hurt or killed in car accidents and others have died from electric shock when they played with electric wires. Baboons are an endangered species (animals that might disappear completely) and to save them and reduce problems between humans and baboons, the city council has hired a team of Baboon Monitors. The monitors' job is to chase baboons away from city areas or catch them and let them go free in the countryside. This plan has worked quite well, but it is difficult to stop baboons from coming back to the city once they think of it as a place where they can easily find food.",anthropic/claude-sonnet-4,claude-sonnet-4_descriptive_w_example,B1_PROMPT_DESCRIPTIVE_EXAMPLE,B1
tsar2025testblind,26-b1,"I work for a global IT company, but because their headquarters is in the States, I do all my work online from home. That means that I don't waste time commuting or making idle chit-chat with colleagues. I work on a project basis, and this flexibility is very valuable to me because it means that I can easily take some time off when my children need me to go to their school performances or if I need to schedule an appointment with the dentist. The downside is that without clear office hours, I tend to work well into the evening, sometimes skipping dinner to finish a task. ",B1,"I work for a big computer company around the world, but their main office is in America, so I do all my work online from home. This means I don't lose time traveling to work or having small talk with other workers. I work on different projects, and this freedom to choose my time is very important to me because I can easily take time off when my children need me at their school shows or when I need to go to the doctor. The bad thing is that because I don't have fixed office times, I often work until late in the evening, sometimes not eating dinner because I want to finish my work.",anthropic/claude-sonnet-4,claude-sonnet-4_descriptive_w_example,B1_PROMPT_DESCRIPTIVE_EXAMPLE,B1
tsar2025testblind,27-b1,"In the 1990s, graffiti continued but there was also an explosion in street art around the world. Some artists wanted to make political points and produced art that tried to make people think about war, inequality and discrimination. Other street artists were more concerned with producing beautiful, attractive work. In South America, many street artists went to work in poor areas adding colour, life and beauty to grey, city walls.",B1,"In the 1990s, graffiti continued but street art also became very popular around the world. Some artists wanted to share their political ideas and made art that tried to make people think about war, unfair treatment, and discrimination (when people are treated badly because of their race, gender, etc.). Other street artists just wanted to create beautiful and attractive work. In South America, many street artists went to work in poor neighborhoods, adding color, life and beauty to the grey city walls.",anthropic/claude-sonnet-4,claude-sonnet-4_descriptive_w_example,B1_PROMPT_DESCRIPTIVE_EXAMPLE,B1
tsar2025testblind,28-b1,"Social media, magazines and shop windows bombard people daily with things to buy, and British consumers are buying more clothes and shoes than ever before. Online shopping means it is easy for customers to buy without thinking, while major brands offer such cheap clothes that they can be treated like disposable items – worn two or three times and then thrown away.",B1,"Social media, magazines and shop windows show people things to buy every day, and British people are buying more clothes and shoes than ever before. Shopping online makes it easy for customers to buy things quickly without thinking carefully about it. Big clothing companies sell very cheap clothes, so people can throw them away after wearing them only two or three times, like things you use once and then put in the bin.",anthropic/claude-sonnet-4,claude-sonnet-4_descriptive_w_example,B1_PROMPT_DESCRIPTIVE_EXAMPLE,B1
tsar2025testblind,29-b1,"Sam squinted against the sun at the distant dust trail raked up by the car on its way up to the Big House. The horses kicked and flicked their tails at flies, not caring about their owner's first visit in ten months. Sam waited. Mr Carter didn't come out here unless he had to, which was just fine by Sam. The more he kept out of his boss's way, the longer he'd have a job. Mr, Carter wiped the sweat from the back of his neck. The damp patches on his shirt drew together like shapes in an atlas. His skin was already turning ruddy in the June sun. Otherwise he had the indoor tan of a man that made money while other people did the work.",B1,"Sam looked at the sun and saw dust in the distance from a car driving up to the Big House. The horses moved around and used their tails to push away flies. They didn't care that their owner was visiting for the first time in ten months. Sam waited. Mr Carter only came out here when he really had to, and Sam was happy about that. If he stayed away from his boss, he could keep his job longer. Mr Carter cleaned the sweat from his neck. The wet areas on his shirt joined together like countries on a map. His skin was already getting red from the June sun. But usually he had the pale skin of a man who made money while other people did the hard work.",anthropic/claude-sonnet-4,claude-sonnet-4_descriptive_w_example,B1_PROMPT_DESCRIPTIVE_EXAMPLE,B1
tsar2025testblind,30-b1,"Many city residents in Berlin, Germany complained that shooting pigs was unnecessarily cruel and there were heated arguments between hunters and animal lovers. In response to protests, the city council decided to take more peaceful action against pigs. Instead of shooting them, they have put up fences and made it illegal to feed the pigs. Time will tell if this strategy works, though it may be a losing battle as warmer winters mean that pig numbers are greater than in the past.",B1,"Many people living in Berlin, Germany said that killing pigs with guns was too cruel and there were angry discussions between hunters and people who love animals. Because people complained, the city government decided to try more peaceful ways to deal with the pigs. Instead of shooting them, they built fences and made a law that says people cannot give food to the pigs. We will see if this plan works, but it might be difficult to win because warmer winters mean there are more pigs now than before.",anthropic/claude-sonnet-4,claude-sonnet-4_descriptive_w_example,B1_PROMPT_DESCRIPTIVE_EXAMPLE,B1
tsar2025testblind,31-b1,"An important inspiration for the Hunger Games book comes from Suzanne's love of classical Greek mythology. When she was a child, one of her favourite stories was Theseus and the Minotaur. In this story the city of Athens is ruled by Crete, but the Athenians rebel. As a punishment, Minos the king of Crete forces the Athenians to send seven boys and seven girls to Crete every year. The youths are thrown into the labyrinth and eaten by a monster that lives there called the Minotaur. But one of the youths, named Theseus, fights the Minotaur and kills it. Suzanne sees Katniss Everdeen as a futuristic Theseus.",B1,"An important idea for the Hunger Games book comes from Suzanne's love of old Greek stories. When she was a child, one of her favourite stories was about Theseus and the Minotaur. In this story, the city of Athens is controlled by Crete, but the people of Athens fight back. To punish them, Minos the king of Crete makes the people of Athens send seven boys and seven girls to Crete every year. The young people are put into a maze (a place with many paths where it's easy to get lost) and eaten by a monster that lives there called the Minotaur. But one of the young people, named Theseus, fights the Minotaur and kills it. Suzanne sees Katniss Everdeen as a modern Theseus from the future.",anthropic/claude-sonnet-4,claude-sonnet-4_descriptive_w_example,B1_PROMPT_DESCRIPTIVE_EXAMPLE,B1
tsar2025testblind,32-b1,"By bringing people and animals together, zoos have the potential to educate the public about conservation issues and inspire people to protect animals and their habitats. Some zoos provide a safe environment for animals which have been mistreated in circuses, or pets which have been abandoned. Zoos also carry out important research into subjects like animal behaviour and how to treat illnesses.",B1,"Zoos bring people and animals together, so they can teach people about protecting nature and make them want to help save animals and the places where they live. Some zoos give a safe home to animals that were badly treated in circuses or pets that their owners left behind. Zoos also do important studies about how animals act and how to help sick animals get better.",anthropic/claude-sonnet-4,claude-sonnet-4_descriptive_w_example,B1_PROMPT_DESCRIPTIVE_EXAMPLE,B1
tsar2025testblind,33-b1,"A different trend is springing up in opposition to consumerism – the 'buy nothing' trend. The idea originated in Canada in the early 1990s and then moved to the US, where it became a rejection of the overspending and overconsumption of Black Friday and Cyber Monday during Thanksgiving weekend. On Buy Nothing Day people organise various types of protests and cut up their credit cards. Throughout the year, Buy Nothing groups organise the exchange and repair of items they already own.",B1,"A different trend is starting that goes against buying too much – the 'buy nothing' trend. This idea started in Canada in the early 1990s and then went to the US. There, it became a way to say no to spending too much money on Black Friday and Cyber Monday (big shopping days during Thanksgiving weekend). On Buy Nothing Day, people organize different kinds of protests and cut up their credit cards. During the year, Buy Nothing groups help people share and fix things they already have instead of buying new ones.",anthropic/claude-sonnet-4,claude-sonnet-4_descriptive_w_example,B1_PROMPT_DESCRIPTIVE_EXAMPLE,B1
