dataset_id,text_id,original,target_cefr,simplified,model,name,prompt_type,target
tsar2025testblind,21-b1,"Your dreams might show you all kinds of insights into things that you didn't realise you were thinking about. Common dreams like being able to fly or falling, your teeth falling out or having no clothes on in a public place probably mean something similar in most people. But the key to understanding exactly what they mean to you is to connect them to the events and feelings in your daily life.",B1,"Your dreams can show you things you didn't know you were thinking about. Many people have similar dreams like flying, falling, losing teeth, or being naked in public. These dreams probably mean similar things for most people. But to understand what your dreams mean for you, you need to think about what happens in your real life and how you feel every day.",anthropic/claude-sonnet-4,claude-sonnet-4_short,B1_PROMPT_SHORT,B1
tsar2025testblind,22-b1,"One of the most interesting cases of wild animals living in a city are the wild dogs of Moscow. In Moscow, there are approximately 35,000 wild dogs living on the streets. Some of the dogs were born wild, while others are pets that have been abandoned by their owners. Some dogs live alone and others live in packs. In 2010, scientists studied the dogs and found that the dogs have adapted remarkably successfully to urban life. They have learned that it is safer to cross the street with people and some dogs appear to understand traffic lights.",B1,"One of the most interesting examples of wild animals living in a city are the wild dogs of Moscow. In Moscow, there are about 35,000 wild dogs living on the streets. Some of the dogs were born wild, and others are pets that their owners left behind. Some dogs live alone and others live in groups. In 2010, scientists studied the dogs and found that the dogs have learned to live very well in the city. They have learned that it is safer to cross the street with people and some dogs seem to understand traffic lights.",anthropic/claude-sonnet-4,claude-sonnet-4_short,B1_PROMPT_SHORT,B1
tsar2025testblind,23-b1,"Wonder is New Yorker RJ Palacio's first novel. On her website, she explains that the idea for the book came to her after seeing a girl with facial deformities on the street one day. Wonder has been a bestseller in the United States and has already won several awards. Many schools are using it as a starting point for discussions about bullying, friendship and what it's like to be different. A film version is being made, and many, including me, are waiting eagerly to see what RJ Palacio writes next.",B1,"Wonder is RJ Palacio's first book. She got the idea for the book when she saw a girl with face problems on the street. Wonder is very popular in America and has won many prizes. Many schools use it to talk about bullying, friendship and being different. They are making a film of the book, and many people, including me, want to see what RJ Palacio writes next.",anthropic/claude-sonnet-4,claude-sonnet-4_short,B1_PROMPT_SHORT,B1
tsar2025testblind,24-b1,"Chloe has two pet rats, Zena and Roxy. Chloe knows they're not typical pets and she has lost count of the times she's patiently tried to explain to people that rats aren't dirty and they make fantastic pets if you look after them correctly. But she understands why people react badly. She didn't like rats either until her friend Martin showed her his pet rats and she saw how affectionate and intelligent they were. Last year, when one of Martin's rats had babies, Chloe decided she'd like to have two of them.",B1,"Chloe has two pet rats called Zena and Roxy. She knows that most people don't like rats as pets. Many times, she has tried to tell people that rats are clean animals and they are great pets if you take good care of them. But she understands why people don't like them. She didn't like rats before either. Then her friend Martin showed her his pet rats and she saw that they were loving and smart animals. Last year, when one of Martin's rats had babies, Chloe decided she wanted two of them.",anthropic/claude-sonnet-4,claude-sonnet-4_short,B1_PROMPT_SHORT,B1
tsar2025testblind,25-b1,"Cape Town can be a dangerous place for baboons. Some have been injured or killed in car accidents and others have been electrocuted as they played with electric cables. Baboons are an endangered species and to save them and minimise conflicts between humans and baboons, the city council has employed a team of Baboon Monitors. The monitors' job is to chase baboons out of urban areas or catch them and release them in the countryside. This policy has had some success, though it is proving hard to stop baboons from coming back to the city once they see it as a source of easy food.",B1,Cape Town is dangerous for baboons. Some baboons get hurt or die in car accidents. Others die when they touch electric cables. Baboons are endangered animals. The city wants to save them and stop problems between people and baboons. So the city has workers called Baboon Monitors. These workers chase baboons away from the city or catch them and take them to the countryside. This plan works sometimes. But it is difficult to stop baboons from coming back to the city. The baboons think the city has easy food for them.,anthropic/claude-sonnet-4,claude-sonnet-4_short,B1_PROMPT_SHORT,B1
tsar2025testblind,26-b1,"I work for a global IT company, but because their headquarters is in the States, I do all my work online from home. That means that I don't waste time commuting or making idle chit-chat with colleagues. I work on a project basis, and this flexibility is very valuable to me because it means that I can easily take some time off when my children need me to go to their school performances or if I need to schedule an appointment with the dentist. The downside is that without clear office hours, I tend to work well into the evening, sometimes skipping dinner to finish a task. ",B1,"I work for a big computer company. Their main office is in America, so I work from home using my computer. This means I don't need to travel to work or talk with coworkers every day. I work on different projects, and I can choose my hours. This is good because I can stop working when my children have school shows or when I need to go to the doctor. But there is a problem - because I don't have fixed work hours, I often work until late at night. Sometimes I don't eat dinner because I want to finish my work.",anthropic/claude-sonnet-4,claude-sonnet-4_short,B1_PROMPT_SHORT,B1
tsar2025testblind,27-b1,"In the 1990s, graffiti continued but there was also an explosion in street art around the world. Some artists wanted to make political points and produced art that tried to make people think about war, inequality and discrimination. Other street artists were more concerned with producing beautiful, attractive work. In South America, many street artists went to work in poor areas adding colour, life and beauty to grey, city walls.",B1,"In the 1990s, graffiti continued but street art also became very popular around the world. Some artists wanted to talk about politics and made art about war and unfair treatment of people. Other street artists just wanted to make beautiful work. In South America, many street artists worked in poor areas. They painted grey city walls to make them more colourful and beautiful.",anthropic/claude-sonnet-4,claude-sonnet-4_short,B1_PROMPT_SHORT,B1
tsar2025testblind,28-b1,"Social media, magazines and shop windows bombard people daily with things to buy, and British consumers are buying more clothes and shoes than ever before. Online shopping means it is easy for customers to buy without thinking, while major brands offer such cheap clothes that they can be treated like disposable items – worn two or three times and then thrown away.",B1,"Social media, magazines and shop windows show people things to buy every day, and British people are buying more clothes and shoes than before. Online shopping makes it easy for people to buy without thinking, and big brands sell very cheap clothes that people can throw away after wearing them two or three times.",anthropic/claude-sonnet-4,claude-sonnet-4_short,B1_PROMPT_SHORT,B1
tsar2025testblind,29-b1,"Sam squinted against the sun at the distant dust trail raked up by the car on its way up to the Big House. The horses kicked and flicked their tails at flies, not caring about their owner's first visit in ten months. Sam waited. Mr Carter didn't come out here unless he had to, which was just fine by Sam. The more he kept out of his boss's way, the longer he'd have a job. Mr, Carter wiped the sweat from the back of his neck. The damp patches on his shirt drew together like shapes in an atlas. His skin was already turning ruddy in the June sun. Otherwise he had the indoor tan of a man that made money while other people did the work.",B1,"Sam looked at the dust from the car driving to the Big House. The sun was very bright. The horses moved their tails to keep flies away. They didn't care that their owner was visiting for the first time in ten months. Sam waited. Mr Carter only came here when he had to, and Sam was happy about that. If he stayed away from his boss, he could keep his job longer. Mr Carter was hot and sweating. His shirt was wet. His skin was getting red from the June sun. He looked like a man who worked inside and made money while other people did the hard work.",anthropic/claude-sonnet-4,claude-sonnet-4_short,B1_PROMPT_SHORT,B1
tsar2025testblind,30-b1,"Many city residents in Berlin, Germany complained that shooting pigs was unnecessarily cruel and there were heated arguments between hunters and animal lovers. In response to protests, the city council decided to take more peaceful action against pigs. Instead of shooting them, they have put up fences and made it illegal to feed the pigs. Time will tell if this strategy works, though it may be a losing battle as warmer winters mean that pig numbers are greater than in the past.",B1,"People in Berlin, Germany said shooting pigs was too cruel. Hunters and animal lovers had big arguments. The city council listened to the protests. Now they use peaceful ways to stop the pigs. They built fences and made feeding pigs illegal. We don't know if this will work. It might be difficult because warm winters mean there are more pigs now.",anthropic/claude-sonnet-4,claude-sonnet-4_short,B1_PROMPT_SHORT,B1
