dataset_id,text_id,original,target_cefr,simplified,model,name,prompt_type,target
tsar2025testblind,21-b1,"Your dreams might show you all kinds of insights into things that you didn't realise you were thinking about. Common dreams like being able to fly or falling, your teeth falling out or having no clothes on in a public place probably mean something similar in most people. But the key to understanding exactly what they mean to you is to connect them to the events and feelings in your daily life.",B1,"Your dreams might give you ideas about things you weren't aware you were thinking about. Common dreams, like flying or falling, or your teeth falling out, or being naked in public, likely have similar meanings for most people. But the important thing is to link your dreams to your daily life and feelings to understand what they mean for you.",deepseek/deepseek-r1-distill-llama-70b,deepseek-r1-distill-llama-70b_descriptive_w_example,B1_PROMPT_DESCRIPTIVE_EXAMPLE,B1
tsar2025testblind,22-b1,"One of the most interesting cases of wild animals living in a city are the wild dogs of Moscow. In Moscow, there are approximately 35,000 wild dogs living on the streets. Some of the dogs were born wild, while others are pets that have been abandoned by their owners. Some dogs live alone and others live in packs. In 2010, scientists studied the dogs and found that the dogs have adapted remarkably successfully to urban life. They have learned that it is safer to cross the street with people and some dogs appear to understand traffic lights.",B1,"One of the most interesting examples of wild animals living in cities are the wild dogs of Moscow. In Moscow, there are about 35,000 wild dogs living on the streets. Some of these dogs were born wild, while others were once pets that were left by their owners. Some dogs live alone, while others live in groups. In 2010, scientists studied these dogs and found that they had adapted very well to city life. They have learned that it's safer to cross the street with people, and some dogs even seem to know when to cross safely at traffic lights.",deepseek/deepseek-r1-distill-llama-70b,deepseek-r1-distill-llama-70b_descriptive_w_example,B1_PROMPT_DESCRIPTIVE_EXAMPLE,B1
tsar2025testblind,23-b1,"Wonder is New Yorker RJ Palacio's first novel. On her website, she explains that the idea for the book came to her after seeing a girl with facial deformities on the street one day. Wonder has been a bestseller in the United States and has already won several awards. Many schools are using it as a starting point for discussions about bullying, friendship and what it's like to be different. A film version is being made, and many, including me, are waiting eagerly to see what RJ Palacio writes next.",B1,"""Wonder"" is RJ Palacio's first book. She got the idea for it after seeing a girl whose face looked different on the street. The book has been very popular in the United States and has won several awards. Many schools use it to talk about bullying, friendship, and what it's like to be different. A movie is being made from the book, and many people, including me, are excited to see what RJ Palacio writes next.",deepseek/deepseek-r1-distill-llama-70b,deepseek-r1-distill-llama-70b_descriptive_w_example,B1_PROMPT_DESCRIPTIVE_EXAMPLE,B1
tsar2025testblind,24-b1,"Chloe has two pet rats, Zena and Roxy. Chloe knows they're not typical pets and she has lost count of the times she's patiently tried to explain to people that rats aren't dirty and they make fantastic pets if you look after them correctly. But she understands why people react badly. She didn't like rats either until her friend Martin showed her his pet rats and she saw how affectionate and intelligent they were. Last year, when one of Martin's rats had babies, Chloe decided she'd like to have two of them.",B1,"Chloe has two pet rats called Zena and Roxy. She knows that rats are not usual pets. She has tried many times to explain that rats are not dirty and can make great pets if you take good care of them. She understands why people might not like them. She didn’t like rats before her friend Martin showed her his pet rats. They were very friendly and smart. Last year, when Martin’s rat had babies, Chloe wanted two of them.",deepseek/deepseek-r1-distill-llama-70b,deepseek-r1-distill-llama-70b_descriptive_w_example,B1_PROMPT_DESCRIPTIVE_EXAMPLE,B1
tsar2025testblind,25-b1,"Cape Town can be a dangerous place for baboons. Some have been injured or killed in car accidents and others have been electrocuted as they played with electric cables. Baboons are an endangered species and to save them and minimise conflicts between humans and baboons, the city council has employed a team of Baboon Monitors. The monitors' job is to chase baboons out of urban areas or catch them and release them in the countryside. This policy has had some success, though it is proving hard to stop baboons from coming back to the city once they see it as a source of easy food.",B1,"Cape Town can be a dangerous place for baboons. Some get hurt or killed in car accidents, and others get electrocuted while playing with electric cables. Baboons are an endangered species, so the city council has hired a team of Baboon Monitors to help protect them and reduce conflicts between humans and baboons. The monitors’ job is to scare the baboons away from urban areas or catch them and release them in the countryside. This plan has worked to some extent, but it’s challenging to keep the baboons from returning to the city once they find food there easily.",deepseek/deepseek-r1-distill-llama-70b,deepseek-r1-distill-llama-70b_descriptive_w_example,B1_PROMPT_DESCRIPTIVE_EXAMPLE,B1
tsar2025testblind,26-b1,"I work for a global IT company, but because their headquarters is in the States, I do all my work online from home. That means that I don't waste time commuting or making idle chit-chat with colleagues. I work on a project basis, and this flexibility is very valuable to me because it means that I can easily take some time off when my children need me to go to their school performances or if I need to schedule an appointment with the dentist. The downside is that without clear office hours, I tend to work well into the evening, sometimes skipping dinner to finish a task. ",B1,"I work for a global IT company, but since the main office is in the US, I do my job online from home. This means I don't waste time traveling to work or having casual conversations with colleagues. I work on projects as needed, and this flexibility is really helpful because I can take time off when my kids have school events or when I need to make a dentist appointment. However, without set working hours, I often work late into the night and sometimes skip dinner to finish my tasks.",deepseek/deepseek-r1-distill-llama-70b,deepseek-r1-distill-llama-70b_descriptive_w_example,B1_PROMPT_DESCRIPTIVE_EXAMPLE,B1
tsar2025testblind,27-b1,"In the 1990s, graffiti continued but there was also an explosion in street art around the world. Some artists wanted to make political points and produced art that tried to make people think about war, inequality and discrimination. Other street artists were more concerned with producing beautiful, attractive work. In South America, many street artists went to work in poor areas adding colour, life and beauty to grey, city walls.",B1,"In the 1990s, graffiti kept going, and street art became very popular globally. Some artists sent political messages through their work, creating art to make people think about issues like war, inequality, and discrimination. Others focused on creating beautiful and attractive art. In South America, many street artists worked in poor areas, adding color, life, and beauty to gray city walls.",deepseek/deepseek-r1-distill-llama-70b,deepseek-r1-distill-llama-70b_descriptive_w_example,B1_PROMPT_DESCRIPTIVE_EXAMPLE,B1
tsar2025testblind,28-b1,"Social media, magazines and shop windows bombard people daily with things to buy, and British consumers are buying more clothes and shoes than ever before. Online shopping means it is easy for customers to buy without thinking, while major brands offer such cheap clothes that they can be treated like disposable items – worn two or three times and then thrown away.",B1,"Every day, social media, magazines, and shop windows show people things to buy. As a result, British shoppers are buying more clothes and shoes than ever before. Online shopping makes it easy to buy things quickly without thinking. Big brands sell very cheap clothes that people wear a few times and then throw away.",deepseek/deepseek-r1-distill-llama-70b,deepseek-r1-distill-llama-70b_descriptive_w_example,B1_PROMPT_DESCRIPTIVE_EXAMPLE,B1
tsar2025testblind,29-b1,"Sam squinted against the sun at the distant dust trail raked up by the car on its way up to the Big House. The horses kicked and flicked their tails at flies, not caring about their owner's first visit in ten months. Sam waited. Mr Carter didn't come out here unless he had to, which was just fine by Sam. The more he kept out of his boss's way, the longer he'd have a job. Mr, Carter wiped the sweat from the back of his neck. The damp patches on his shirt drew together like shapes in an atlas. His skin was already turning ruddy in the June sun. Otherwise he had the indoor tan of a man that made money while other people did the work.",B1,"Sam squinted at the sun and watched the dust rising behind the car as it drove up to the Big House. The horses kicked and swished their tails to keep the flies away, not paying attention to their owner’s first visit in ten months. Sam waited. Mr. Carter rarely came here, and Sam was fine with that. The less he saw of his boss, the better chance he had of keeping his job. Mr. Carter wiped the sweat from the back of his neck. The wet spots on his shirt came together like shapes on a map. His skin was already getting red from the June sun. Usually, he had the pale skin of someone who stayed indoors while others worked.",deepseek/deepseek-r1-distill-llama-70b,deepseek-r1-distill-llama-70b_descriptive_w_example,B1_PROMPT_DESCRIPTIVE_EXAMPLE,B1
tsar2025testblind,30-b1,"Many city residents in Berlin, Germany complained that shooting pigs was unnecessarily cruel and there were heated arguments between hunters and animal lovers. In response to protests, the city council decided to take more peaceful action against pigs. Instead of shooting them, they have put up fences and made it illegal to feed the pigs. Time will tell if this strategy works, though it may be a losing battle as warmer winters mean that pig numbers are greater than in the past.",B1,"Many people in Berlin, Germany thought shooting wild boars was too cruel. This caused big arguments between hunters and people who love animals. The city council decided to try a kinder approach. They built fences and made it illegal to feed the wild boars. Only time will tell if this works. It might be hard to control because warmer winters have led to more wild boars.",deepseek/deepseek-r1-distill-llama-70b,deepseek-r1-distill-llama-70b_descriptive_w_example,B1_PROMPT_DESCRIPTIVE_EXAMPLE,B1
