dataset_id,text_id,original,target_cefr,simplified,model,name,prompt_type,target
tsar2025testblind,21-b1,"Your dreams might show you all kinds of insights into things that you didn't realise you were thinking about. Common dreams like being able to fly or falling, your teeth falling out or having no clothes on in a public place probably mean something similar in most people. But the key to understanding exactly what they mean to you is to connect them to the events and feelings in your daily life.",B1,"
Dreams can tell you things about yourself, and about thoughts you didn’t even know you had. Many people have similar dreams, like flying, falling, losing teeth, or being naked in public. These dreams often have a similar meaning for most people.

However, to understand what a dream *really* means ",google/gemma-3-27b-it,gemma-3-27b-it_descriptiv,B1_PROMPT_DESCRIPTIVE,B1
tsar2025testblind,22-b1,"One of the most interesting cases of wild animals living in a city are the wild dogs of Moscow. In Moscow, there are approximately 35,000 wild dogs living on the streets. Some of the dogs were born wild, while others are pets that have been abandoned by their owners. Some dogs live alone and others live in packs. In 2010, scientists studied the dogs and found that the dogs have adapted remarkably successfully to urban life. They have learned that it is safer to cross the street with people and some dogs appear to understand traffic lights.",B1,"
The wild dogs in Moscow are a fascinating example of animals living in a city. There are about 35,000 wild dogs living in the streets of Moscow. Some were born in the wild, but others used to be pets that people left behind. 

These dogs live in different ways – some are alone, and others live in groups called packs. In 2010, scientists studied these dogs and discovered they have adapted very well to city life. They’ve learned how to survive in an urban environment. For example, they’ve found it’s safer to cross the road with people, and some even seem to know what traffic lights mean. 

*(Adapt means to change and learn to live in a new situation.)*
*(Urban means relating to a town or city.)*



",google/gemma-3-27b-it,gemma-3-27b-it_descriptiv,B1_PROMPT_DESCRIPTIVE,B1
tsar2025testblind,23-b1,"Wonder is New Yorker RJ Palacio's first novel. On her website, she explains that the idea for the book came to her after seeing a girl with facial deformities on the street one day. Wonder has been a bestseller in the United States and has already won several awards. Many schools are using it as a starting point for discussions about bullying, friendship and what it's like to be different. A film version is being made, and many, including me, are waiting eagerly to see what RJ Palacio writes next.",B1,"
Wonder is the first book written by RJ Palacio, an author from New York. She says she got the idea for the story after seeing a girl who looked different because of how her face was formed. The book has been very popular in the US and has won many prizes. 

Lots of schools are using *Wonder* to talk about important topics like bullying (when someone repeatedly hurts someone else, often by being unkind), friendship, and accepting people who are different. They are also making a movie based on the book, and many people, including me, are excited to see it! We are also looking forward to reading RJ Palacio’s next book.



",google/gemma-3-27b-it,gemma-3-27b-it_descriptiv,B1_PROMPT_DESCRIPTIVE,B1
tsar2025testblind,24-b1,"Chloe has two pet rats, Zena and Roxy. Chloe knows they're not typical pets and she has lost count of the times she's patiently tried to explain to people that rats aren't dirty and they make fantastic pets if you look after them correctly. But she understands why people react badly. She didn't like rats either until her friend Martin showed her his pet rats and she saw how affectionate and intelligent they were. Last year, when one of Martin's rats had babies, Chloe decided she'd like to have two of them.",B1,"

Chloe has two pet rats called Zena and Roxy. She knows that rats are not common pets, and she has often explained to people that rats are clean and can be great pets if you care for them well. She understands why people don’t like them though. She didn’t like rats herself before her friend Martin showed her his. She saw how loving and clever his rats were. Last year, Martin’s rat had babies, and Chloe decided she wanted to have two of them as pets.



",google/gemma-3-27b-it,gemma-3-27b-it_descriptiv,B1_PROMPT_DESCRIPTIVE,B1
tsar2025testblind,25-b1,"Cape Town can be a dangerous place for baboons. Some have been injured or killed in car accidents and others have been electrocuted as they played with electric cables. Baboons are an endangered species and to save them and minimise conflicts between humans and baboons, the city council has employed a team of Baboon Monitors. The monitors' job is to chase baboons out of urban areas or catch them and release them in the countryside. This policy has had some success, though it is proving hard to stop baboons from coming back to the city once they see it as a source of easy food.",B1,"
Cape Town can be a risky place for baboons. Some have been hurt or killed by cars, and others have had accidents with electrical wires. Baboons are an endangered species, which means there are not many left, and the city wants to protect them. They also want to reduce problems between people and baboons.

Because of this, the city council has hired people called Baboon Monitors. Their job is to scare baboons away from towns and cities, or to catch them and move them to the countryside. This plan has worked sometimes, but it’s difficult to stop the baboons from returning to the city. They learn that they can find food easily there.



",google/gemma-3-27b-it,gemma-3-27b-it_descriptiv,B1_PROMPT_DESCRIPTIVE,B1
tsar2025testblind,26-b1,"I work for a global IT company, but because their headquarters is in the States, I do all my work online from home. That means that I don't waste time commuting or making idle chit-chat with colleagues. I work on a project basis, and this flexibility is very valuable to me because it means that I can easily take some time off when my children need me to go to their school performances or if I need to schedule an appointment with the dentist. The downside is that without clear office hours, I tend to work well into the evening, sometimes skipping dinner to finish a task. ",B1,"I work for a big computer company, but the main office is in the USA. So, I work from home using the internet. This means I don’t spend time travelling to work or talking about unimportant things with people I work with. 

I work on different projects, and I like having this freedom. It’s useful because I can easily take time off when my children have things at school, like shows, or when I need to go to the doctor or dentist. 

However, there’s a problem. Because I don’t have fixed working hours, I often work late into the night. Sometimes I even miss dinner to finish something.



",google/gemma-3-27b-it,gemma-3-27b-it_descriptiv,B1_PROMPT_DESCRIPTIVE,B1
tsar2025testblind,27-b1,"In the 1990s, graffiti continued but there was also an explosion in street art around the world. Some artists wanted to make political points and produced art that tried to make people think about war, inequality and discrimination. Other street artists were more concerned with producing beautiful, attractive work. In South America, many street artists went to work in poor areas adding colour, life and beauty to grey, city walls.",B1,"
In the 1990s, people continued to paint graffiti, but street art also became very popular worldwide. Some artists used their art to talk about important issues like war, unfairness, and treating people differently. They wanted to make people think about these problems. Other artists focused on creating art that was simply beautiful and pleasing to look at. In South America, many street artists worked in poorer neighbourhoods, painting colourful pictures on walls to make them more cheerful and attractive.",google/gemma-3-27b-it,gemma-3-27b-it_descriptiv,B1_PROMPT_DESCRIPTIVE,B1
tsar2025testblind,28-b1,"Social media, magazines and shop windows bombard people daily with things to buy, and British consumers are buying more clothes and shoes than ever before. Online shopping means it is easy for customers to buy without thinking, while major brands offer such cheap clothes that they can be treated like disposable items – worn two or three times and then thrown away.",B1,"
Every day, people see lots of adverts for things to buy on social media, in magazines, and in shops. In Britain, people are buying more clothes and shoes than ever before. It’s now very easy to buy things online without really thinking about it. Also, big companies sell clothes that are very cheap. This means people sometimes treat them as if they don’t last long – they wear them a few times and then throw them away. These clothes are almost ‘disposable’, like things you use once and then don’t need anymore.",google/gemma-3-27b-it,gemma-3-27b-it_descriptiv,B1_PROMPT_DESCRIPTIVE,B1
tsar2025testblind,29-b1,"Sam squinted against the sun at the distant dust trail raked up by the car on its way up to the Big House. The horses kicked and flicked their tails at flies, not caring about their owner's first visit in ten months. Sam waited. Mr Carter didn't come out here unless he had to, which was just fine by Sam. The more he kept out of his boss's way, the longer he'd have a job. Mr, Carter wiped the sweat from the back of his neck. The damp patches on his shirt drew together like shapes in an atlas. His skin was already turning ruddy in the June sun. Otherwise he had the indoor tan of a man that made money while other people did the work.",B1,"Sam shielded his eyes from the sun and watched a cloud of dust appear as a car drove towards the large house. The horses didn’t seem to notice, as they were busy trying to get rid of flies. Sam waited patiently. Mr Carter didn’t often come to this part of the land, and Sam was happy about that. The less Mr Carter saw of him, the more likely he was to keep his job.

Mr Carter wiped sweat from his neck. His shirt was damp, and the wet patches looked like shapes on a map. The sun was making his skin red, but usually he was pale because he spent most of his time working indoors and letting others do the physical work to earn him money.



",google/gemma-3-27b-it,gemma-3-27b-it_descriptiv,B1_PROMPT_DESCRIPTIVE,B1
tsar2025testblind,30-b1,"Many city residents in Berlin, Germany complained that shooting pigs was unnecessarily cruel and there were heated arguments between hunters and animal lovers. In response to protests, the city council decided to take more peaceful action against pigs. Instead of shooting them, they have put up fences and made it illegal to feed the pigs. Time will tell if this strategy works, though it may be a losing battle as warmer winters mean that pig numbers are greater than in the past.",B1,"
People living in Berlin, Germany were upset because the city was shooting wild pigs, and they thought it was cruel. Hunters and people who love animals argued about this. 

Because of these protests, the city council decided to try a kinder way to control the pigs. Now, instead of shooting them, they are building fences to keep the pigs in certain areas. It is also now against the law to give food to the pigs. 

It’s not yet clear if this new plan will work. It might be difficult because the weather is getting warmer, which means more pigs are surviving the winter and the number of pigs is increasing.



",google/gemma-3-27b-it,gemma-3-27b-it_descriptiv,B1_PROMPT_DESCRIPTIVE,B1
tsar2025testblind,31-b1,"An important inspiration for the Hunger Games book comes from Suzanne's love of classical Greek mythology. When she was a child, one of her favourite stories was Theseus and the Minotaur. In this story the city of Athens is ruled by Crete, but the Athenians rebel. As a punishment, Minos the king of Crete forces the Athenians to send seven boys and seven girls to Crete every year. The youths are thrown into the labyrinth and eaten by a monster that lives there called the Minotaur. But one of the youths, named Theseus, fights the Minotaur and kills it. Suzanne sees Katniss Everdeen as a futuristic Theseus.",B1,"
Suzanne Collins, the author of *The Hunger Games*, was inspired by ancient Greek myths – traditional stories from ancient Greece. One of her favourite stories when she was young was about Theseus and the Minotaur. 

In this story, the city of Athens was controlled by Crete. The people of Athens fought back, and as a punishment, the king of Crete, Minos, made them send seven young men and seven young women to Crete every year. These young people were sent into a complicated maze called a labyrinth, where a monster called the Minotaur would eat them. 

However, one of the young men, called Theseus, bravely fought and killed the Minotaur. Suzanne Collins thinks of Katniss Everdeen, the main character in *The Hunger Games*, as a modern version of Theseus.",google/gemma-3-27b-it,gemma-3-27b-it_descriptiv,B1_PROMPT_DESCRIPTIVE,B1
