dataset_id,text_id,original,target_cefr,simplified,model,name,prompt_type,target
tsar2025testblind,21-b1,"Your dreams might show you all kinds of insights into things that you didn't realise you were thinking about. Common dreams like being able to fly or falling, your teeth falling out or having no clothes on in a public place probably mean something similar in most people. But the key to understanding exactly what they mean to you is to connect them to the events and feelings in your daily life.",B1,"
Dreams can tell you things about what you're thinking and feeling, even if you don't know it. Many people have similar dreams, like flying, falling, losing teeth, or being naked in public. These dreams usually have a common meaning. But to understand what *your* dreams mean, think about what's happening in your life and how you feel each day.



",google/gemma-3-27b-it,gemma-3-27b-it_short,B1_PROMPT_SHORT,B1
tsar2025testblind,22-b1,"One of the most interesting cases of wild animals living in a city are the wild dogs of Moscow. In Moscow, there are approximately 35,000 wild dogs living on the streets. Some of the dogs were born wild, while others are pets that have been abandoned by their owners. Some dogs live alone and others live in packs. In 2010, scientists studied the dogs and found that the dogs have adapted remarkably successfully to urban life. They have learned that it is safer to cross the street with people and some dogs appear to understand traffic lights.",B1,"The wild dogs of Moscow are a fascinating example of animals living in a city. There are about 35,000 wild dogs in Moscow, living on the streets. Some were born in the wild, but others were once pets that people left behind. Some dogs live by themselves, and others live in groups. Scientists studied these dogs in 2010 and discovered they have adapted very well to city life. They’ve learned it’s safer to cross roads with people, and some even seem to understand traffic lights.



",google/gemma-3-27b-it,gemma-3-27b-it_short,B1_PROMPT_SHORT,B1
tsar2025testblind,23-b1,"Wonder is New Yorker RJ Palacio's first novel. On her website, she explains that the idea for the book came to her after seeing a girl with facial deformities on the street one day. Wonder has been a bestseller in the United States and has already won several awards. Many schools are using it as a starting point for discussions about bullying, friendship and what it's like to be different. A film version is being made, and many, including me, are waiting eagerly to see what RJ Palacio writes next.",B1,"
Wonder is the first book by American writer RJ Palacio. She says she got the idea for the story after seeing a girl who looked different in the street. The book has been very popular in the US and has won prizes. Many schools use it to talk about difficult topics like bullying, being a good friend, and accepting people who are different. They are making a film of the book, and lots of people, including me, are excited to see it. We are also looking forward to RJ Palacio’s next book.



",google/gemma-3-27b-it,gemma-3-27b-it_short,B1_PROMPT_SHORT,B1
tsar2025testblind,24-b1,"Chloe has two pet rats, Zena and Roxy. Chloe knows they're not typical pets and she has lost count of the times she's patiently tried to explain to people that rats aren't dirty and they make fantastic pets if you look after them correctly. But she understands why people react badly. She didn't like rats either until her friend Martin showed her his pet rats and she saw how affectionate and intelligent they were. Last year, when one of Martin's rats had babies, Chloe decided she'd like to have two of them.",B1,"Chloe has two pet rats called Zena and Roxy. She knows rats aren’t usual pets, and she has often explained to people that rats are clean and good pets if you care for them well. She understands why people don’t like them, because she didn’t like rats either. But her friend Martin showed her his rats, and she saw they were loving and clever. Last year, Martin’s rat had babies, and Chloe decided she wanted two.



",google/gemma-3-27b-it,gemma-3-27b-it_short,B1_PROMPT_SHORT,B1
tsar2025testblind,25-b1,"Cape Town can be a dangerous place for baboons. Some have been injured or killed in car accidents and others have been electrocuted as they played with electric cables. Baboons are an endangered species and to save them and minimise conflicts between humans and baboons, the city council has employed a team of Baboon Monitors. The monitors' job is to chase baboons out of urban areas or catch them and release them in the countryside. This policy has had some success, though it is proving hard to stop baboons from coming back to the city once they see it as a source of easy food.",B1,"Baboons in Cape Town are in danger. Some are hurt by cars, and others by electricity. Baboons need our help, so the city has people called Baboon Monitors. These monitors try to keep baboons away from houses and roads. They might chase them away or move them to the countryside. This helps, but baboons sometimes return to the city looking for food.",google/gemma-3-27b-it,gemma-3-27b-it_short,B1_PROMPT_SHORT,B1
tsar2025testblind,26-b1,"I work for a global IT company, but because their headquarters is in the States, I do all my work online from home. That means that I don't waste time commuting or making idle chit-chat with colleagues. I work on a project basis, and this flexibility is very valuable to me because it means that I can easily take some time off when my children need me to go to their school performances or if I need to schedule an appointment with the dentist. The downside is that without clear office hours, I tend to work well into the evening, sometimes skipping dinner to finish a task. ",B1,"
I work for a big computer company, but the main office is in the USA. So, I work from home using the internet. This means I don’t spend time travelling to work or talking to colleagues about unimportant things. I work on different projects, and I like this because I can easily take time off for my children – like for school plays – or to go to the dentist. However, because I don’t have fixed working hours, I often work late, and sometimes I even miss dinner to finish things.



",google/gemma-3-27b-it,gemma-3-27b-it_short,B1_PROMPT_SHORT,B1
tsar2025testblind,27-b1,"In the 1990s, graffiti continued but there was also an explosion in street art around the world. Some artists wanted to make political points and produced art that tried to make people think about war, inequality and discrimination. Other street artists were more concerned with producing beautiful, attractive work. In South America, many street artists went to work in poor areas adding colour, life and beauty to grey, city walls.",B1,"In the 1990s, graffiti was still common, but street art became very popular worldwide. Some artists used their art to talk about important issues like war, unfairness, and treating people differently. They wanted people to think about these problems. Other artists focused on creating beautiful pictures. In South America, many street artists worked in poorer neighbourhoods, making the grey walls brighter and more cheerful.



",google/gemma-3-27b-it,gemma-3-27b-it_short,B1_PROMPT_SHORT,B1
tsar2025testblind,28-b1,"Social media, magazines and shop windows bombard people daily with things to buy, and British consumers are buying more clothes and shoes than ever before. Online shopping means it is easy for customers to buy without thinking, while major brands offer such cheap clothes that they can be treated like disposable items – worn two or three times and then thrown away.",B1,"

Every day, people see lots of adverts for things to buy in shops, magazines and online. People in Britain are buying more clothes and shoes than ever before. It’s easy to buy things quickly online. Also, some big shops sell clothes that are very cheap, so people don’t mind throwing them away after only wearing them a few times.



",google/gemma-3-27b-it,gemma-3-27b-it_short,B1_PROMPT_SHORT,B1
tsar2025testblind,29-b1,"Sam squinted against the sun at the distant dust trail raked up by the car on its way up to the Big House. The horses kicked and flicked their tails at flies, not caring about their owner's first visit in ten months. Sam waited. Mr Carter didn't come out here unless he had to, which was just fine by Sam. The more he kept out of his boss's way, the longer he'd have a job. Mr, Carter wiped the sweat from the back of his neck. The damp patches on his shirt drew together like shapes in an atlas. His skin was already turning ruddy in the June sun. Otherwise he had the indoor tan of a man that made money while other people did the work.",B1,"
Sam shielded his eyes from the sun, watching a cloud of dust appear as a car drove towards the large house. The horses were restless, bothered by flies, and didn’t seem to notice their owner was visiting after ten months. Sam waited patiently. Mr. Carter didn’t often come to the fields, and Sam preferred it that way. Staying out of his boss’s sight meant keeping his job. Mr. Carter wiped his neck with a handkerchief. His shirt was damp, and the wet patches looked like shapes on a map. He was getting red from the sun, but usually he was pale because he spent most of his time working indoors, making money while others did the physical labor.



",google/gemma-3-27b-it,gemma-3-27b-it_short,B1_PROMPT_SHORT,B1
tsar2025testblind,30-b1,"Many city residents in Berlin, Germany complained that shooting pigs was unnecessarily cruel and there were heated arguments between hunters and animal lovers. In response to protests, the city council decided to take more peaceful action against pigs. Instead of shooting them, they have put up fences and made it illegal to feed the pigs. Time will tell if this strategy works, though it may be a losing battle as warmer winters mean that pig numbers are greater than in the past.",B1,"
People in Berlin, Germany were upset because the city was shooting wild pigs. Some people thought it was cruel, and there were big arguments about it. Now, the city is trying a different way to control the pigs. They are building fences and not allowing people to give them food. It’s not sure if this will work, because there are more pigs now, as the winters are getting warmer.



",google/gemma-3-27b-it,gemma-3-27b-it_short,B1_PROMPT_SHORT,B1
