dataset_id,text_id,original,target_cefr,simplified,model,name,prompt_type,target
tsar2025testblind,21-b1,"Your dreams might show you all kinds of insights into things that you didn't realise you were thinking about. Common dreams like being able to fly or falling, your teeth falling out or having no clothes on in a public place probably mean something similar in most people. But the key to understanding exactly what they mean to you is to connect them to the events and feelings in your daily life.",B1,"Your dreams can give you clues about thoughts you didn’t know you had. Many people have similar dreams, such as flying, falling, losing teeth, or being naked in public. These dreams usually have a similar basic meaning for most people. However, to know what a dream really means for you, you need to link it to what is happening and how you feel in your everyday life.",openai/gpt-oss-120b,gpt-oss-120b_descriptiv,B1_PROMPT_DESCRIPTIVE,B1
tsar2025testblind,22-b1,"One of the most interesting cases of wild animals living in a city are the wild dogs of Moscow. In Moscow, there are approximately 35,000 wild dogs living on the streets. Some of the dogs were born wild, while others are pets that have been abandoned by their owners. Some dogs live alone and others live in packs. In 2010, scientists studied the dogs and found that the dogs have adapted remarkably successfully to urban life. They have learned that it is safer to cross the street with people and some dogs appear to understand traffic lights.",B1,"One of the most interesting examples of wild animals living in a city is the wild dogs of Moscow. In Moscow there are about 35,000 wild dogs on the streets. Some of the dogs were born in the wild, while others were once pets that their owners left behind. Some dogs live alone, and some live in groups called packs. In 2010, scientists studied the dogs and found that they have adapted (changed their behavior to fit) very well to city life. They have learned that it is safer to cross the street together with people, and some dogs even seem to understand traffic lights.",openai/gpt-oss-120b,gpt-oss-120b_descriptiv,B1_PROMPT_DESCRIPTIVE,B1
tsar2025testblind,23-b1,"Wonder is New Yorker RJ Palacio's first novel. On her website, she explains that the idea for the book came to her after seeing a girl with facial deformities on the street one day. Wonder has been a bestseller in the United States and has already won several awards. Many schools are using it as a starting point for discussions about bullying, friendship and what it's like to be different. A film version is being made, and many, including me, are waiting eagerly to see what RJ Palacio writes next.",B1,"Wonder is the first novel written by New Yorker RJ Palacio. On her website she says the idea for the book came when she saw a girl with facial deformities (a serious change in the shape of her face) on the street. Wonder has become a bestseller (a very popular book) in the United States and has already won several awards. Many schools use it to start talks about bullying, friendship and what it feels like to be different. A movie version is being made, and many people, including me, are waiting eagerly to see what RJ Palacio writes next.",openai/gpt-oss-120b,gpt-oss-120b_descriptiv,B1_PROMPT_DESCRIPTIVE,B1
tsar2025testblind,24-b1,"Chloe has two pet rats, Zena and Roxy. Chloe knows they're not typical pets and she has lost count of the times she's patiently tried to explain to people that rats aren't dirty and they make fantastic pets if you look after them correctly. But she understands why people react badly. She didn't like rats either until her friend Martin showed her his pet rats and she saw how affectionate and intelligent they were. Last year, when one of Martin's rats had babies, Chloe decided she'd like to have two of them.",B1,"Chloe has two pet rats called Zena and Roxy. She knows that rats are not the usual kind of pet. She has tried many times to tell people that rats are not dirty and that they can be great pets if you take good care of them. She also understands why some people react badly. Chloe did not like rats at first, but her friend Martin showed her his rats. She saw that they can be very friendly (affectionate) and smart (intelligent). Last year, when one of Martin’s rats gave birth to babies, Chloe decided she wanted to have two rats of her own.",openai/gpt-oss-120b,gpt-oss-120b_descriptiv,B1_PROMPT_DESCRIPTIVE,B1
tsar2025testblind,25-b1,"Cape Town can be a dangerous place for baboons. Some have been injured or killed in car accidents and others have been electrocuted as they played with electric cables. Baboons are an endangered species and to save them and minimise conflicts between humans and baboons, the city council has employed a team of Baboon Monitors. The monitors' job is to chase baboons out of urban areas or catch them and release them in the countryside. This policy has had some success, though it is proving hard to stop baboons from coming back to the city once they see it as a source of easy food.",B1,"Cape Town can be a risky place for baboons. Some have been hurt or killed in car crashes, and others have been electrocuted (hurt by electricity) when they played with electric wires. Baboons are an endangered species (they are at risk of disappearing). To protect them and lower problems between people and baboons, the city council hired a group of Baboon Monitors. Their job is to drive baboons away from the city or catch them and let them go in the countryside. This plan has worked a little, but it is still hard to stop baboons from coming back to the city because they see it as a place with easy food.",openai/gpt-oss-120b,gpt-oss-120b_descriptiv,B1_PROMPT_DESCRIPTIVE,B1
tsar2025testblind,26-b1,"I work for a global IT company, but because their headquarters is in the States, I do all my work online from home. That means that I don't waste time commuting or making idle chit-chat with colleagues. I work on a project basis, and this flexibility is very valuable to me because it means that I can easily take some time off when my children need me to go to their school performances or if I need to schedule an appointment with the dentist. The downside is that without clear office hours, I tend to work well into the evening, sometimes skipping dinner to finish a task. ",B1,"I work for a worldwide computer company. Their main office is in the United States, so I do all my work online from home. This means I do not spend time traveling to an office or having small talk with coworkers. I work on different projects, and this flexibility (the ability to change my schedule) is very important to me. It lets me take time off easily when my children need me at school performances or when I have a dentist appointment. The bad side is that, because there are no fixed office hours, I often work late into the evening and sometimes skip dinner to finish a task.",openai/gpt-oss-120b,gpt-oss-120b_descriptiv,B1_PROMPT_DESCRIPTIVE,B1
tsar2025testblind,27-b1,"In the 1990s, graffiti continued but there was also an explosion in street art around the world. Some artists wanted to make political points and produced art that tried to make people think about war, inequality and discrimination. Other street artists were more concerned with producing beautiful, attractive work. In South America, many street artists went to work in poor areas adding colour, life and beauty to grey, city walls.",B1,"In the 1990s, graffiti kept being made, and street art grew a lot all over the world. Some artists wanted to talk about politics and made art that made people think about war, unfairness (inequality) and treating people badly because of their background (discrimination). Other street artists just wanted to create pretty and attractive pictures. In South America, many street artists worked in poor neighbourhoods, putting colour, life and beauty on dull, grey city walls.",openai/gpt-oss-120b,gpt-oss-120b_descriptiv,B1_PROMPT_DESCRIPTIVE,B1
tsar2025testblind,28-b1,"Social media, magazines and shop windows bombard people daily with things to buy, and British consumers are buying more clothes and shoes than ever before. Online shopping means it is easy for customers to buy without thinking, while major brands offer such cheap clothes that they can be treated like disposable items – worn two or three times and then thrown away.",B1,"Social media, magazines and shop windows show people many things to buy every day, and British shoppers are buying more clothes and shoes than ever before. Buying online makes it easy to purchase without thinking, and big brands sell very cheap clothes that can be treated like disposable items – meaning they are worn only two or three times and then thrown away.",openai/gpt-oss-120b,gpt-oss-120b_descriptiv,B1_PROMPT_DESCRIPTIVE,B1
tsar2025testblind,29-b1,"Sam squinted against the sun at the distant dust trail raked up by the car on its way up to the Big House. The horses kicked and flicked their tails at flies, not caring about their owner's first visit in ten months. Sam waited. Mr Carter didn't come out here unless he had to, which was just fine by Sam. The more he kept out of his boss's way, the longer he'd have a job. Mr, Carter wiped the sweat from the back of his neck. The damp patches on his shirt drew together like shapes in an atlas. His skin was already turning ruddy in the June sun. Otherwise he had the indoor tan of a man that made money while other people did the work.",B1,"Sam squinted (narrowed his eyes) against the bright sun at the dusty trail left by the car that was going up to the Big House (the main house). The horses kicked and swished their tails at flies, not caring that their owner was visiting after ten months. Sam waited. Mr. Carter only came out here when he had to, and Sam liked that. The more Sam stayed out of his boss’s way, the longer he could keep his job. Mr. Carter wiped the sweat from the back of his neck. The wet spots on his shirt clumped together like shapes on a map. His skin was already turning red (ruddy) in the June sun. Otherwise, he had the indoor tan of a man who makes money while other people do the work.",openai/gpt-oss-120b,gpt-oss-120b_descriptiv,B1_PROMPT_DESCRIPTIVE,B1
tsar2025testblind,30-b1,"Many city residents in Berlin, Germany complained that shooting pigs was unnecessarily cruel and there were heated arguments between hunters and animal lovers. In response to protests, the city council decided to take more peaceful action against pigs. Instead of shooting them, they have put up fences and made it illegal to feed the pigs. Time will tell if this strategy works, though it may be a losing battle as warmer winters mean that pig numbers are greater than in the past.",B1,"Many people who live in Berlin, Germany said that shooting pigs is too cruel, and there were strong arguments between hunters and animal lovers. After the protests, the city council (the group that makes decisions for the city) chose a calmer way to deal with the pigs. Instead of shooting them, they built fences and made it against the law to feed the pigs. We will see if this plan works, but it might be difficult because warmer winters mean there are more pigs than before.",openai/gpt-oss-120b,gpt-oss-120b_descriptiv,B1_PROMPT_DESCRIPTIVE,B1
