dataset_id,text_id,original,target_cefr,simplified,model,name,prompt_type,target
tsar2025testblind,21-b1,"Your dreams might show you all kinds of insights into things that you didn't realise you were thinking about. Common dreams like being able to fly or falling, your teeth falling out or having no clothes on in a public place probably mean something similar in most people. But the key to understanding exactly what they mean to you is to connect them to the events and feelings in your daily life.",B1,"Your dreams can give you ideas about things you didn't know you were thinking about. Some common dreams, like flying, falling, losing your teeth, or being naked in public, might have similar meanings for most people. However, to really understand what they mean to you, you need to link them to what's happening in your life and how you're feeling every day.",meta-llama/llama-3.3-70b-instruct,llama-3.3-70b-instruct_descriptiv,B1_PROMPT_DESCRIPTIVE,B1
tsar2025testblind,22-b1,"One of the most interesting cases of wild animals living in a city are the wild dogs of Moscow. In Moscow, there are approximately 35,000 wild dogs living on the streets. Some of the dogs were born wild, while others are pets that have been abandoned by their owners. Some dogs live alone and others live in packs. In 2010, scientists studied the dogs and found that the dogs have adapted remarkably successfully to urban life. They have learned that it is safer to cross the street with people and some dogs appear to understand traffic lights.",B1,"One of the most interesting examples of wild animals living in a city is the wild dogs of Moscow. There are about 35,000 wild dogs living on the streets of Moscow. Some of these dogs were born in the wild, while others were once pets that their owners abandoned. Some dogs live by themselves, while others live in groups, called packs. In 2010, scientists studied these dogs and found that they have adapted very well to city life. They have learned that it's safer to cross the road with people, and some dogs even seem to understand what traffic lights mean.",meta-llama/llama-3.3-70b-instruct,llama-3.3-70b-instruct_descriptiv,B1_PROMPT_DESCRIPTIVE,B1
tsar2025testblind,23-b1,"Wonder is New Yorker RJ Palacio's first novel. On her website, she explains that the idea for the book came to her after seeing a girl with facial deformities on the street one day. Wonder has been a bestseller in the United States and has already won several awards. Many schools are using it as a starting point for discussions about bullying, friendship and what it's like to be different. A film version is being made, and many, including me, are waiting eagerly to see what RJ Palacio writes next.",B1,"RJ Palacio, a writer from New York, wrote her first book called Wonder. She got the idea for the book when she saw a girl with a different face on the street. The book has been very popular in the US and has won several awards. Many schools are using it to talk about important issues like bullying, friendship, and being different. A movie is being made from the book, and many people, including me, are excited to see what RJ Palacio writes next.",meta-llama/llama-3.3-70b-instruct,llama-3.3-70b-instruct_descriptiv,B1_PROMPT_DESCRIPTIVE,B1
tsar2025testblind,24-b1,"Chloe has two pet rats, Zena and Roxy. Chloe knows they're not typical pets and she has lost count of the times she's patiently tried to explain to people that rats aren't dirty and they make fantastic pets if you look after them correctly. But she understands why people react badly. She didn't like rats either until her friend Martin showed her his pet rats and she saw how affectionate and intelligent they were. Last year, when one of Martin's rats had babies, Chloe decided she'd like to have two of them.",B1,"Chloe has two pet rats, Zena and Roxy. She knows that many people don't think rats make good pets. In fact, she's had to explain many times that rats are clean animals and can be great pets if you take good care of them. Chloe understands why people might not like rats at first. She used to feel the same way until her friend Martin showed her his pet rats. She saw how loving and smart they were. When Martin's rats had babies, Chloe decided to take two of them as her own pets.",meta-llama/llama-3.3-70b-instruct,llama-3.3-70b-instruct_descriptiv,B1_PROMPT_DESCRIPTIVE,B1
tsar2025testblind,25-b1,"Cape Town can be a dangerous place for baboons. Some have been injured or killed in car accidents and others have been electrocuted as they played with electric cables. Baboons are an endangered species and to save them and minimise conflicts between humans and baboons, the city council has employed a team of Baboon Monitors. The monitors' job is to chase baboons out of urban areas or catch them and release them in the countryside. This policy has had some success, though it is proving hard to stop baboons from coming back to the city once they see it as a source of easy food.",B1,"Cape Town can be a dangerous place for baboons. Some baboons have been hurt or killed in car accidents. Others have been electrocuted, which means they got a severe electric shock, when they played with electric cables. Baboons are in danger of disappearing and to protect them and reduce problems between humans and baboons, the city council has hired a team of Baboon Monitors. The monitors' job is to scare baboons away from urban areas, which are cities and towns, or catch them and set them free in the countryside, where they can live more safely. This plan has worked to some extent, but it's difficult to stop baboons from returning to the city when they find it an easy place to get food.",meta-llama/llama-3.3-70b-instruct,llama-3.3-70b-instruct_descriptiv,B1_PROMPT_DESCRIPTIVE,B1
tsar2025testblind,26-b1,"I work for a global IT company, but because their headquarters is in the States, I do all my work online from home. That means that I don't waste time commuting or making idle chit-chat with colleagues. I work on a project basis, and this flexibility is very valuable to me because it means that I can easily take some time off when my children need me to go to their school performances or if I need to schedule an appointment with the dentist. The downside is that without clear office hours, I tend to work well into the evening, sometimes skipping dinner to finish a task. ",B1,"I work for a big IT company, but its main office is in the US, so I do my job from home using the internet. This is good because I don't waste time travelling to work or talking to colleagues about things that aren't important. I work on individual projects, and I like the freedom that comes with it. It means I can take time off when my kids have school events or when I need to go to the dentist. However, it can be difficult because I don't have set working hours, so I often work late into the evening. Sometimes, I even skip dinner to finish a task, which isn't ideal.",meta-llama/llama-3.3-70b-instruct,llama-3.3-70b-instruct_descriptiv,B1_PROMPT_DESCRIPTIVE,B1
tsar2025testblind,27-b1,"In the 1990s, graffiti continued but there was also an explosion in street art around the world. Some artists wanted to make political points and produced art that tried to make people think about war, inequality and discrimination. Other street artists were more concerned with producing beautiful, attractive work. In South America, many street artists went to work in poor areas adding colour, life and beauty to grey, city walls.",B1,"In the 1990s, graffiti was still popular, but a new kind of art called street art became very popular all over the world. Some artists used their work to make people think about important issues like war, unfairness, and treating people differently because of who they are. These issues are like big problems that affect many people. Other artists just wanted to create nice and pretty things to look at. In South America, many artists went to poor areas and painted colourful pictures on dull city walls, making them look more beautiful and lively.",meta-llama/llama-3.3-70b-instruct,llama-3.3-70b-instruct_descriptiv,B1_PROMPT_DESCRIPTIVE,B1
tsar2025testblind,28-b1,"Social media, magazines and shop windows bombard people daily with things to buy, and British consumers are buying more clothes and shoes than ever before. Online shopping means it is easy for customers to buy without thinking, while major brands offer such cheap clothes that they can be treated like disposable items – worn two or three times and then thrown away.",B1,"Social media, magazines, and shop windows are constantly showing people things to buy, and British consumers are buying more clothes and shoes than ever before. The internet makes it easy for people to buy things without thinking carefully, and big brands sell clothes so cheaply that people can wear them a few times and then get rid of them.",meta-llama/llama-3.3-70b-instruct,llama-3.3-70b-instruct_descriptiv,B1_PROMPT_DESCRIPTIVE,B1
tsar2025testblind,29-b1,"Sam squinted against the sun at the distant dust trail raked up by the car on its way up to the Big House. The horses kicked and flicked their tails at flies, not caring about their owner's first visit in ten months. Sam waited. Mr Carter didn't come out here unless he had to, which was just fine by Sam. The more he kept out of his boss's way, the longer he'd have a job. Mr, Carter wiped the sweat from the back of his neck. The damp patches on his shirt drew together like shapes in an atlas. His skin was already turning ruddy in the June sun. Otherwise he had the indoor tan of a man that made money while other people did the work.",B1,"Sam squinted at the sun as he watched the car drive up to the Big House, kicking up a cloud of dust. The horses didn't seem to care that their owner, Mr Carter, was visiting for the first time in ten months. They just kicked and swished their tails to keep the flies away. Sam waited patiently. Mr Carter only came out here when he had to, which was okay with Sam. The less he saw of his boss, the safer his job was. As Mr Carter got out of the car, he wiped the sweat from the back of his neck. His shirt was getting wet and sticky, and his skin was already getting red from the June sun. Normally, Mr Carter had a pale skin, like someone who spends most of their time indoors, making money while others do the hard work.",meta-llama/llama-3.3-70b-instruct,llama-3.3-70b-instruct_descriptiv,B1_PROMPT_DESCRIPTIVE,B1
tsar2025testblind,30-b1,"Many city residents in Berlin, Germany complained that shooting pigs was unnecessarily cruel and there were heated arguments between hunters and animal lovers. In response to protests, the city council decided to take more peaceful action against pigs. Instead of shooting them, they have put up fences and made it illegal to feed the pigs. Time will tell if this strategy works, though it may be a losing battle as warmer winters mean that pig numbers are greater than in the past.",B1,"In Berlin, Germany, many people were upset about shooting pigs to control their numbers. There were strong disagreements between hunters and people who care about animals. The city council listened to the complaints and decided to try a more peaceful approach. They put up fences to keep the pigs away and made a rule that it's not allowed to feed them. It's not clear if this will work, but it might be difficult because warmer winters mean there are more pigs than before.",meta-llama/llama-3.3-70b-instruct,llama-3.3-70b-instruct_descriptiv,B1_PROMPT_DESCRIPTIVE,B1
