dataset_id,text_id,original,target_cefr,simplified,model,name,prompt_type,target
tsar2025testblind,21-b1,"Your dreams might show you all kinds of insights into things that you didn't realise you were thinking about. Common dreams like being able to fly or falling, your teeth falling out or having no clothes on in a public place probably mean something similar in most people. But the key to understanding exactly what they mean to you is to connect them to the events and feelings in your daily life.",B1,"Your dreams can give you ideas about things you didn't know you were thinking about. Some common dreams, like flying, falling, losing your teeth, or being naked in public, might have similar meanings for many people. However, to really understand what they mean to you, you need to think about how they relate to what's happening in your life and how you're feeling every day.",meta-llama/llama-3.3-70b-instruct,llama-3.3-70b-instruct_descriptive_w_example,B1_PROMPT_DESCRIPTIVE_EXAMPLE,B1
tsar2025testblind,22-b1,"One of the most interesting cases of wild animals living in a city are the wild dogs of Moscow. In Moscow, there are approximately 35,000 wild dogs living on the streets. Some of the dogs were born wild, while others are pets that have been abandoned by their owners. Some dogs live alone and others live in packs. In 2010, scientists studied the dogs and found that the dogs have adapted remarkably successfully to urban life. They have learned that it is safer to cross the street with people and some dogs appear to understand traffic lights.",B1,"One of the most interesting examples of wild animals living in a city is the wild dogs of Moscow. In Moscow, around 35,000 wild dogs live on the streets. Some of these dogs were born in the wild, while others were once pets that their owners abandoned. Some dogs live by themselves, and others live in groups. In, scientists studied these dogs and found that they have adapted very well to city life. They have learned that it is safer to cross the road with people, and some dogs even seem to understand what traffic lights mean.",meta-llama/llama-3.3-70b-instruct,llama-3.3-70b-instruct_descriptive_w_example,B1_PROMPT_DESCRIPTIVE_EXAMPLE,B1
tsar2025testblind,23-b1,"Wonder is New Yorker RJ Palacio's first novel. On her website, she explains that the idea for the book came to her after seeing a girl with facial deformities on the street one day. Wonder has been a bestseller in the United States and has already won several awards. Many schools are using it as a starting point for discussions about bullying, friendship and what it's like to be different. A film version is being made, and many, including me, are waiting eagerly to see what RJ Palacio writes next.",B1,"Wonder is the first book written by RJ Palacio, a writer from New York. She got the idea for the book after seeing a girl with a face that was different from most people's. The book has been very popular in the United States and has won several prizes. Many schools are using it to talk about important issues like bullying, friendship, and what it's like to be different from others. A movie based on the book is being made, and many people, including me, are excited to see what RJ Palacio writes next.",meta-llama/llama-3.3-70b-instruct,llama-3.3-70b-instruct_descriptive_w_example,B1_PROMPT_DESCRIPTIVE_EXAMPLE,B1
tsar2025testblind,24-b1,"Chloe has two pet rats, Zena and Roxy. Chloe knows they're not typical pets and she has lost count of the times she's patiently tried to explain to people that rats aren't dirty and they make fantastic pets if you look after them correctly. But she understands why people react badly. She didn't like rats either until her friend Martin showed her his pet rats and she saw how affectionate and intelligent they were. Last year, when one of Martin's rats had babies, Chloe decided she'd like to have two of them.",B1,"Chloe has two pet rats, Zena and Roxy. She knows that most people don't usually keep rats as pets, and she's had to explain many times that rats are clean animals and can make great pets if you take good care of them. However, she understands why people might not like them at first. Chloe didn't like rats either until her friend Martin showed her his pet rats and she saw how loving and smart they were. When Martin's rats had babies last year, Chloe decided to take two of them as her own pets.",meta-llama/llama-3.3-70b-instruct,llama-3.3-70b-instruct_descriptive_w_example,B1_PROMPT_DESCRIPTIVE_EXAMPLE,B1
tsar2025testblind,25-b1,"Cape Town can be a dangerous place for baboons. Some have been injured or killed in car accidents and others have been electrocuted as they played with electric cables. Baboons are an endangered species and to save them and minimise conflicts between humans and baboons, the city council has employed a team of Baboon Monitors. The monitors' job is to chase baboons out of urban areas or catch them and release them in the countryside. This policy has had some success, though it is proving hard to stop baboons from coming back to the city once they see it as a source of easy food.",B1,"Cape Town can be a dangerous place for baboons. Some baboons have been hurt or killed in car accidents, and others have been shocked by electricity when they played with power lines. Baboons are in danger of disappearing, so to protect them and reduce problems between humans and baboons, the city has hired a team of Baboon Monitors. The monitors' job is to scare baboons away from city areas or catch them and set them free in the countryside. This plan has worked to some extent, but it's difficult to stop baboons from returning to the city when they see it as a place to find easy food.",meta-llama/llama-3.3-70b-instruct,llama-3.3-70b-instruct_descriptive_w_example,B1_PROMPT_DESCRIPTIVE_EXAMPLE,B1
tsar2025testblind,26-b1,"I work for a global IT company, but because their headquarters is in the States, I do all my work online from home. That means that I don't waste time commuting or making idle chit-chat with colleagues. I work on a project basis, and this flexibility is very valuable to me because it means that I can easily take some time off when my children need me to go to their school performances or if I need to schedule an appointment with the dentist. The downside is that without clear office hours, I tend to work well into the evening, sometimes skipping dinner to finish a task. ",B1,"I work for a big IT company, but its main office is in the US, so I do all my work from home on the computer. This means I don't waste time travelling to an office or talking to colleagues about things that aren't work. I work on individual projects, and I really like the freedom that comes with this because I can take time off when my kids need me, like when they have a school event, or when I need to go to the dentist. The bad thing is that without set working hours, I often work late into the evening, sometimes even missing dinner to finish a task.",meta-llama/llama-3.3-70b-instruct,llama-3.3-70b-instruct_descriptive_w_example,B1_PROMPT_DESCRIPTIVE_EXAMPLE,B1
tsar2025testblind,27-b1,"In the 1990s, graffiti continued but there was also an explosion in street art around the world. Some artists wanted to make political points and produced art that tried to make people think about war, inequality and discrimination. Other street artists were more concerned with producing beautiful, attractive work. In South America, many street artists went to work in poor areas adding colour, life and beauty to grey, city walls.",B1,"In the 1990s, graffiti kept going, but there was also a big increase in street art worldwide. Some artists wanted to make people think about important issues like war, inequality, and unfair treatment, so they created art with strong messages. Others just wanted to create beautiful and attractive work. In South America, many street artists went to poor areas and added colour and life to dull city walls, making them more beautiful.",meta-llama/llama-3.3-70b-instruct,llama-3.3-70b-instruct_descriptive_w_example,B1_PROMPT_DESCRIPTIVE_EXAMPLE,B1
tsar2025testblind,28-b1,"Social media, magazines and shop windows bombard people daily with things to buy, and British consumers are buying more clothes and shoes than ever before. Online shopping means it is easy for customers to buy without thinking, while major brands offer such cheap clothes that they can be treated like disposable items – worn two or three times and then thrown away.",B1,"Social media, magazines, and shop windows show people many things to buy every day, and people in Britain are buying more clothes and shoes than they used to. It's easy to shop online without thinking carefully, and big brands sell very cheap clothes that people can wear a few times and then throw away.",meta-llama/llama-3.3-70b-instruct,llama-3.3-70b-instruct_descriptive_w_example,B1_PROMPT_DESCRIPTIVE_EXAMPLE,B1
tsar2025testblind,29-b1,"Sam squinted against the sun at the distant dust trail raked up by the car on its way up to the Big House. The horses kicked and flicked their tails at flies, not caring about their owner's first visit in ten months. Sam waited. Mr Carter didn't come out here unless he had to, which was just fine by Sam. The more he kept out of his boss's way, the longer he'd have a job. Mr, Carter wiped the sweat from the back of his neck. The damp patches on his shirt drew together like shapes in an atlas. His skin was already turning ruddy in the June sun. Otherwise he had the indoor tan of a man that made money while other people did the work.",B1,"Sam looked away from the sun at the cloud of dust made by the car driving up to the Big House. The horses kicked and moved their tails to get rid of flies, and they didn't care that their owner was visiting for the first time in ten months. Sam waited. Mr Carter only came out here when it was necessary, which was okay with Sam. The less he saw of his boss, the longer he could keep his job. Mr Carter wiped the sweat from the back of his neck. The wet patches on his shirt came together like shapes on a map. His skin was already getting red from the June sun. Usually, his skin was pale, like someone who makes money while others do the work, and doesn't spend much time outside.",meta-llama/llama-3.3-70b-instruct,llama-3.3-70b-instruct_descriptive_w_example,B1_PROMPT_DESCRIPTIVE_EXAMPLE,B1
tsar2025testblind,30-b1,"Many city residents in Berlin, Germany complained that shooting pigs was unnecessarily cruel and there were heated arguments between hunters and animal lovers. In response to protests, the city council decided to take more peaceful action against pigs. Instead of shooting them, they have put up fences and made it illegal to feed the pigs. Time will tell if this strategy works, though it may be a losing battle as warmer winters mean that pig numbers are greater than in the past.",B1,"Many people living in Berlin, Germany thought it was too cruel to shoot pigs and there were strong disagreements between hunters and people who love animals. The city council listened to the complaints and decided to deal with the pigs in a more peaceful way. Instead of shooting them, they put up fences and made a rule that people cannot feed the pigs. It's not clear if this will work, but it might be difficult because warmer winters mean there are more pigs than before.",meta-llama/llama-3.3-70b-instruct,llama-3.3-70b-instruct_descriptive_w_example,B1_PROMPT_DESCRIPTIVE_EXAMPLE,B1
