dataset_id,text_id,original,target_cefr,simplified,model,name,prompt_type,target
tsar2025testblind,21-b1,"Your dreams might show you all kinds of insights into things that you didn't realise you were thinking about. Common dreams like being able to fly or falling, your teeth falling out or having no clothes on in a public place probably mean something similar in most people. But the key to understanding exactly what they mean to you is to connect them to the events and feelings in your daily life.",B1,"Your dreams can show you things you didn't know you were thinking about. Some common dreams, like flying or falling, might mean similar things to many people. But to really understand what they mean to you, you need to think about what's happening in your life and how you're feeling.",meta-llama/llama-3.3-70b-instruct,llama-3.3-70b-instruct_short,B1_PROMPT_SHORT,B1
tsar2025testblind,22-b1,"One of the most interesting cases of wild animals living in a city are the wild dogs of Moscow. In Moscow, there are approximately 35,000 wild dogs living on the streets. Some of the dogs were born wild, while others are pets that have been abandoned by their owners. Some dogs live alone and others live in packs. In 2010, scientists studied the dogs and found that the dogs have adapted remarkably successfully to urban life. They have learned that it is safer to cross the street with people and some dogs appear to understand traffic lights.",B1,"One of the most interesting cases of wild animals living in a city is the wild dogs of Moscow. There are about 35,000 wild dogs living on the streets of Moscow. Some of these dogs were born wild, while others were once pets that people did not want anymore. Some dogs live alone, and others live in groups. In 2010, scientists studied these dogs and found that they have adapted very well to city life. They have learned to cross the street with people, and some dogs even seem to understand traffic lights.",meta-llama/llama-3.3-70b-instruct,llama-3.3-70b-instruct_short,B1_PROMPT_SHORT,B1
tsar2025testblind,23-b1,"Wonder is New Yorker RJ Palacio's first novel. On her website, she explains that the idea for the book came to her after seeing a girl with facial deformities on the street one day. Wonder has been a bestseller in the United States and has already won several awards. Many schools are using it as a starting point for discussions about bullying, friendship and what it's like to be different. A film version is being made, and many, including me, are waiting eagerly to see what RJ Palacio writes next.",B1,"RJ Palacio is a writer from New York. She wrote a book called Wonder. She got the idea for the book when she saw a girl on the street who looked different. The book has been very popular in the US and has won some awards. Many schools are using it to talk about bullying and being a good friend. A movie is being made from the book, and many people are excited to see what RJ Palacio writes next.",meta-llama/llama-3.3-70b-instruct,llama-3.3-70b-instruct_short,B1_PROMPT_SHORT,B1
tsar2025testblind,24-b1,"Chloe has two pet rats, Zena and Roxy. Chloe knows they're not typical pets and she has lost count of the times she's patiently tried to explain to people that rats aren't dirty and they make fantastic pets if you look after them correctly. But she understands why people react badly. She didn't like rats either until her friend Martin showed her his pet rats and she saw how affectionate and intelligent they were. Last year, when one of Martin's rats had babies, Chloe decided she'd like to have two of them.",B1,"Chloe has two pet rats, Zena and Roxy. She knows that many people don't think rats are good pets. They think rats are dirty. But Chloe knows this isn't true. She used to think the same thing. Then her friend Martin showed her his pet rats. They were very friendly and smart. Chloe was surprised. When Martin's rats had babies, Chloe decided to get two of them as pets.",meta-llama/llama-3.3-70b-instruct,llama-3.3-70b-instruct_short,B1_PROMPT_SHORT,B1
tsar2025testblind,25-b1,"Cape Town can be a dangerous place for baboons. Some have been injured or killed in car accidents and others have been electrocuted as they played with electric cables. Baboons are an endangered species and to save them and minimise conflicts between humans and baboons, the city council has employed a team of Baboon Monitors. The monitors' job is to chase baboons out of urban areas or catch them and release them in the countryside. This policy has had some success, though it is proving hard to stop baboons from coming back to the city once they see it as a source of easy food.",B1,"Cape Town can be a bad place for baboons. Some baboons get hurt or die in car accidents. Others get electrocuted when they play with electric wires. Baboons are in danger and to protect them, the city has a team of Baboon Monitors. Their job is to keep baboons out of the city or catch them and set them free in the countryside. This plan has worked a bit, but it's hard to stop baboons from coming back to the city when they find food there easily.",meta-llama/llama-3.3-70b-instruct,llama-3.3-70b-instruct_short,B1_PROMPT_SHORT,B1
tsar2025testblind,26-b1,"I work for a global IT company, but because their headquarters is in the States, I do all my work online from home. That means that I don't waste time commuting or making idle chit-chat with colleagues. I work on a project basis, and this flexibility is very valuable to me because it means that I can easily take some time off when my children need me to go to their school performances or if I need to schedule an appointment with the dentist. The downside is that without clear office hours, I tend to work well into the evening, sometimes skipping dinner to finish a task. ",B1,"I work for a big IT company, but I do my job from home on the computer. This is good because I don't have to travel to work or talk to colleagues when I don't need to. I work on different projects, and I like that I can choose when I work. This means I can take time off when my kids have events at school or when I need to go to the doctor. The bad thing is that I often work late into the night, and sometimes I even miss dinner to finish my work.",meta-llama/llama-3.3-70b-instruct,llama-3.3-70b-instruct_short,B1_PROMPT_SHORT,B1
tsar2025testblind,27-b1,"In the 1990s, graffiti continued but there was also an explosion in street art around the world. Some artists wanted to make political points and produced art that tried to make people think about war, inequality and discrimination. Other street artists were more concerned with producing beautiful, attractive work. In South America, many street artists went to work in poor areas adding colour, life and beauty to grey, city walls.",B1,"In the 1990s, graffiti was still popular. But something new happened - street art started to appear everywhere. Some artists wanted to talk about important issues like war and unfairness. They created art to make people think. Other artists just wanted to make beautiful things. In South America, artists went to poor areas and painted colourful pictures on grey walls.",meta-llama/llama-3.3-70b-instruct,llama-3.3-70b-instruct_short,B1_PROMPT_SHORT,B1
tsar2025testblind,28-b1,"Social media, magazines and shop windows bombard people daily with things to buy, and British consumers are buying more clothes and shoes than ever before. Online shopping means it is easy for customers to buy without thinking, while major brands offer such cheap clothes that they can be treated like disposable items – worn two or three times and then thrown away.",B1,"People see many things to buy every day on social media, in magazines, and in shop windows. British people are buying more clothes and shoes than ever before. It's easy to shop online without thinking, and big brands sell very cheap clothes. As a result, people wear these clothes a few times and then throw them away.",meta-llama/llama-3.3-70b-instruct,llama-3.3-70b-instruct_short,B1_PROMPT_SHORT,B1
tsar2025testblind,29-b1,"Sam squinted against the sun at the distant dust trail raked up by the car on its way up to the Big House. The horses kicked and flicked their tails at flies, not caring about their owner's first visit in ten months. Sam waited. Mr Carter didn't come out here unless he had to, which was just fine by Sam. The more he kept out of his boss's way, the longer he'd have a job. Mr, Carter wiped the sweat from the back of his neck. The damp patches on his shirt drew together like shapes in an atlas. His skin was already turning ruddy in the June sun. Otherwise he had the indoor tan of a man that made money while other people did the work.",B1,"Sam looked away from the sun at the cloud of dust made by the car driving up to the Big House. The horses kicked their legs and swished their tails at flies, not caring that their owner was visiting for the first time in ten months. Sam waited. Mr Carter only came out here when he had to, which was okay with Sam. The less he saw of his boss, the longer he would have a job. Mr Carter wiped the sweat from his neck. The wet spots on his shirt came together like shapes on a map. His skin was already getting red in the June sun. Normally, he had a pale skin, like a man who made money while others worked.",meta-llama/llama-3.3-70b-instruct,llama-3.3-70b-instruct_short,B1_PROMPT_SHORT,B1
tsar2025testblind,30-b1,"Many city residents in Berlin, Germany complained that shooting pigs was unnecessarily cruel and there were heated arguments between hunters and animal lovers. In response to protests, the city council decided to take more peaceful action against pigs. Instead of shooting them, they have put up fences and made it illegal to feed the pigs. Time will tell if this strategy works, though it may be a losing battle as warmer winters mean that pig numbers are greater than in the past.",B1,"People in Berlin, Germany were upset about shooting pigs. They thought it was too cruel. There were big arguments between hunters and people who love animals. The city council listened to the complaints and decided to try something new. Instead of shooting the pigs, they built fences and made a rule that people cannot feed them. It's not clear if this will work, but it might be difficult because warmer winters mean there are more pigs now than before.",meta-llama/llama-3.3-70b-instruct,llama-3.3-70b-instruct_short,B1_PROMPT_SHORT,B1
