dataset_id,text_id,original,target_cefr,simplified,model,name,prompt_type,target
tsar2025testblind,21-b1,"Your dreams might show you all kinds of insights into things that you didn't realise you were thinking about. Common dreams like being able to fly or falling, your teeth falling out or having no clothes on in a public place probably mean something similar in most people. But the key to understanding exactly what they mean to you is to connect them to the events and feelings in your daily life.",B1,"Your dreams can reveal thoughts you didn’t know you had. Dreams like flying, falling, losing your teeth, or being undressed in public often have similar meanings for many people. To understand what they mean for you, think about what’s happening in your life and how you feel.",qwen/qwen3-235b-a22b-2507,qwen3-235b-a22b-2507_short,B1_PROMPT_SHORT,B1
tsar2025testblind,22-b1,"One of the most interesting cases of wild animals living in a city are the wild dogs of Moscow. In Moscow, there are approximately 35,000 wild dogs living on the streets. Some of the dogs were born wild, while others are pets that have been abandoned by their owners. Some dogs live alone and others live in packs. In 2010, scientists studied the dogs and found that the dogs have adapted remarkably successfully to urban life. They have learned that it is safer to cross the street with people and some dogs appear to understand traffic lights.",B1,"One of the most interesting examples of wild animals living in cities is the wild dogs of Moscow. About 35,000 wild dogs live on the city’s streets. Some were born in the wild, and others were once pets that their owners left. Some dogs live alone, while others live in groups. In 2010, scientists studied them and found they have adapted very well to city life. They have learned it’s safer to cross the street with people, and some even seem to understand traffic lights.",qwen/qwen3-235b-a22b-2507,qwen3-235b-a22b-2507_short,B1_PROMPT_SHORT,B1
tsar2025testblind,23-b1,"Wonder is New Yorker RJ Palacio's first novel. On her website, she explains that the idea for the book came to her after seeing a girl with facial deformities on the street one day. Wonder has been a bestseller in the United States and has already won several awards. Many schools are using it as a starting point for discussions about bullying, friendship and what it's like to be different. A film version is being made, and many, including me, are waiting eagerly to see what RJ Palacio writes next.",B1,"Wonder is RJ Palacio's first book. She is from New York. On her website, she says she got the idea after seeing a girl with facial differences on the street. The book has been very popular in the United States and has won many awards. Schools use it to talk about bullying, friendship, and being different. A movie is being made, and many people, including me, are excited to see what RJ Palacio writes next.",qwen/qwen3-235b-a22b-2507,qwen3-235b-a22b-2507_short,B1_PROMPT_SHORT,B1
tsar2025testblind,24-b1,"Chloe has two pet rats, Zena and Roxy. Chloe knows they're not typical pets and she has lost count of the times she's patiently tried to explain to people that rats aren't dirty and they make fantastic pets if you look after them correctly. But she understands why people react badly. She didn't like rats either until her friend Martin showed her his pet rats and she saw how affectionate and intelligent they were. Last year, when one of Martin's rats had babies, Chloe decided she'd like to have two of them.",B1,"Chloe has two pet rats, Zena and Roxy. She knows rats aren't common pets, and she's often explained to people that rats aren't dirty. If cared for properly, they make great pets. She understands why some people don't like them — she didn't either, until her friend Martin showed her his pet rats. She saw how smart and loving they were. Last year, when one of Martin's rats had babies, Chloe decided to adopt two of them.",qwen/qwen3-235b-a22b-2507,qwen3-235b-a22b-2507_short,B1_PROMPT_SHORT,B1
tsar2025testblind,25-b1,"Cape Town can be a dangerous place for baboons. Some have been injured or killed in car accidents and others have been electrocuted as they played with electric cables. Baboons are an endangered species and to save them and minimise conflicts between humans and baboons, the city council has employed a team of Baboon Monitors. The monitors' job is to chase baboons out of urban areas or catch them and release them in the countryside. This policy has had some success, though it is proving hard to stop baboons from coming back to the city once they see it as a source of easy food.",B1,"Cape Town can be dangerous for baboons. Some have been hurt or killed in car accidents, and others have died from touching electric wires. Baboons are endangered, so to protect them and reduce problems between people and baboons, the city has hired Baboon Monitors. Their job is to drive baboons out of towns or catch them and take them back to the wild. This has helped a little, but it is still hard to stop baboons from returning to the city when they find easy food there.",qwen/qwen3-235b-a22b-2507,qwen3-235b-a22b-2507_short,B1_PROMPT_SHORT,B1
tsar2025testblind,26-b1,"I work for a global IT company, but because their headquarters is in the States, I do all my work online from home. That means that I don't waste time commuting or making idle chit-chat with colleagues. I work on a project basis, and this flexibility is very valuable to me because it means that I can easily take some time off when my children need me to go to their school performances or if I need to schedule an appointment with the dentist. The downside is that without clear office hours, I tend to work well into the evening, sometimes skipping dinner to finish a task. ",B1,"I work for a global IT company based in the US, so I do all my work online from home. This means I don’t waste time commuting or chatting with colleagues. I work on projects, and the flexibility is important to me because I can easily take time off when my kids need me at school events or when I have a dentist appointment. The downside is that without fixed office hours, I often work late into the evening and sometimes skip dinner to finish a task.",qwen/qwen3-235b-a22b-2507,qwen3-235b-a22b-2507_short,B1_PROMPT_SHORT,B1
tsar2025testblind,27-b1,"In the 1990s, graffiti continued but there was also an explosion in street art around the world. Some artists wanted to make political points and produced art that tried to make people think about war, inequality and discrimination. Other street artists were more concerned with producing beautiful, attractive work. In South America, many street artists went to work in poor areas adding colour, life and beauty to grey, city walls.",B1,"In the 1990s, graffiti stayed popular, but street art also grew quickly around the world. Some artists wanted to share political messages and made art about war, inequality, and discrimination to make people think. Others wanted to create beautiful and attractive art. In South America, many street artists worked in poor areas, adding colour, life, and beauty to grey city walls.",qwen/qwen3-235b-a22b-2507,qwen3-235b-a22b-2507_short,B1_PROMPT_SHORT,B1
tsar2025testblind,28-b1,"Social media, magazines and shop windows bombard people daily with things to buy, and British consumers are buying more clothes and shoes than ever before. Online shopping means it is easy for customers to buy without thinking, while major brands offer such cheap clothes that they can be treated like disposable items – worn two or three times and then thrown away.",B1,"Social media, magazines, and shop displays show people things to buy every day. British shoppers are buying more clothes and shoes than ever. Online shopping makes it easy to buy without thinking. Big brands sell very cheap clothes, so people often wear them just a few times and then throw them away.",qwen/qwen3-235b-a22b-2507,qwen3-235b-a22b-2507_short,B1_PROMPT_SHORT,B1
tsar2025testblind,29-b1,"Sam squinted against the sun at the distant dust trail raked up by the car on its way up to the Big House. The horses kicked and flicked their tails at flies, not caring about their owner's first visit in ten months. Sam waited. Mr Carter didn't come out here unless he had to, which was just fine by Sam. The more he kept out of his boss's way, the longer he'd have a job. Mr, Carter wiped the sweat from the back of his neck. The damp patches on his shirt drew together like shapes in an atlas. His skin was already turning ruddy in the June sun. Otherwise he had the indoor tan of a man that made money while other people did the work.",B1,"Sam squinted at the dust cloud from the car driving up to the Big House. The horses swished their tails at flies, not bothered by their owner’s first visit in ten months. Sam waited. Mr. Carter didn’t come out here unless he had to—and that suited Sam just fine. The less he saw of his boss, the safer his job. Mr. Carter wiped sweat from his neck. Dark patches on his shirt spread like countries on a map. His skin was already red from the June sun. Otherwise, he had the pale look of someone who stayed indoors while others worked.",qwen/qwen3-235b-a22b-2507,qwen3-235b-a22b-2507_short,B1_PROMPT_SHORT,B1
tsar2025testblind,30-b1,"Many city residents in Berlin, Germany complained that shooting pigs was unnecessarily cruel and there were heated arguments between hunters and animal lovers. In response to protests, the city council decided to take more peaceful action against pigs. Instead of shooting them, they have put up fences and made it illegal to feed the pigs. Time will tell if this strategy works, though it may be a losing battle as warmer winters mean that pig numbers are greater than in the past.",B1,"Many people in Berlin, Germany said killing pigs was too cruel, and there were strong arguments between hunters and animal lovers. Because of the protests, the city decided to use peaceful ways to deal with the pigs. Instead of shooting them, they built fences and made it illegal to feed them. It’s not clear yet if this will work. However, it could be hard to stop the pigs, as warmer winters have led to more of them than before.",qwen/qwen3-235b-a22b-2507,qwen3-235b-a22b-2507_short,B1_PROMPT_SHORT,B1
tsar2025testblind,31-b1,"An important inspiration for the Hunger Games book comes from Suzanne's love of classical Greek mythology. When she was a child, one of her favourite stories was Theseus and the Minotaur. In this story the city of Athens is ruled by Crete, but the Athenians rebel. As a punishment, Minos the king of Crete forces the Athenians to send seven boys and seven girls to Crete every year. The youths are thrown into the labyrinth and eaten by a monster that lives there called the Minotaur. But one of the youths, named Theseus, fights the Minotaur and kills it. Suzanne sees Katniss Everdeen as a futuristic Theseus.",B1,"An important inspiration for The Hunger Games comes from Suzanne Collins' love of Greek myths. As a child, she especially liked the story of Theseus and the Minotaur. In the story, Athens is ruled by Crete, but the Athenians rebel. As punishment, King Minos of Crete makes them send seven boys and seven girls every year. These young people are sent into a maze and killed by a monster called the Minotaur. But one of them, Theseus, fights the Minotaur and kills it. Suzanne sees Katniss Everdeen as a modern version of Theseus.",qwen/qwen3-235b-a22b-2507,qwen3-235b-a22b-2507_short,B1_PROMPT_SHORT,B1
tsar2025testblind,32-b1,"By bringing people and animals together, zoos have the potential to educate the public about conservation issues and inspire people to protect animals and their habitats. Some zoos provide a safe environment for animals which have been mistreated in circuses, or pets which have been abandoned. Zoos also carry out important research into subjects like animal behaviour and how to treat illnesses.",B1,Zoos can help teach people about protecting animals and their homes by bringing them together with animals. Some zoos give a safe home to animals that were treated badly in circuses or pets that were abandoned. Zoos also do important research on animal behaviour and how to treat animal diseases.,qwen/qwen3-235b-a22b-2507,qwen3-235b-a22b-2507_short,B1_PROMPT_SHORT,B1
tsar2025testblind,33-b1,"A different trend is springing up in opposition to consumerism – the 'buy nothing' trend. The idea originated in Canada in the early 1990s and then moved to the US, where it became a rejection of the overspending and overconsumption of Black Friday and Cyber Monday during Thanksgiving weekend. On Buy Nothing Day people organise various types of protests and cut up their credit cards. Throughout the year, Buy Nothing groups organise the exchange and repair of items they already own.",B1,"A new trend against consumerism is growing – the 'buy nothing' movement. It started in Canada in the early 1990s and spread to the US, where people began rejecting the heavy spending of Black Friday and Cyber Monday during Thanksgiving weekend. On Buy Nothing Day, people protest by cutting up their credit cards. During the year, Buy Nothing groups share and repair things they already have.",qwen/qwen3-235b-a22b-2507,qwen3-235b-a22b-2507_short,B1_PROMPT_SHORT,B1
tsar2025testblind,34-b1,"Is graffiti art or vandalism? This depends on your point of view, but in many countries, writing or painting on public or private property is considered vandalism. Many street artists have been stopped by the police and some have had to pay fines. Many city councils complain about the high cost of cleaning graffiti off buildings, buses and trains. ",B1,"Is graffiti art or vandalism? It depends on how you see it. But in many countries, painting or writing on public or private property is seen as vandalism. Many street artists have been stopped by police, and some have had to pay fines. City governments often complain about the high cost of cleaning graffiti from buildings, buses, and trains.",qwen/qwen3-235b-a22b-2507,qwen3-235b-a22b-2507_short,B1_PROMPT_SHORT,B1
tsar2025testblind,35-b1,"What does the art world think of graffiti and street art? Recently, there has been a growing recognition of its value as an art form. There have been major exhibitions of street art in galleries in Paris, London and Los Angeles. The American artist Elura Emerald organised a street art exhibition at a New York gallery in 2008. She defended street artists, saying 'artists who paint on the street are merely expressing themselves, not hurting anyone. They should be appreciated and celebrated'.",B1,"What does the art world think about graffiti and street art? More people now see it as real art. Big street art exhibitions have happened in galleries in Paris, London, and Los Angeles. In 2008, American artist Elura Emerald held a street art show in New York. She supported street artists, saying, ""They are just expressing themselves, not hurting anyone. They should be appreciated and celebrated.""",qwen/qwen3-235b-a22b-2507,qwen3-235b-a22b-2507_short,B1_PROMPT_SHORT,B1
tsar2025testblind,36-b1,"If most people have four to six dreams every night after the age of ten, that's as many as 2,000 dreams per year. So, by the time they reach 80 years old the average person might have had 140,000 dreams. Even if we forget 95–99 per cent of our dreams, that's still a few thousand remembered dreams across a lifetime. It's not too difficult to believe that, by coincidence, a dream event is followed by a real-life event that's similar to it, especially if the subject of the dream is something that happens often in everyday life.",B1,"Most people have four to six dreams every night after age ten. That’s up to 2,000 dreams a year. By age 80, the average person may have had 140,000 dreams. Even if we forget 95–99% of them, we still remember a few thousand over a lifetime. So, it’s not surprising that sometimes a dream matches a real event, especially if it’s about something common in daily life.",qwen/qwen3-235b-a22b-2507,qwen3-235b-a22b-2507_short,B1_PROMPT_SHORT,B1
tsar2025testblind,37-b1,"The Hunger Games takes place in the future, after the destruction of North America. The country is called Panem and is made up of twelve poor districts governed by the wealthy Capitol. The Capitol holds absolute power over the nation. Each district is responsible for producing different things for the Capitol. District 12, where the story begins, provides all the coal for the country. There used to be a thirteenth district but they rebelled against the Capitol in the past and were destroyed. ",B1,"The Hunger Games is set in the future, after North America has been destroyed. The country is now called Panem, made up of twelve poor districts ruled by the rich Capitol. The Capitol has complete control. Each district produces something different for the Capitol. District 12, where the story starts, provides all the coal. There was once a thirteenth district, but it rebelled against the Capitol and was destroyed.",qwen/qwen3-235b-a22b-2507,qwen3-235b-a22b-2507_short,B1_PROMPT_SHORT,B1
tsar2025testblind,38-b1,"Often wild animals come into cities to look for food. In Cape Town, South Africa, baboons have started coming into residential areas on the edge of the city to feed. They open rubbish bins and eat fruit from gardens and orchards. Some brave baboons have even come into people's houses and taken food from kitchen cupboards and fridges! Baboons can be aggressive and have attacked a lot of pet animals, so understandably, many city residents don't welcome their presence.",B1,"Wild animals often come into cities to find food. In Cape Town, South Africa, baboons have started entering homes on the city's edge to eat. They open trash bins and take fruit from gardens and trees. Some bold baboons even go into houses and steal food from kitchens and fridges! Baboons can be dangerous and have attacked many pets, so many people are not happy to see them.",qwen/qwen3-235b-a22b-2507,qwen3-235b-a22b-2507_short,B1_PROMPT_SHORT,B1
tsar2025testblind,39-b1,"A large number of bridge accidents occur during the construction of the bridge itself. These accidents are often due to an error made by the engineers, such as a miscalculation. The bridge collapses under its own weight, and this can be deadly for the workers on it at the time.",B1,"Many bridge accidents happen while the bridge is being built. These are often caused by mistakes from engineers, like wrong calculations. The bridge can collapse under its own weight, which can be deadly for workers on site.",qwen/qwen3-235b-a22b-2507,qwen3-235b-a22b-2507_short,B1_PROMPT_SHORT,B1
